idx	original	no_punc_lower	adjacent	adjacent_gold	random	random_gold
15	Eingin hevur á nökrum sinni sæð Guð ; hin einborni sonurin , sum er í fangi faðirsins , hann hevur kunngjört hann .	eingin hevur á nökrum sinni sæð guð hin einborni sonurin sum er í fangi faðirsins hann hevur kunngjört hann	hevur eingin á nökrum sinni sæð guð hin einborni sonurin sum er í fangi faðirsins hann hevur kunngjört hann	F O O O O C O O O O O C O O O O F F O	eingin hevur hevur á nökrum sinni sæð guð hin einborni sonurin sum er í fangi faðirsins hann kunngjört hann	O F C O O O C O O O O O F O O O O C O
16	"Og hetta er vitnisburður Jóhannesar , tá ið Jödarnir sendu prestar og Levitar frá Jerúsalem til tess at spyrja hann : "" Hvör ert tú ? """	og hetta er vitnisburður jóhannesar tá ið jödarnir sendu prestar og levitar frá jerúsalem til tess at spyrja hann hvör ert tú	og hetta er vitnisburður jóhannesar tá ið jödarnir sendu prestar og levitar frá jerúsalem til tess at hann spyrja ert hvör tú	O O C O O O O O C O O O O O O O O O F F O O	og hetta er vitnisburður jóhannesar tá sendu ið jödarnir prestar og levitar frá jerúsalem ert til tess at spyrja hann hvör tú	O O C O O O F O O O O O O O F O O O C O O O
17	"Og hann ásannaði og noktaði ikki , og hann ásannaði : "" Eg eri ikki Kristus . """	og hann ásannaði og noktaði ikki og hann ásannaði eg eri ikki kristus	og hann ásannaði og noktaði ikki og hann eri ásannaði eg ikki kristus	O O C O C O O O F F O O O	og ásannaði hann og noktaði ikki og hann eri ásannaði eg ikki kristus	O F O O C O O O F C O O O
18	"Og teir spurdu hann : "" Hvat tá ?"	og teir spurdu hann hvat tá	og teir spurdu hann hvat tá	O O C O O O	og teir spurdu hann hvat tá	O O C O O O
19	"Ert tú Elia ? """	ert tú elia	ert tú elia	C O O	ert tú elia	C O O
20	"Hann sigur : "" Ikki eri eg tað . """	hann sigur ikki eri eg tað	hann eri sigur ikki eg tað	O F F O O O	hann sigur eri ikki eg tað	O C F O O O
21	""" Ert tú profeturin ? """	ert tú profeturin	ert tú profeturin	C O O	tú ert profeturin	O F O
22	"Og hann svaraði : "" Nei . """	og hann svaraði nei	og hann svaraði nei	O O C O	og hann nei svaraði	O O O F
23	"Teir sögdu tá við hann : "" Hvör ert tú ?"	teir sögdu tá við hann hvör ert tú	teir tá sögdu við hann ert hvör tú	O O F O O F O O	teir sögdu tá ert við hann hvör tú	O C O F O O O O
24	fyri at vit kunnu geva teimum svar , sum hava sent okkum .	fyri at vit kunnu geva teimum svar sum hava sent okkum	fyri at vit kunnu geva teimum svar sum hava sent okkum	O O O C C O O O F F O	sent fyri at vit geva kunnu teimum svar sum hava okkum	F O O O C F O O O C O
25	"Hvat sigur tú um teg sjálvan ? """	hvat sigur tú um teg sjálvan	hvat sigur tú um teg sjálvan	O C O O O O	hvat tú um teg sjálvan sigur	O O O O O F
26	"Hann segði : "" Eg eri rödd á einum , sum rópar í oyðimörkini : Gerið beinan veg Harrans , eins og Jesaja profetur hevur sagt . """	hann segði eg eri rödd á einum sum rópar í oyðimörkini gerið beinan veg harrans eins og jesaja profetur hevur sagt	hann segði eg rödd eri á einum rópar sum í oyðimörkini gerið beinan veg harrans eins og jesaja profetur hevur sagt	O C O O F O O F O O O C O O O O O O O C C	hann segði eg eri sagt rödd á einum hevur sum rópar í oyðimörkini gerið beinan veg harrans eins og jesaja profetur	O C O C F O O O F O C O O F O O O O O O O
27	Men teir , sum sendir vóru , vóru úr flokki Farisearanna .	men teir sum sendir vóru vóru úr flokki farisearanna	men teir sum sendir vóru vóru úr flokki farisearanna	O O O F F C O O O	men teir sum sendir vóru vóru úr flokki farisearanna	O O O C C F O O O
28	"Og teir spurdu hann og sögdu við hann : "" Hví doypir tú tá , um tú ikki ert Kristus , ei heldur Elia , ei heldur profeturin ? """	og teir spurdu hann og sögdu við hann hví doypir tú tá um tú ikki ert kristus ei heldur elia ei heldur profeturin	og teir hann spurdu sögdu og við hann hví doypir tú tá um tú ikki ert kristus ei heldur elia ei heldur profeturin	O O O F F O O O O C O O O O O C O O O O O O O	og teir spurdu hann og við ert hann hví doypir tú tá um sögdu tú ikki kristus ei heldur elia ei heldur profeturin	O O C O O O F O O C O O O F O O O O O O O O O
29	"Jóhannes svaraði teimum og segði : "" Eg doypi við vatni ; mitt í millum tykkara stendur hann , sum tit ikki kenna , hann sum kemur aftan á meg , sum eg ikki eri verdur at loysa tveingirnar hjá . """	jóhannes svaraði teimum og segði eg doypi við vatni mitt í millum tykkara stendur hann sum tit ikki kenna hann sum kemur aftan á meg sum eg ikki eri verdur at loysa tveingirnar hjá	jóhannes teimum svaraði segði og eg doypi við vatni mitt í millum tykkara stendur hann sum tit ikki hann kenna kemur sum aftan á meg sum eg ikki eri verdur at loysa tveingirnar hjá	O O F F O O C O O O O O O C O O O O O F F O O O O O O O C O O C O O	jóhannes svaraði teimum og eg doypi við vatni kenna mitt í millum tykkara stendur hann sum segði tit ikki hann sum kemur aftan á eri meg loysa sum eg ikki verdur at tveingirnar hjá	O C O O O C O O F O O O O C O O F O O O O C O O F O F O O O O O O O
30	Hetta hendi í Betániu , hinumegin Jórdan , har sum Jóhannes doypti .	hetta hendi í betániu hinumegin jórdan har sum jóhannes doypti	hetta í hendi betániu hinumegin jórdan har sum doypti jóhannes	O O F O O O O O F O	doypti hetta hendi í betániu hinumegin jórdan har sum jóhannes	F O C O O O O O O O
31	"Dagin eftir sær hann Jesus koma til sín og sigur : "" Sí , Guðs lambið , sum ber synd heimsins !"	dagin eftir sær hann jesus koma til sín og sigur sí guðs lambið sum ber synd heimsins	dagin eftir sær hann jesus koma til sín og sigur sí guðs lambið sum ber synd heimsins	O O C O O C O O O F F O O O C O O	dagin eftir hann jesus koma til sær sín og sigur sí guðs lambið ber sum synd heimsins	O O O O C O F O O C C O O F O O O
32	Hann er tann , sum eg segði um : Aftan á meg kemur maður , sum hevur verið undan mær ; tí at hann var fyrr enn eg .	hann er tann sum eg segði um aftan á meg kemur maður sum hevur verið undan mær tí at hann var fyrr enn eg	hann er tann sum eg um segði aftan á kemur meg maður sum hevur verið undan mær tí at hann fyrr var enn eg	O C O O O O F O O F O O O C C O O O O O O F O O	hann tann sum eg um aftan á meg maður sum hevur verið undan mær segði tí at hann var fyrr er enn eg kemur	O O O O O O O O O O C C O O F O O O C O F O O F
33	"Og eg kendi hann ikki ; men fyri at hann skuldi verða opinberaður fyri Ísrael , tí eri eg komin og doypi við vatni . """	og eg kendi hann ikki men fyri at hann skuldi verða opinberaður fyri ísrael tí eri eg komin og doypi við vatni	og kendi eg hann ikki men fyri at hann skuldi verða fyri opinberaður ísrael eri tí eg komin og doypi við vatni	O F O O O O O O O C C O F O F O O C O C O O	og eg kendi hann ikki men fyri at hann opinberaður skuldi fyri ísrael tí verða eri eg komin og við vatni doypi	O O C O O O O O O F C O O O F C O C O O O F
34	"Og Jóhannes vitnaði og segði : "" Eg sá andan stíga niður av himni í dúgvu líki , og hann varð verandi yvir honum ."	og jóhannes vitnaði og segði eg sá andan stíga niður av himni í dúgvu líki og hann varð verandi yvir honum	og jóhannes segði vitnaði og eg sá andan stíga niður av himni í dúgvu líki og hann varð verandi yvir honum	O O F F O O C O C O O O O O O O O F F O O	og jóhannes vitnaði og eg andan niður av himni í dúgvu líki stíga og hann sá varð verandi yvir segði honum	O O C O O O O O O O O O F O O F C C O F O
35	"Og eg kendi hann ikki ; men tann , sum sendi meg at doypa við vatni , hann segði við meg : "" Hann , sum tú sært andan stíga niður yvir og verða verandi yvir , hann er tann , sum doypir við heilagum anda . """	og eg kendi hann ikki men tann sum sendi meg at doypa við vatni hann segði við meg hann sum tú sært andan stíga niður yvir og verða verandi yvir hann er tann sum doypir við heilagum anda	og eg kendi hann ikki men tann sum sendi meg at við doypa vatni segði hann við meg hann sum tú sært andan stíga niður yvir og verða verandi yvir hann er tann sum doypir við heilagum anda	O O C O O O O O C O O O F O F O O O O O O C O C O O O F F O O C O O C O O O	og verandi eg hann segði ikki men doypa tann sendi sum meg at við vatni hann við meg hann sum tú sært andan stíga niður yvir og verða yvir hann kendi er tann sum doypir við heilagum anda	O F O O F O O F O F O O O O O O O O O O O C O C O O O C O O F C O O C O O O
36	"Og eg havi sæð tað og havi vitnað , at hesin er sonur Guðs . """	og eg havi sæð tað og havi vitnað at hesin er sonur guðs	og eg havi sæð tað og havi vitnað at hesin sonur er guðs	O O F F O O C C O O O F O	sæð og eg havi er tað og havi at hesin vitnað sonur guðs	F O O C F O O C O O F O O
37	Dagin eftir stóð Jóhannes har aftur og tveir av lærusveinum hansara .	dagin eftir stóð jóhannes har aftur og tveir av lærusveinum hansara	dagin stóð eftir jóhannes har aftur og tveir av lærusveinum hansara	O F O O O O O O O O O	dagin eftir jóhannes har stóð aftur og tveir av lærusveinum hansara	O O O O F O O O O O O
38	"Og í tí hann hugdi at Jesusi , sum kom gangandi , sigur hann : "" Sí , Guðslambið ! """	og í tí hann hugdi at jesusi sum kom gangandi sigur hann sí guðslambið	og í tí hann hugdi at jesusi sum kom gangandi sigur hann sí guðslambið	O O O O C O O O C F F O C O	og gangandi í tí hann sigur at jesusi sum kom hann hugdi sí guðslambið	O F O O O F O O O C O F C O
39	Og teir tveir lærusveinarnir hoyrdu hann siga hetta , og teir fóru aftan á Jesus .	og teir tveir lærusveinarnir hoyrdu hann siga hetta og teir fóru aftan á jesus	og teir tveir lærusveinarnir hoyrdu hann hetta siga og fóru teir aftan á jesus	O O O O C O O F O F O O O O	og teir tveir lærusveinarnir hann hetta og teir fóru aftan á jesus hoyrdu siga	O O O O O O O O C O O O F F
40	"Men Jesus vendi sær á , og tá ið hann sá teir koma aftan á seg , sigur hann við teir : "" Hvörjum leita tit eftir ? """	men jesus vendi sær á og tá ið hann sá teir koma aftan á seg sigur hann við teir hvörjum leita tit eftir	men jesus vendi sær á og tá ið hann sá teir aftan koma á sigur seg hann við teir hvörjum leita tit eftir	O O C O O O O O O C O O F O F O O O O O C O O	men jesus vendi sær á og tá leita ið sigur hann sá teir koma aftan á seg hann við teir hvörjum tit eftir	O O C O O O O F O F O C O C O O O O O O O O O
41	"Men teir sögdu við hann : "" Rabbi sum útlagt merkir : meistari , hvar býrt tú ? """	men teir sögdu við hann rabbi sum útlagt merkir meistari hvar býrt tú	men teir sögdu við hann rabbi sum útlagt merkir meistari hvar býrt tú	O O C O O O O F F O O C O	men teir sögdu við hann merkir rabbi sum býrt útlagt meistari hvar tú	O O C O O F O O F C O O O
42	"Hann sigur við teir : "" Komið og síggið ! """	hann sigur við teir komið og síggið	hann sigur við teir síggið komið og	O C O O F F O	síggið hann sigur við teir komið og	F O C O O C O
43	Teir komu og sóu , hvar hann búði , og teir vórðu verandi hjá honum tann dagin ; tað var um tíggjunda tíma .	teir komu og sóu hvar hann búði og teir vórðu verandi hjá honum tann dagin tað var um tíggjunda tíma	teir komu og sóu hvar hann og búði vórðu teir verandi hjá honum tann dagin tað var um tíggjunda tíma	O C O C O O O F F O C O O O O O C O O O	teir og sóu búði hvar hann verandi og teir vórðu hjá honum tann dagin tað var um tíggjunda tíma komu	O O C F O O F O O C O O O O O C O O O F
44	Andrias , bróðir Símun Pæturs , var annar av teimum báðum , sum hövdu hoyrt hetta av Jóhannesi og hövdu fylgt honum .	andrias bróðir símun pæturs var annar av teimum báðum sum hövdu hoyrt hetta av jóhannesi og hövdu fylgt honum	andrias bróðir símun pæturs annar var av teimum báðum hövdu sum hoyrt hetta av jóhannesi og hövdu honum fylgt	O O O O O F O O O F O C O O O O C O F	andrias hövdu bróðir símun pæturs var annar av hövdu hoyrt teimum báðum sum hetta av jóhannesi og fylgt honum	O F O O O C O O F F O O O O O O O C O
45	"Hann finnur fyrst bróður sín , Símun , og sigur við hann : "" Vit hava funnið Messias "" sum er tað sama sum Kristus ; tað er : salvaður ."	hann finnur fyrst bróður sín símun og sigur við hann vit hava funnið messias sum er tað sama sum kristus tað er salvaður	finnur hann fyrst bróður sín símun og sigur við hann vit hava messias funnið er sum tað sama sum kristus tað er salvaður	F O O O O O O C O O O C O F F O O O O O O C C	hann fyrst bróður salvaður sín símun og sigur við hann vit hava messias sum finnur funnið tað sama sum kristus tað er er	O O O F O O O C O O O C O O F F O O O O O C F
46	Og hann fördi hann til Jesus .	og hann fördi hann til jesus	og hann hann fördi til jesus	O O O F O O	fördi og hann hann til jesus	F O O O O O
47	"Men Jesus hugdi upp á hann og segði : "" Tú ert Símun , sonur Jónasar , tú skalt verða kallaður Kefas sum er útlagt : Petros ; tað er : klettur ."	men jesus hugdi upp á hann og segði tú ert símun sonur jónasar tú skalt verða kallaður kefas sum er útlagt petros tað er klettur	men hugdi jesus upp á hann og segði tú ert símun sonur jónasar tú skalt verða kallaður kefas sum er petros útlagt er tað klettur	O F O O O O O C O C O O O O F F C O O C O F F O O	men jesus útlagt kallaður hugdi upp á er hann og segði tú ert símun sonur jónasar tú skalt kefas sum verða er petros tað klettur	O O F F C O O F O O C O C O O O O C O O F C O O O
48	"Dagin eftir ætlaði hann at fara av stað til Galileu , og hann finnur Filippus ; og Jesus sigur við hann : "" Fylg mær ! """	dagin eftir ætlaði hann at fara av stað til galileu og hann finnur filippus og jesus sigur við hann fylg mær	dagin eftir ætlaði hann at fara av stað til galileu og hann filippus finnur og sigur jesus við hann fylg mær	O O C O O C O O O O O O O F O F O O O C O	dagin fara eftir ætlaði hann at av stað til fylg galileu og hann finnur filippus og jesus sigur við hann mær	O F O C O O O O O F O O O C O O O C O O O
49	Men Filippus var úr Betsajdu , bygd teirra Andriasar og Pæturs .	men filippus var úr betsajdu bygd teirra andriasar og pæturs	men filippus var úr betsajdu bygd teirra andriasar og pæturs	O O C O O O O O O O	men filippus var úr betsajdu bygd teirra andriasar og pæturs	O O C O O O O O O O
50	"Filippus finnur Natanael og sigur við hann : "" Vit hava funnið tann , sum Móses í lógini og profetarnir hava skrivað um , Jesus , son Jósefs úr Nasaret . """	filippus finnur natanael og sigur við hann vit hava funnið tann sum móses í lógini og profetarnir hava skrivað um jesus son jósefs úr nasaret	filippus natanael finnur sigur og við hann vit hava funnið tann sum móses í lógini og profetarnir hava skrivað um jesus son jósefs úr nasaret	O O F F O O O O C C O O O O O O O F F O O O O O O	finnur filippus natanael og sigur við hann vit funnið tann sum móses í lógini hava og profetarnir hava um skrivað jesus son jósefs úr nasaret	F O O O C O O O C O O O O O F O O C O F O O O O O
51	"Og Natanael segði við hann : "" Kann nakað gott vera úr Nasaret ? """	og natanael segði við hann kann nakað gott vera úr nasaret	og natanael segði við hann kann nakað gott úr vera nasaret	O O C O O C O O O F O	og kann natanael segði við hann nakað gott úr vera nasaret	O F O C O O O O O F O
52	"Filippus sigur við hann : "" Kom og síggj ! """	filippus sigur við hann kom og síggj	sigur filippus við hann kom og síggj	F O O O C O C	filippus við hann og síggj sigur kom	O O O O C F F
53	"Jesus sá Natanael koma til sín , og hann sigur um hann : "" Sí , har er av sonnum Ísraelitur , sum ikki svik eru í ! """	jesus sá natanael koma til sín og hann sigur um hann sí har er av sonnum ísraelitur sum ikki svik eru í	jesus koma sá natanael til sín og hann sigur um hann sí har av er sonnum ísraelitur sum ikki eru svik í	O F F O O O O O C O O C O O F O O O O F O O	jesus natanael til sín og er hann sigur um hann sá sí har av sonnum ísraelitur sum koma ikki svik eru í	O O O O O F O C O O F C O O O O O F O O C O
54	"Natanael sigur við hann : "" Hvaðan kennir tú meg ? """	natanael sigur við hann hvaðan kennir tú meg	natanael sigur við hann hvaðan kennir tú meg	O C O O O C O O	natanael við hann sigur hvaðan kennir tú meg	O O O F O C O O
55	"Jesus svaraði og segði við hann : "" Áðr enn Filippus rópaði teg , sá eg teg , har sum tú vart undir fikutræinum . """	jesus svaraði og segði við hann áðr enn filippus rópaði teg sá eg teg har sum tú vart undir fikutræinum	jesus segði svaraði og við hann áðr enn filippus rópaði teg sá eg teg har sum tú undir vart fikutræinum	O F F O O O O O O C O C O O O O O O F O	segði jesus og við hann áðr enn filippus rópaði teg sá eg teg har svaraði sum tú vart undir fikutræinum	F O O O O O O O C O C O O O F O O C O O
56	"Natanael svaraði honum : "" Rabbi , tú ert sonur Guðs , tú ert kongur Ísraels ! """	natanael svaraði honum rabbi tú ert sonur guðs tú ert kongur ísraels	svaraði natanael honum rabbi tú ert sonur guðs tú ert kongur ísraels	F O O O O C O O O C O O	natanael svaraði honum rabbi tú sonur ert guðs tú ert kongur ísraels	O C O O O O F O O C O O
57	"Jesus svaraði og segði við hann : "" Trýrt tú , tí at eg segði tær , at eg sá teg undir fikutræinum ?"	jesus svaraði og segði við hann trýrt tú tí at eg segði tær at eg sá teg undir fikutræinum	jesus segði svaraði og við hann trýrt tú tí at eg segði tær at eg teg sá undir fikutræinum	O F F O O O C O O O O C O O O O F O O	jesus og við hann tú tí at eg segði tær at eg segði svaraði sá teg undir trýrt fikutræinum	O O O O O O O O C O O O F F C O O F O
58	"Tú skalt síggja tað , sum störri er enn hetta . """	tú skalt síggja tað sum störri er enn hetta	skalt tú síggja tað sum störri er enn hetta	F O C O O O C O O	tú tað sum störri er enn hetta síggja skalt	O O O O C O O F F
59	"Og hann segði við hann : "" Sanniliga , sanniliga sigi eg tykkum : Tit skulu síggja himmalin opnan , og einglar Guðs stíga upp og stíga niður yvir menniskjusonin . """	og hann segði við hann sanniliga sanniliga sigi eg tykkum tit skulu síggja himmalin opnan og einglar guðs stíga upp og stíga niður yvir menniskjusonin	og hann við segði hann sanniliga sigi sanniliga eg tykkum tit skulu síggja himmalin opnan og einglar guðs upp stíga stíga og niður yvir menniskjusonin	O O O F O O F O O O O C C O O O O O O F F O O O O	og hann við stíga hann sanniliga sanniliga sigi eg tykkum tit skulu himmalin opnan og einglar guðs stíga síggja upp og segði niður yvir menniskjusonin	O O O F O O O C O O O C O O O O O C F O O F O O O
60	Og triðja dagin varð hildið brúdleyp í Kána í Galileu , og móðir Jesu var har .	og triðja dagin varð hildið brúdleyp í kána í galileu og móðir jesu var har	og triðja dagin varð hildið brúdleyp í kána í galileu og móðir jesu har var	O O O C C O O O O O O O O O F	og varð triðja dagin hildið brúdleyp í kána í galileu var og móðir jesu har	O F O O C O O O O O F O O O O
61	Men eisini Jesus varð boðin í brúdleypið og lærusveinar hansara .	men eisini jesus varð boðin í brúdleypið og lærusveinar hansara	men eisini varð jesus boðin í brúdleypið og lærusveinar hansara	O O F O C O O O O O	men eisini jesus varð í brúdleypið og lærusveinar boðin hansara	O O O C O O O O F O
62	"Og tá ið har treyt vín , sigur móðir Jesu við hann : "" Tey hava einki vín . """	og tá ið har treyt vín sigur móðir jesu við hann tey hava einki vín	og tá ið har treyt vín móðir sigur jesu við hann hava tey einki vín	O O O O C O O F O O O F O O O	treyt sigur og tá ið har vín móðir jesu við hann tey hava einki vín	F F O O O O O O O O O O C O O
63	"Og Jesus sigur við hana : "" Kvinna , hvat vilt tú mær ?"	og jesus sigur við hana kvinna hvat vilt tú mær	og jesus sigur við hana kvinna hvat vilt tú mær	O O C O O O O C O O	og jesus við hana kvinna sigur hvat vilt tú mær	O O O O O F O C O O
64	"Enn er ikki mín tími komin . """	enn er ikki mín tími komin	enn ikki er mín komin tími	O O F O F O	enn er ikki komin mín tími	O C O F O O
65	"Móðir hansara sigur við tænararnar : "" Hvat hann so sigur við tykkum , tað skulu tit gera . """	móðir hansara sigur við tænararnar hvat hann so sigur við tykkum tað skulu tit gera	móðir hansara sigur við tænararnar hvat hann so sigur við tykkum tað gera skulu tit	O O C O O O O O C O O O F F O	móðir hansara skulu sigur gera við tænararnar hvat hann so sigur við tykkum tað tit	O O F C F O O O O O C O O O O
66	Men har vóru sett seks vatnsker av steini eftir reinsanarsiði hjá Jödum , og tók hvört teirra tvær ella tríggjar kannur .	men har vóru sett seks vatnsker av steini eftir reinsanarsiði hjá jödum og tók hvört teirra tvær ella tríggjar kannur	men har vóru sett seks vatnsker av steini eftir reinsanarsiði hjá jödum og hvört tók teirra tvær ella tríggjar kannur	O O C C O O O O O O O O O O F O O O O O	men har vóru seks vatnsker av steini eftir reinsanarsiði sett hjá jödum og tók hvört teirra tvær ella tríggjar kannur	O O C O O O O O O F O O O C O O O O O O
67	"Jesus sigur við teir : "" Fyllið vatnskerini við vatni ! """	jesus sigur við teir fyllið vatnskerini við vatni	sigur jesus við teir fyllið vatnskerini við vatni	F O O O C O O O	jesus við teir fyllið vatnskerini sigur við vatni	O O O C O F O O
68	Og teir fyltu tey á tremur .	og teir fyltu tey á tremur	og teir fyltu tey á tremur	O O C O O O	og fyltu teir tey á tremur	O F O O O O
69	"Og hann sigur við teir : "" Oysið nú upp og berið hövuðskokkinum ! """	og hann sigur við teir oysið nú upp og berið hövuðskokkinum	og hann við sigur oysið teir nú upp og berið hövuðskokkinum	O O O F F O O O O C O	og hann við teir nú upp oysið og sigur berið hövuðskokkinum	O O O O O O F O F C O
70	Og teir bóru honum .	og teir bóru honum	og teir bóru honum	O O C O	og teir bóru honum	O O C O
