idx	original	no_punc_lower	adjacent	adjacent_gold	random	random_gold
10	Frågor som du skapar syns dock inte i databasfönstret eftersom läget inte går att ange i användargränssnittet .	frågor som du skapar syns dock inte i databasfönstret eftersom läget inte går att ange i användargränssnittet	frågor som du skapar syns dock inte i databasfönstret eftersom läget inte ange går att i användargränssnittet	O O O C C O O O O O O O F F O O O	frågor som du skapar syns dock inte i databasfönstret eftersom läget inte att i användargränssnittet går ange	O O O C C O O O O O O O O O O F F
11	I Access 2002 kan du ange ANSI SQL-frågeläge via användargränssnittet i den aktuella databasen och som standardinställning i nya databaser .	i access 2002 kan du ange ansi sql-frågeläge via användargränssnittet i den aktuella databasen och som standardinställning i nya databaser	i access 2002 kan du ange ansi sql-frågeläge via användargränssnittet i den aktuella databasen och som standardinställning i nya databaser	O O O C O C O O O O O O O O O O O O O O	i access 2002 kan du ansi sql-frågeläge via användargränssnittet i den aktuella databasen och som standardinställning ange i nya databaser	O O O C O O O O O O O O O O O O F O O O
12	Varför ska jag använda ANSI-92 SQL ?	varför ska jag använda ansi-92 sql	varför använda ska jag ansi-92 sql	O F F O O O	varför ska jag ansi-92 sql använda	O C O O O F
13	Det kan vara intressant att använda ANSI-92 SQL av följande anledningar :	det kan vara intressant att använda ansi-92 sql av följande anledningar	det kan vara intressant att ansi-92 använda sql av följande anledningar	O C C O O O F O O O O	det kan intressant att använda vara ansi-92 sql av följande anledningar	O C O O C F O O O O O
14	Du funderar på att utvidga programmet till ett Access-projekt i framtiden och vill skapa frågor som behöver så få förändringar som möjligt för att köras i en Microsoft SQL Server-databas .	du funderar på att utvidga programmet till ett access-projekt i framtiden och vill skapa frågor som behöver så få förändringar som möjligt för att köras i en microsoft sql server-databas	funderar du på att utvidga programmet till ett access-projekt i framtiden och vill frågor skapa behöver som så få förändringar som möjligt för att köras i en microsoft sql server-databas	F O O O C O O O O O O O C O F F O O O O O O O O C O O O O O	du funderar på att utvidga vill köras programmet till ett access-projekt i skapa framtiden och frågor som behöver så få förändringar som möjligt för att i en microsoft sql server-databas	O C O O C F F O O O O O F O O O O C O O O O O O O O O O O O
15	Du vill utnyttja de nya funktionerna som inte finns i ANSI-89 SQL , till exempel :	du vill utnyttja de nya funktionerna som inte finns i ansi-89 sql till exempel	du vill de utnyttja nya funktionerna som finns inte i ansi-89 sql till exempel	O C O F O O O F O O O O O O	du vill utnyttja finns de nya funktionerna som inte i ansi-89 sql till exempel	O C C F O O O O O O O O O O
16	Ändra säkerhetsinställningar genom att använda SQL-uttrycken GRANT och REVOKE	ändra säkerhetsinställningar genom att använda sql-uttrycken grant och revoke	ändra säkerhetsinställningar genom att använda sql-uttrycken grant och revoke	C O O O C O O O O	säkerhetsinställningar genom att ändra använda sql-uttrycken grant och revoke	O O O F C O O O O
17	Använda DISTINCT i en mängdfunktionsreferens , till exempel SUM-DISTINCT-Pris	använda distinct i en mängdfunktionsreferens till exempel sum-distinct-pris	distinct använda i en mängdfunktionsreferens till exempel sum-distinct-pris	O F O O O O O O	distinct i en mängdfunktionsreferens till exempel använda sum-distinct-pris	O O O O O O F O
18	Begränsa antalet rader som en fråga returnerar genom att använda villkoret LIMIT TO nn ROWS	begränsa antalet rader som en fråga returnerar genom att använda villkoret limit to nn rows	begränsa antalet rader som en returnerar fråga genom att använda villkoret limit to nn rows	C O O O O F O O O C O O O O O	begränsa antalet rader som en fråga genom returnerar att använda villkoret limit to nn rows	C O O O O O O F O C O O O O O
19	Varför ska jag undvika att blanda frågor som skapats i olika ANSI SQL-frågelägen ?	varför ska jag undvika att blanda frågor som skapats i olika ansi sql-frågelägen	varför undvika ska jag att blanda frågor som skapats i olika ansi sql-frågelägen	O F F O O C O O C O O O O	varför ska undvika skapats jag att blanda frågor som i olika ansi sql-frågelägen	O C F F O O C O O O O O O
20	ANSI SQL är standardfrågeläget när du skapar nya Access-databaser i 2002- och 2000-filformat	ansi sql är standardfrågeläget när du skapar nya access-databaser i 2002- och 2000-filformat	ansi sql standardfrågeläget är när skapar du nya access-databaser i 2002- och 2000-filformat	O O O F O F O O O O O O O	ansi sql standardfrågeläget när du skapar nya access-databaser i 2002- och 2000-filformat är	O O O O O C O O O O O O F
21	ANSI-89 är standardinställningen för nya Access-databaser i 2002- och 2000-filformat .	ansi-89 är standardinställningen för nya access-databaser i 2002- och 2000-filformat	ansi-89 är standardinställningen för nya access-databaser i 2002- och 2000-filformat	O C O O O O O O O O	ansi-89 är standardinställningen för nya access-databaser i 2002- och 2000-filformat	O C O O O O O O O O
22	Du kan inte ange SQL-frågeläge för nya databaser till ANSI-92 i 2000-filformat eftersom det alternativet är inaktiverat .	du kan inte ange sql-frågeläge för nya databaser till ansi-92 i 2000-filformat eftersom det alternativet är inaktiverat	du kan inte sql-frågeläge ange för nya databaser till ansi-92 i 2000-filformat eftersom det är alternativet inaktiverat	O C O O F O O O O O O O O O F O C	du kan inte inaktiverat sql-frågeläge för nya databaser ange till ansi-92 i 2000-filformat eftersom det alternativet är	O C O F O O O O F O O O O O O O C
23	ANSI-89 är den enda frågelägesinställning som är tillgänglig för databaser i filformatet för Access 2000 .	ansi-89 är den enda frågelägesinställning som är tillgänglig för databaser i filformatet för access 2000	ansi-89 är den enda frågelägesinställning som tillgänglig är för databaser i filformatet för access 2000	O C O O O O O F O O O O O O O	ansi-89 den enda är frågelägesinställning som är tillgänglig för databaser i filformatet för access 2000	O O O F O O C O O O O O O O O
24	Om att använda anslutningsfiler	om att använda anslutningsfiler	om använda att anslutningsfiler	O F O O	om använda att anslutningsfiler	O F O O
25	I en anslutningsfil lagras information om en anslutning till en datakälla ( t.ex en OLE DB-datakälla ) och informationen som hör till anslutningen .	i en anslutningsfil lagras information om en anslutning till en datakälla t.ex en ole db-datakälla och informationen som hör till anslutningen	i en anslutningsfil lagras information om en anslutning till en datakälla t.ex en ole db-datakälla och informationen som hör till anslutningen	O O O C O O O O O O O O O O O O O O C O O	i en anslutningsfil lagras information om en anslutning till en datakälla t.ex en ole db-datakälla och hör informationen som till anslutningen	O O O C O O O O O O O O O O O O F O O O O
26	I Microsoft Access kan du använda en anslutningsfil för att knyta en eller flera dataåtkomstsidor till en datakälla .	i microsoft access kan du använda en anslutningsfil för att knyta en eller flera dataåtkomstsidor till en datakälla	i microsoft access använda kan du en anslutningsfil för att knyta en eller flera dataåtkomstsidor till en datakälla	O O O F F O O O O O C O O O O O O O	i microsoft access du en anslutningsfil kan för att knyta en eller använda flera dataåtkomstsidor till en datakälla	O O O O O O F O O C O O F O O O O O
27	När du öppnar en sida läser Access anslutningsfilen som är länkad till sidan och ansluter sidan till rätt datakälla med hjälp av anslutningsfilens innehåll .	när du öppnar en sida läser access anslutningsfilen som är länkad till sidan och ansluter sidan till rätt datakälla med hjälp av anslutningsfilens innehåll	när du öppnar en sida access läser anslutningsfilen är som länkad till sidan och ansluter sidan till rätt datakälla med hjälp av anslutningsfilens innehåll	O O C O O O F O F O C O O O C O O O O O O O O O	när du en sida access anslutningsfilen som länkad till sidan läser och ansluter sidan till rätt datakälla öppnar med är hjälp av anslutningsfilens innehåll	O O O O O O O C O O F O C O O O O F O F O O O O
28	En anslutningsfil har något av följande filformat :	en anslutningsfil har något av följande filformat	en anslutningsfil något har av följande filformat	O O O F O O O	en anslutningsfil har något av följande filformat	O O C O O O O
29	Ett filformat som använder HTML och XML för att lagra anslutningsinformationen .	ett filformat som använder html och xml för att lagra anslutningsinformationen	ett filformat använder som html och xml för att lagra anslutningsinformationen	O O F O O O O O O C O	ett filformat som html och xml för använder att lagra anslutningsinformationen	O O O O O O O F O C O
30	Du kan visa eller redigera innehållet i filen i en textredigerare .	du kan visa eller redigera innehållet i filen i en textredigerare	du kan redigera visa eller innehållet i filen i en textredigerare	O C F F O O O O O O O	du eller kan redigera innehållet i filen i en textredigerare visa	O O F C O O O O O O F
31	Fördelar med att använda en anslutningsfil	fördelar med att använda en anslutningsfil	fördelar med att använda en anslutningsfil	O O O C O O	fördelar med använda att en anslutningsfil	O O F O O O
32	Om du använder en anslutningsfil blir det enklare att använda dataåtkomstsidor som hör ihop .	om du använder en anslutningsfil blir det enklare att använda dataåtkomstsidor som hör ihop	om du använder en anslutningsfil det blir enklare använda att dataåtkomstsidor som hör ihop	O O C O O O F O F O O O C O	om du använder använda en anslutningsfil det enklare blir att dataåtkomstsidor som hör ihop	O O C F O O O O F O O O C O
33	Sidor som ansluts till en gemensam datakälla kan ha en gemensam anslutningsfil .	sidor som ansluts till en gemensam datakälla kan ha en gemensam anslutningsfil	sidor som ansluts till en gemensam datakälla kan ha en gemensam anslutningsfil	O O C O O O O F F O O O	sidor som till en gemensam kan datakälla ha ansluts en gemensam anslutningsfil	O O O O O F O C F O O O
34	Om du flyttar eller kopierar datakällan behöver du inte uppdatera egenskapen ConnectionString för varje beroende sida utan bara redigera anslutningsinformationen i anslutningsfilen och ange rätt sökväg eller databas för sidorna .	om du flyttar eller kopierar datakällan behöver du inte uppdatera egenskapen connectionstring för varje beroende sida utan bara redigera anslutningsinformationen i anslutningsfilen och ange rätt sökväg eller databas för sidorna	om du flyttar eller kopierar datakällan du behöver uppdatera inte egenskapen connectionstring för varje beroende sida utan bara redigera anslutningsinformationen i anslutningsfilen och ange rätt sökväg eller databas för sidorna	O O C O C O O F F O O O O O O O O O C O O O O C O O O O O O	om du flyttar eller redigera datakällan du inte uppdatera egenskapen connectionstring för varje beroende sida utan kopierar bara anslutningsinformationen i behöver anslutningsfilen och ange rätt sökväg eller databas för sidorna	O O C O F O O O C O O O O O O O F O O O F O O C O O O O O O
35	Länka en sida till en anslutningsfil	länka en sida till en anslutningsfil	en länka sida till en anslutningsfil	O F O O O O	länka en sida till en anslutningsfil	C O O O O O
36	När du skapar en dataåtkomstsida kan du välja om du vill länka sidan till en anslutningsfil eller bara använda en anslutningsfil utan att skapa en länk .	när du skapar en dataåtkomstsida kan du välja om du vill länka sidan till en anslutningsfil eller bara använda en anslutningsfil utan att skapa en länk	när skapar du en dataåtkomstsida kan du välja om du vill länka sidan till en anslutningsfil eller bara använda en anslutningsfil utan att skapa en länk	O F O O O C O C O O F F O O O O O O C O O O O C O O	när du en skapa dataåtkomstsida kan du om du vill sidan till en anslutningsfil eller bara använda en anslutningsfil länka skapar utan att en välja länk	O O O F O C O O O C O O O O O O C O O F F O O O F O
37	Du kan också välja om du vill använda en befintlig anslutningsfil eller skapa en ny .	du kan också välja om du vill använda en befintlig anslutningsfil eller skapa en ny	du välja kan också om du vill använda en befintlig anslutningsfil eller en skapa ny	O F F O O O C C O O O O O F O	du kan också om du använda en befintlig välja anslutningsfil eller vill skapa en ny	O C O O O C O O F O O F C O O
38	Länka till en anslutningsfil	länka till en anslutningsfil	länka till en anslutningsfil	C O O O	till länka en anslutningsfil	O F O O
39	När du upprättar en länk mellan anslutningsfilen och en sida anges namnet på filen för egenskapen ConnectionFile för sidan .	när du upprättar en länk mellan anslutningsfilen och en sida anges namnet på filen för egenskapen connectionfile för sidan	när upprättar du en länk mellan anslutningsfilen och en sida anges namnet på filen för egenskapen connectionfile för sidan	O F O O O O O O O O C O O O O O O O O	när du upprättar en länk mellan anslutningsfilen och en anges sida namnet på filen för egenskapen connectionfile för sidan	O O C O O O O O O F O O O O O O O O O
40	Varje gång du öppnar sidan läser Access anslutningsfilen , tolkar anslutningsinformationen och anger egenskapen ConnectionString för sidan .	varje gång du öppnar sidan läser access anslutningsfilen tolkar anslutningsinformationen och anger egenskapen connectionstring för sidan	varje gång du läser öppnar sidan access anslutningsfilen tolkar anslutningsinformationen och anger egenskapen connectionstring för sidan	O O O F F O O O C O O C O O O O	varje gång du öppnar sidan läser access anger anslutningsfilen anslutningsinformationen och egenskapen connectionstring tolkar för sidan	O O O C O C O F O O O O O F O O
41	Använda en anslutningsfil utan att skapa en länk	använda en anslutningsfil utan att skapa en länk	en använda anslutningsfil utan skapa att en länk	O F O O F O O O	använda en skapa anslutningsfil utan att en länk	C O F O O O O O
42	När du skapar en sida kan du använda innehållet i en anslutningsfil för att ange egenskapen ConnectionString för sidan men välja att inte skapa en länk mellan sidan och anslutningsfilen .	när du skapar en sida kan du använda innehållet i en anslutningsfil för att ange egenskapen connectionstring för sidan men välja att inte skapa en länk mellan sidan och anslutningsfilen	när du skapar en sida kan du innehållet använda i en anslutningsfil för ange att egenskapen connectionstring för sidan men välja att inte skapa en länk mellan sidan och anslutningsfilen	O O C O O C O O F O O O O F O O O O O O C O O C O O O O O O	när du en sida du använda innehållet i välja en anslutningsfil för att ange skapar egenskapen connectionstring för sidan men att inte skapa en kan länk mellan sidan och anslutningsfilen	O O O O O C O O F O O O O C F O O O O O O O C O F O O O O O
43	Ändra anslutningsinformationen för en sida	ändra anslutningsinformationen för en sida	anslutningsinformationen ändra för en sida	O F O O O	anslutningsinformationen ändra för en sida	O F O O O
44	När en anslutningsfil används	när en anslutningsfil används	när en används anslutningsfil	O O F O	när en anslutningsfil används	O O O C
45	Antingen ändrar du egenskapen ConnectionFile för sidan så att den leder till en annan anslutningsfil , eller också redigerar du anslutningsfilen i en textredigerare .	antingen ändrar du egenskapen connectionfile för sidan så att den leder till en annan anslutningsfil eller också redigerar du anslutningsfilen i en textredigerare	antingen ändrar du egenskapen connectionfile för sidan så att den leder till en annan anslutningsfil eller också du redigerar anslutningsfilen i en textredigerare	O C O O O O O O O O C O O O O O O O F O O O O	antingen du egenskapen connectionfile för sidan så ändrar att leder den till en annan anslutningsfil eller också redigerar du anslutningsfilen i en textredigerare	O O O O O O O F O F O O O O O O O C O O O O O
46	Om du väljer att redigera anslutningsfilen måste du tänka på att alla andra sidor som använder anslutningsfilen också påverkas av de ändringar som du gör .	om du väljer att redigera anslutningsfilen måste du tänka på att alla andra sidor som använder anslutningsfilen också påverkas av de ändringar som du gör	om väljer du att redigera anslutningsfilen måste du på tänka att alla andra sidor använder som anslutningsfilen också påverkas av de ändringar som du gör	O F O O C O C O O F O O O O F O O O C O O O O O C	om redigera du att anslutningsfilen du på att alla andra sidor väljer som använder anslutningsfilen också påverkas tänka av de ändringar som måste du gör	O F O O O O O O O O O F O C O O C F O O O O F O C
47	Om du redigerar egenskapen ConnectionString för en sida som är länkad till en anslutningsfil bryts länken och egenskapen ConnectionFile får ett nullvärde .	om du redigerar egenskapen connectionstring för en sida som är länkad till en anslutningsfil bryts länken och egenskapen connectionfile får ett nullvärde	om du egenskapen redigerar connectionstring för en sida är som länkad till en anslutningsfil bryts länken och egenskapen connectionfile ett får nullvärde	O O O F O O O O F O C O O O C O O O O O F O	om du egenskapen connectionstring för en sida som länkad till är får en redigerar anslutningsfil bryts länken och egenskapen connectionfile ett nullvärde	O O O O O O O O C O F F O F O C O O O O O O
48	När ingen anslutningsfil används	när ingen anslutningsfil används	när ingen används anslutningsfil	O O F O	när ingen anslutningsfil används	O O O C
49	Antingen skapar du en länk mellan sidan och en anslutningsfil genom att ange egenskapen ConnectionFile , eller också redigerar du egenskapen ConnectionString .	antingen skapar du en länk mellan sidan och en anslutningsfil genom att ange egenskapen connectionfile eller också redigerar du egenskapen connectionstring	antingen skapar du en länk mellan sidan och en anslutningsfil genom att ange egenskapen connectionfile eller också du redigerar egenskapen connectionstring	O C O O O O O O O O O O C O O O O O F O O	antingen skapar du en länk mellan sidan och en anslutningsfil genom att ange egenskapen connectionfile eller också du egenskapen connectionstring redigerar	O C O O O O O O O O O O C O O O O O O O F
50	När du skapar en länk anger Access egenskapen ConnectionString automatiskt med hjälp av innehållet i anslutningsfilen .	när du skapar en länk anger access egenskapen connectionstring automatiskt med hjälp av innehållet i anslutningsfilen	när skapar du en länk anger access egenskapen connectionstring automatiskt med hjälp av innehållet i anslutningsfilen	O F O O O C O O O O O O O O O O	när du skapar en länk access egenskapen connectionstring anger automatiskt med hjälp av innehållet i anslutningsfilen	O O C O O O O O F O O O O O O O
51	Om att konvertera en dataåtkomstsida från en tidigare version	om att konvertera en dataåtkomstsida från en tidigare version	om att konvertera en dataåtkomstsida från en tidigare version	O O C O O O O O O	om att konvertera en dataåtkomstsida från en tidigare version	O O C O O O O O O
52	En sida som har skapats med Microsoft Access 2000 måste konverteras innan den kan användas i Access 2002 .	en sida som har skapats med microsoft access 2000 måste konverteras innan den kan användas i access 2002	en sida som har skapats med microsoft access 2000 måste konverteras innan den kan användas i access 2002	O O O F F O O O O C C O O F F O O O	en sida som konverteras har skapats med microsoft access 2000 innan kan den användas i access 2002 måste	O O O F C C O O O O O F O C O O O F
53	Öppna sidan i designläget i Access 2002 .	öppna sidan i designläget i access 2002	öppna sidan i designläget i access 2002	C O O O O O O	sidan i designläget öppna i access 2002	O O O F O O O
54	Access skapar en säkerhetskopia av sidan ( sidfilnamn.bak.htm ) på samma plats som den ursprungliga filen för dataåtkomstsidan .	access skapar en säkerhetskopia av sidan sidfilnamn.bak.htm på samma plats som den ursprungliga filen för dataåtkomstsidan	access skapar en säkerhetskopia av sidan sidfilnamn.bak.htm på samma plats som den ursprungliga filen för dataåtkomstsidan	O C O O O O O O O O O O O O O O	access skapar en säkerhetskopia av sidan sidfilnamn.bak.htm på samma plats som den ursprungliga filen för dataåtkomstsidan	O C O O O O O O O O O O O O O O
55	Om du vill återställa Access 2000-versionen av sidan tar du bort den konverterade filen , ändrar tillbaka namnet på säkerhetskopian och ansluter sidan till databasen .	om du vill återställa access 2000-versionen av sidan tar du bort den konverterade filen ändrar tillbaka namnet på säkerhetskopian och ansluter sidan till databasen	om du vill återställa access 2000-versionen av sidan tar du bort den konverterade filen ändrar tillbaka namnet på säkerhetskopian och sidan ansluter till databasen	O O F F O O O O C O O O O O C O O O O O O F O O	om du vill access 2000-versionen av sidan du bort den återställa tar konverterade filen ändrar tillbaka namnet på säkerhetskopian och ansluter sidan till databasen	O O C O O O O O O O F F O O C O O O O O C O O O
56	Om dataåtkomstsidan innehåller några Microsoft Office Web Components-element ( en pivottabellista , ett diagram eller ett kalkylblad ) kan bara användare med en giltig Microsoft Office XP-licens använda komponenterna .	om dataåtkomstsidan innehåller några microsoft office web components-element en pivottabellista ett diagram eller ett kalkylblad kan bara användare med en giltig microsoft office xp-licens använda komponenterna	om innehåller dataåtkomstsidan några microsoft office web components-element en pivottabellista ett diagram eller ett kalkylblad kan bara användare med en giltig microsoft office xp-licens använda komponenterna	O F O O O O O O O O O O O O O C O O O O O O O O C O	om dataåtkomstsidan några microsoft office web components-element en pivottabellista ett diagram eller ett kalkylblad kan bara användare med en giltig microsoft innehåller office xp-licens komponenterna använda	O O O O O O O O O O O O O O C O O O O O O F O O O F
57	Om att analysera data	om att analysera data	om att data analysera	O O O F	analysera om att data	F O O O
58	I Microsoft Access kan du analysera data med flera olika metoder .	i microsoft access kan du analysera data med flera olika metoder	i microsoft kan access du analysera data med flera olika metoder	O O F O O C O O O O O	i microsoft analysera access kan du data med flera olika metoder	O O F O C O O O O O O
59	Skapa en korsfråga	skapa en korsfråga	skapa en korsfråga	C O O	skapa en korsfråga	C O O
60	Med en korsfråga kan du beräkna och strukturera om data för enklare analys .	med en korsfråga kan du beräkna och strukturera om data för enklare analys	med en korsfråga beräkna kan du och strukturera om data för enklare analys	O O O F F O O C O O O O O	med beräkna en korsfråga du och strukturera om data för enklare kan analys	O F O O O O C O O O O F O
61	Korsfrågor beräknar summor , medelvärden och andra funktioner för data som är grupperade efter två typer av information : längs den vänstra sidan av databladet respektive tvärs över den övre kanten .	korsfrågor beräknar summor medelvärden och andra funktioner för data som är grupperade efter två typer av information längs den vänstra sidan av databladet respektive tvärs över den övre kanten	korsfrågor beräknar summor medelvärden och andra funktioner för data som är grupperade efter två typer av information längs den vänstra sidan av databladet respektive tvärs över den övre kanten	O C O O O O O O O O F F O O O O O O O O O O O O O O O O O	korsfrågor summor medelvärden och andra funktioner för beräknar data som är efter två typer av grupperade information längs den vänstra sidan av databladet respektive tvärs över den övre kanten	O O O O O O O F O O C O O O O F O O O O O O O O O O O O O
62	2 En korsfråga som bygger på urvalsfrågan	2 en korsfråga som bygger på urvalsfrågan	2 en korsfråga som bygger på urvalsfrågan	O O O O C O O	2 en korsfråga som på urvalsfrågan bygger	O O O O O O F
63	Lägga till en pivottabellista på en dataåtkomstsida	lägga till en pivottabellista på en dataåtkomstsida	lägga till en pivottabellista på en dataåtkomstsida	C O O O O O O	till en pivottabellista lägga på en dataåtkomstsida	O O O F O O O
64	En pivottabellista är en interaktiv tabell som du kan använda för att analysera data dynamiskt i en webbläsare .	en pivottabellista är en interaktiv tabell som du kan använda för att analysera data dynamiskt i en webbläsare	en pivottabellista en är interaktiv tabell som kan du använda för att analysera data dynamiskt i en webbläsare	O O O F O O O F O C O O C O O O O O	kan en pivottabellista är en interaktiv tabell som du för att analysera använda data dynamiskt i en webbläsare	F O O C O O O O O O O C F O O O O O
65	Användarna kan ändra pivottabellistans layout i körtid .	användarna kan ändra pivottabellistans layout i körtid	användarna kan ändra pivottabellistans layout i körtid	O F F O O O O	kan användarna ändra pivottabellistans layout i körtid	F O C O O O O
66	De kan flytta fälten som visas i rad- , kolumn- och dataområdet i pivottabellistan eller lägga till och ta bort fält i listan .	de kan flytta fälten som visas i rad- kolumn- och dataområdet i pivottabellistan eller lägga till och ta bort fält i listan	de kan flytta fälten som i visas rad- kolumn- och dataområdet i pivottabellistan lägga eller till och ta bort fält i listan	O C C O O O F O O O O O O F O O O C O O O O	de flytta fälten som i rad- kan kolumn- lägga och dataområdet i pivottabellistan eller visas till och ta bort fält i listan	O C O O O O F O F O O O O O F O O C O O O O
67	Användarna kan också filtrera , sortera och gruppera data .	användarna kan också filtrera sortera och gruppera data	användarna kan också filtrera sortera och gruppera data	O C O F F O C O	sortera användarna också filtrera och kan gruppera data	F O O C O F C O
68	Följande bild visar en pivottabellista på dataåtkomstsidan Order .	följande bild visar en pivottabellista på dataåtkomstsidan order	följande bild visar en pivottabellista på dataåtkomstsidan order	O O C O O O O O	följande bild visar en pivottabellista på dataåtkomstsidan order	O O C O O O O O
69	Visa ett datablad eller formulär i pivottabelläget	visa ett datablad eller formulär i pivottabelläget	ett visa datablad eller formulär i pivottabelläget	O F O O O O O	ett datablad eller formulär i visa pivottabelläget	O O O O O F O
70	Access 2002 innehåller ett pivottabelläge för datablad och formulär .	access 2002 innehåller ett pivottabelläge för datablad och formulär	access innehåller 2002 ett pivottabelläge för datablad och formulär	O F O O O O O O O	access 2002 innehåller ett pivottabelläge för datablad och formulär	O O C O O O O O O
71	I det här läget kan du skapa en interaktiv rapport med hjälp av de underliggande fälten för databladet eller formuläret .	i det här läget kan du skapa en interaktiv rapport med hjälp av de underliggande fälten för databladet eller formuläret	i det här läget kan du skapa en interaktiv rapport med hjälp av de underliggande fälten för databladet eller formuläret	O O O O C O C O O O O O O O O O O O O O	i det här läget du skapa en interaktiv rapport med hjälp av kan de underliggande fälten för databladet eller formuläret	O O O O O C O O O O O O F O O O O O O O
72	Läget bygger på en Microsoft Office-pivottabellkomponent , vilket innebär att du kan göra allt som du kan göra i en pivottabellista .	läget bygger på en microsoft office-pivottabellkomponent vilket innebär att du kan göra allt som du kan göra i en pivottabellista	läget på bygger en microsoft office-pivottabellkomponent innebär vilket att du kan göra allt som du kan göra i en pivottabellista	O O F O O O F O O O C C O O O F F O O O	läget innebär kan bygger på en microsoft office-pivottabellkomponent kan vilket att du göra allt som du göra i en pivottabellista	O F F C O O O O F O O O C O O O C O O O
73	Du kan lägga till fält i vyn , flytta eller ta bort fält och filtrera , sortera och gruppera data .	du kan lägga till fält i vyn flytta eller ta bort fält och filtrera sortera och gruppera data	du kan lägga till fält i vyn ta flytta eller bort fält och filtrera sortera och data gruppera	O C C O O O O F F O O O O C C O O F	du till kan fält i ta vyn lägga eller bort fält och filtrera sortera och gruppera data flytta	O O F O O F O F O O O O C C O C O F
