idx	original	no_punc_lower	correct_gold	no_punc_lower_permuted	permuted_gold
10	Observera att ansökan härom skall göras senast den 1 juli 1971 .	observera att ansökan härom skall göras senast den 1 juli 1971	C O O O C C O O O O O	observera att ansökan härom göras skall senast den 1 juli 1971	C O O O F F O O O O O
11	Kommunalskatteavdraget slopas	kommunalskatteavdraget slopas	O C	kommunalskatteavdraget slopas	O C
12	För fysiska personer , dödsbon och familjestiftelser slopas rätten att göra avdrag för kommunalskatten fr.o.m. den självdeklaration som skall avlämnas 1972 .	för fysiska personer dödsbon och familjestiftelser slopas rätten att göra avdrag för kommunalskatten fr.o.m. den självdeklaration som skall avlämnas 1972	O O O O O O C O O O O O C O O O O C C O	för fysiska personer dödsbon och familjestiftelser rätten slopas fr.o.m. den självdeklaration göra att avdrag för kommunalskatten som skall avlämnas 1972	O O O O O O O F O O O F O O O O O C C O
13	I självdeklarationen 1971 - som alltså avser 1970 års inkomster - får avdrag göras som tidigare .	i självdeklarationen 1971 som alltså avser 1970 års inkomster får avdrag göras som tidigare	O O O C O C O O O O C O O O	i självdeklarationen 1971 göras avdrag som får tidigare som alltså avser 1970 års inkomster	O O O F O O F O O O C O O O
14	Förvärvsavdragen ändras	förvärvsavdragen ändras	O C	förvärvsavdragen ändras	O C
15	Förvärvsavdrag kan medges från A-inkomst , om det finns hemmavarande barn under 16 år .	förvärvsavdrag kan medges från a-inkomst om det finns hemmavarande barn under 16 år	O C C O O O O C O O O O O	förvärvsavdrag kan från a-inkomst medges om det finns hemmavarande barn under 16 år	O C O O F O O C O O O O O
16	Sådant avdrag medges på sätt framgår av nedanstående tablå .	sådant avdrag medges på sätt framgår av nedanstående tablå	O O C O O C O O O	sådant avdrag medges på sätt framgår av nedanstående tablå	O O C O O C O O O
17	Barns ålder räknas efter förhållandet den 1 november under inkomståret .	barns ålder räknas efter förhållandet den 1 november under inkomståret	O O C O O O O O O O	barns ålder efter förhållandet räknas den 1 november under inkomståret	O O O O F O O O O O
18	När det gäller inkomståret 1971 ( taxeringsåret 1972 ) skall barnet alltså vara fött efter den 1 november 1955 .	när det gäller inkomståret 1971 taxeringsåret 1972 skall barnet alltså vara fött efter den 1 november 1955	O O C O O O O C O O C O O O O O O	när det inkomståret 1971 gäller taxeringsåret 1972 skall barnet alltså vara fött efter den 1 november 1955	O O O O F O O C O O C O O O O O O
19	Med makar likställs de som utan att vara gifta lever tillsammans om de tidigare varit gifta med varandra eller har eller har haft barn gemensamt .	med makar likställs de som utan att vara gifta lever tillsammans om de tidigare varit gifta med varandra eller har eller har haft barn gemensamt	O O C O O O O C O O O O O O C O C O O C O O O C C	med makar likställs de om de tidigare varit gifta med varandra som utan att lever gifta tillsammans vara eller barn har gemensamt har haft eller	O O C O O O O C O O O O O O F O O F O O F O F F O
20	Avdrag för utgivet underhållsbidrag till icke hemmavarande barn höjs från 1000 kr till 1500 kr per barn och år .	avdrag för utgivet underhållsbidrag till icke hemmavarande barn höjs från 1000 kr till 1500 kr per barn och år	O O O O O O O O C O O O O O O O O O O	avdrag höjs för utgivet underhållsbidrag till icke hemmavarande barn från 1000 kr till 1500 kr per barn och år	O F O O O O O O O O O O O O O O O O O
21	Dessutom höjs åldergränsen till 18 år .	dessutom höjs åldergränsen till 18 år	O C O O O O	dessutom åldergränsen till 18 år höjs	O O O O O F
22	När det gäller 1972 års taxering skall barnet vara fött efter den 1 november 1953 .	när det gäller 1972 års taxering skall barnet vara fött efter den 1 november 1953	O O C O O O C O C O O O O O O	när det gäller 1972 års taxering vara barnet fött skall efter den 1 november 1953	O O C O O O F O O F O O O O O
23	Kravet på bevisning har mildrats .	kravet på bevisning har mildrats	O O O C C	kravet på bevisning har mildrats	O O O C C
24	Avdraget måste inte längre styrkas med intyg från barnavårdsnämnd , barnavårdsman eller kommunal förtroendeman .	avdraget måste inte längre styrkas med intyg från barnavårdsnämnd barnavårdsman eller kommunal förtroendeman	O C O O C O O O O O O O O	avdraget styrkas inte längre med intyg från barnavårdsnämnd måste barnavårdsman eller kommunal förtroendeman	O F O O O O O O F O O O O
25	Det räcker med att intyg eller annat skriftligt bevis bifogas deklarationen .	det räcker med att intyg eller annat skriftligt bevis bifogas deklarationen	O C O O O O O O O C O	det räcker med att intyg eller annat skriftligt bevis bifogas deklarationen	O C O O O O O O O C O
26	Som bevis torde godtas dom eller avtal om underhållsskyldighet jämte kvitto på betalt belopp eller intyg från trovärdig person .	som bevis torde godtas dom eller avtal om underhållsskyldighet jämte kvitto på betalt belopp eller intyg från trovärdig person	O O C C O O O O O O O O O O O O O O O	som bevis torde dom eller avtal om underhållsskyldighet jämte kvitto godtas på betalt belopp eller intyg från trovärdig person	O O C O O O O O O O F O O O O O O O O
27	Ortsavdraget ersätts med grundavdrag .	ortsavdraget ersätts med grundavdrag	O C O O	ortsavdraget ersätts med grundavdrag	O C O O
28	Det nya grundavdraget - som ersätter tidigare ortsavdrag - uppgår till 4500 kr för varje skattskyldig med en till statlig inkomstskatt taxerad inkomst av högst 30000 kr .	det nya grundavdraget som ersätter tidigare ortsavdrag uppgår till 4500 kr för varje skattskyldig med en till statlig inkomstskatt taxerad inkomst av högst 30000 kr	O O O C O O O O O O O O O O O O O O O O O O C O O	det nya grundavdraget till 4500 kr för uppgår varje skattskyldig med en till statlig inkomstskatt taxerad inkomst av högst 30000 kr ersätter som tidigare ortsavdrag	O O O O O O O F O O O O O O O O O O O O O F O O O
29	Vid högre taxerad inkomst sjunker avdraget med en femtedel av det belopp som överstiger 30000 kronor .	vid högre taxerad inkomst sjunker avdraget med en femtedel av det belopp som överstiger 30000 kronor	O O O O C O O O O O O O O C O O	vid högre taxerad inkomst sjunker avdraget med en femtedel av det belopp som överstiger 30000 kronor	O O O O C O O O O O O O O C O O
30	Grundavdraget upphör alltså vid en taxerad inkomst på 52500 kr .	grundavdraget upphör alltså vid en taxerad inkomst på 52500 kr	O C O O O O O O O O	grundavdraget upphör alltså vid en taxerad inkomst på 52500 kr	O C O O O O O O O O
31	Statligt taxerad inkomst uppgår till 40000 kr .	statligt taxerad inkomst uppgår till 40000 kr	O O O C O O O	statligt taxerad inkomst till 40000 kr uppgår	O O O O O O F
32	Grundavdraget blir 2500 kr ( = 4500 minskat med 1/5 av 10000 kr ) .	grundavdraget blir 2500 kr 4500 minskat med 1/5 av 10000 kr	O C O O O O O O O O O	grundavdraget 2500 kr 4500 minskat med 1/5 blir av 10000 kr	O O O O O O O F O O O
33	Grundavdraget uppgår till samma belopp vid statlig och kommunal taxering och beräknas med ledning av den till statlig inkomstskatt taxerade inkomsten .	grundavdraget uppgår till samma belopp vid statlig och kommunal taxering och beräknas med ledning av den till statlig inkomstskatt taxerade inkomsten	O C O O O O O O O O O C O O O O O O O O O	grundavdraget uppgår till samma belopp vid statlig och kommunal taxering och beräknas med ledning av den till statlig inkomstskatt taxerade inkomsten	O C O O O O O O O O O C O O O O O O O O O
34	Kommunalt grundavdrag kan avräknas även från inkomst i annan kommun än hemortskommunen .	kommunalt grundavdrag kan avräknas även från inkomst i annan kommun än hemortskommunen	O O C C O O O O O O O O	kommunalt grundavdrag avräknas kan även från inkomst i annan kommun än hemortskommunen	O O F F O O O O O O O O
35	För ena maken outnyttjat grundavdrag eller del därav kan inte överföras till den andra maken .	för ena maken outnyttjat grundavdrag eller del därav kan inte överföras till den andra maken	O O O O O O O O C O C O O O O	för ena maken outnyttjat grundavdrag kan eller del därav inte överföras till den andra maken	O O O O O F O O O O C O O O O
36	I sådant fall har dock den andra maken rätt till skattereduktion ( se nedan ) .	i sådant fall har dock den andra maken rätt till skattereduktion se nedan	O O O C O O O O O O O C O	i sådant fall har dock den andra maken rätt till skattereduktion se nedan	O O O C O O O O O O O C O
37	Särskilda regler gäller för * skattskyldig som varit bosatt här i riket under en mindre del av beskattningsåret * skattskyldig som haft inkomst som beskattas enligt förordningen om sjömansskatt .	särskilda regler gäller för skattskyldig som varit bosatt här i riket under en mindre del av beskattningsåret skattskyldig som haft inkomst som beskattas enligt förordningen om sjömansskatt	O O C O O O C O O O O O O O O O O O O C O O C O O O O	särskilda regler för skattskyldig som bosatt varit här i riket under en mindre del av beskattningsåret skattskyldig gäller som haft inkomst som enligt förordningen om sjömansskatt beskattas	O O O O O O C O O O O O O O O O O F O C O O O O O O F
38	Gränsen för den årsinkomst feriearbetande ungdom m.fl får ha av tillfällig anställning utan att betala preliminärskatt höjs genom de nya bestämmelserna till 4700 kr .	gränsen för den årsinkomst feriearbetande ungdom m.fl får ha av tillfällig anställning utan att betala preliminärskatt höjs genom de nya bestämmelserna till 4700 kr	O O O O C O O O O O O O O O O C C O O O O O C O	gränsen för den årsinkomst höjs genom de nya bestämmelserna till 4700 kr får feriearbetande ungdom m.fl av tillfällig anställning ha utan att betala preliminärskatt	O O O O C O O O O O O O F O O O O O O F O O C O
39	I det nya skattesystemet bibehålls den gamla regeln att skattskyldig som bara har folkpension , inte påförs någon skatt .	i det nya skattesystemet bibehålls den gamla regeln att skattskyldig som bara har folkpension inte påförs någon skatt	O O O O C O O O O O O C O O O O C O	i det nya skattesystemet bibehålls den gamla regeln att skattskyldig inte någon skatt påförs som har bara folkpension	O O O O C O O O O O O O O F O F O O
40	En nyhet är att det kommunala bostadstillägget blir skattefritt oavsett hur hög inkomst folkpensionären har .	en nyhet är att det kommunala bostadstillägget blir skattefritt oavsett hur hög inkomst folkpensionären har	O O C O O O O C O O O O O O C	en nyhet är att blir det kommunala bostadstillägget skattefritt oavsett har hur hög inkomst folkpensionären	O O C O F O O O O O F O O O O
41	Dessutom kommer en ensamstående folkpensionär att kunna ha en inkomst om 1500 kr vid sidan av folkpensionen och ändock bli skattefri .	dessutom kommer en ensamstående folkpensionär att kunna ha en inkomst om 1500 kr vid sidan av folkpensionen och ändock bli skattefri	O C O O O O C C O O O O O O O O O O O C O	dessutom kommer en ensamstående folkpensionär att kunna en inkomst om 1500 kr vid sidan ha av folkpensionen och ändock bli skattefri	O C O O O O C O O O O O O O F O O O O C O
42	Gifta pensionärer blir skattefria om sidoinkomsten uppgår till högst 2000 kr för makarna tillsammans .	gifta pensionärer blir skattefria om sidoinkomsten uppgår till högst 2000 kr för makarna tillsammans	O O C O O O C O O O O O O O	gifta pensionärer blir skattefria om sidoinkomsten uppgår till högst 2000 kr för makarna tillsammans	O O C O O O C O O O O O O O
43	Tekniskt ordnas detta genom ett extra avdrag utöver grundavdraget .	tekniskt ordnas detta genom ett extra avdrag utöver grundavdraget	O C O O O O O O O	tekniskt detta ordnas genom ett extra avdrag utöver grundavdraget	O O F O O O O O O
44	För att belysa verkningarna för folkpensionärerna av det nya systemet att beräkna extra avdrag åberopade finansministern i propositionen till riksdagen följande tabell .	för att belysa verkningarna för folkpensionärerna av det nya systemet att beräkna extra avdrag åberopade finansministern i propositionen till riksdagen följande tabell	O O C O O O O O O O O C O O C O O O O O O O	för belysa att verkningarna för folkpensionärerna av det nya systemet att beräkna extra avdrag finansministern i propositionen till riksdagen åberopade följande tabell	O F O O O O O O O O O C O O O O O O O F O O
45	Den här broschyren vill ge dig en bild av vad som händer under din militärutbildning .	den här broschyren vill ge dig en bild av vad som händer under din militärutbildning	O O O C C O O O O O O C O O O	den här broschyren dig vill ge en bild händer av vad som under din militärutbildning	O O O O F F O O F O O O O O O
46	Läs den och behåll den under utbildningsåret .	läs den och behåll den under utbildningsåret	C O O C O O O	läs den och behåll den under utbildningsåret	C O O C O O O
47	En ny och ovan miljö väntar .	en ny och ovan miljö väntar	O O O O O C	en ny och ovan miljö väntar	O O O O O C
48	Befälet vid ditt förband kommer att introducera dig i den nya miljön och informera dig om verksamheten .	befälet vid ditt förband kommer att introducera dig i den nya miljön och informera dig om verksamheten	O O O O C O C O O O O O O C O O O	befälet vid ditt förband introducera att kommer dig i den nya miljön och informera dig om verksamheten	O O O O F O F O O O O O O C O O O
49	Under militärtjänsten har du många skyldigheter , som berörs på de närmaste sidorna .	under militärtjänsten har du många skyldigheter som berörs på de närmaste sidorna	O O C O O O O C O O O O	under militärtjänsten har du många skyldigheter som berörs på de närmaste sidorna	O O C O O O O C O O O O
50	Samhället har också givit dig en rad förmåner och dessa redovisas längre fram i broschyren .	samhället har också givit dig en rad förmåner och dessa redovisas längre fram i broschyren	O C O C O O O O O O C O O O O	samhället också givit har dig en rad förmåner och dessa längre redovisas fram i broschyren	O O F F O O O O O O O F O O O
51	Den koncentrerade militära utbildning som du får sker av praktiska skäl i en internatförläggning - i kasern .	den koncentrerade militära utbildning som du får sker av praktiska skäl i en internatförläggning i kasern	O O O O C O O O O O O O O O O C	den koncentrerade militära utbildning av praktiska skäl i en internatförläggning sker i kasern som du får	O O O O O O O O O O F O O O O C
52	Du skall nämligen inte bara skaffa dig vissa kunskaper , du skall också lära dig leva ihop med dina kamrater och så småningom sammangjutas med dem till ett förband .	du skall nämligen inte bara skaffa dig vissa kunskaper du skall också lära dig leva ihop med dina kamrater och så småningom sammangjutas med dem till ett förband	O C O O O C O O O O C O C O C O O O O O O O C O O O O O	du nämligen skaffa inte skall bara dig vissa kunskaper du skall också lära dig leva ihop med dina kamrater och så småningom sammangjutas med dem till ett förband	O O F O F O O O O O C O C O C O O O O O O O C O O O O O
53	Krig är hårt och brutalt .	krig är hårt och brutalt	O C O O O	krig hårt och är brutalt	O O O F O
54	Den militära verksamheten har kriget som bakgrund .	den militära verksamheten har kriget som bakgrund	O O O C O O O	den militära verksamheten kriget som bakgrund har	O O O O O O F
55	Det militära livet avviker därför ofta från det civila .	det militära livet avviker därför ofta från det civila	O O O C O O O O O	det militära livet därför ofta från det civila avviker	O O O O O O O O F
56	Den ovillkorliga och ögonblickliga lydnad som den militära verksamheten kräver , har också sin motsvarighet i det civila , t ex på de områden där liv står på spel .	den ovillkorliga och ögonblickliga lydnad som den militära verksamheten kräver har också sin motsvarighet i det civila t ex på de områden där liv står på spel	O O O O O C O O O O O O O O O O O O O O C O O C O O	den ovillkorliga och ögonblickliga lydnad har också sin motsvarighet i det civila t ex på de områden som den militära verksamheten kräver står där liv på spel	O O O O O C O O O O O O O O O O O O O O C F O O O O
57	Krav på disciplin möter du på de flesta andra områden i samhället .	krav på disciplin möter du på de flesta andra områden i samhället	O O O C O O O O O O O O	krav möter på disciplin du på de flesta andra områden i samhället	O F O O O O O O O O O O
58	Under militärutbildningen måste du emellertid underordna dig på ett sätt , som kanske är nytt och besvärande .	under militärutbildningen måste du emellertid underordna dig på ett sätt som kanske är nytt och besvärande	O O C O O C O O O O O O C O O O	under militärutbildningen måste du emellertid underordna dig på ett sätt som kanske är nytt och besvärande	O O C O O C O O O O O O C O O O
59	Men tro inte du skall koppla av din egen tankeverksamhet !	men tro inte du skall koppla av din egen tankeverksamhet	O C O O C C O O O O	men inte tro skall du koppla av din egen tankeverksamhet	O O F F O C O O O O
60	Du måste både kunna handla självständigt och lyda för att bli en bra soldat .	du måste både kunna handla självständigt och lyda för att bli en bra soldat	O C O C C O O C O O C O O O	du kunna handla både självständigt måste och lyda för att bli en bra soldat	O F F O O F O C O O C O O O
61	Under fredsutbildningen framkommer detta särskilt tydligt vid övningar med skarp ammunition .	under fredsutbildningen framkommer detta särskilt tydligt vid övningar med skarp ammunition	O O C O O O O O O O O	under fredsutbildningen framkommer detta särskilt tydligt vid övningar med skarp ammunition	O O C O O O O O O O O
62	I krig utförs all verksamhet i ' skarpladdad miljö ' .	i krig utförs all verksamhet i skarpladdad miljö	O O C O O O O O	i krig utförs all verksamhet i skarpladdad miljö	O O C O O O O O
63	Det är till uppträdande i denna miljö som utbildningen närmast syftar - därav kravet på omedelbar och ovillkorlig lydnad och på noggrannhet redan i fredsutbildningen .	det är till uppträdande i denna miljö som utbildningen närmast syftar därav kravet på omedelbar och ovillkorlig lydnad och på noggrannhet redan i fredsutbildningen	O C O O O O O O O O O O O O O O O O O O O O O C	det är till uppträdande i denna miljö därav kravet på omedelbar och ovillkorlig lydnad och på noggrannhet redan i fredsutbildningen som syftar utbildningen närmast	O C O O O O O O O O O O O O O O O O O O O F O O
64	En sekunds tvekan eller dröjsmål eller ett till synes oskyldigt slarv kan kosta dig och även kamraterna livet .	en sekunds tvekan eller dröjsmål eller ett till synes oskyldigt slarv kan kosta dig och även kamraterna livet	O O O O O O O O O O O C C O O O O O	en sekunds tvekan eller dröjsmål eller ett till synes oskyldigt slarv kan kosta dig och även kamraterna livet	O O O O O O O O O O O C C O O O O O
65	Du kommer att bo tillsammans med 10-20 kamrater .	du kommer att bo tillsammans med 10-20 kamrater	O C O C O O O O	du att bo kommer tillsammans med 10-20 kamrater	O O F F O O O O
66	Detta kan bli ett problem men också en källa till samhörighet och glatt kamratskap .	detta kan bli ett problem men också en källa till samhörighet och glatt kamratskap	O C C O O O O O O O O O O O	detta bli ett problem men också en källa till samhörighet och glatt kamratskap kan	O F O O O O O O O O O O O F
67	Det beror mest på dig själv .	det beror mest på dig själv	O C O O O O	det beror mest på dig själv	O C O O O O
68	Försök redan från första dagen att acceptera kamraterna och visa hänsyn mot dem .	försök redan från första dagen att acceptera kamraterna och visa hänsyn mot dem	C O O O O O C O O C O O O	redan försök från första dagen att kamraterna acceptera och visa hänsyn mot dem	O F O O O O O F O C O O O
69	Gott humör , renhårighet och hjälpsamhet skapar gemensam trevnad .	gott humör renhårighet och hjälpsamhet skapar gemensam trevnad	O O O O O C O O	gott humör renhårighet skapar och hjälpsamhet gemensam trevnad	O O O F O O O O
70	Alla människor är inte lika .	alla människor är inte lika	O O C O O	alla människor är inte lika	O O C O O
71	Du själv är kanske stor och stark och känner dig säker på dig själv .	du själv är kanske stor och stark och känner dig säker på dig själv	O O C O O O O O C O O O O O	du själv är kanske stor och stark och känner dig säker på dig själv	O O C O O O O O C O O O O O
72	Hjälp då dina svagare kamrater .	hjälp då dina svagare kamrater	C O O O O	hjälp då dina svagare kamrater	C O O O O
73	Märker du att någon form av översitteri förekommer , så tala med befälet .	märker du att någon form av översitteri förekommer så tala med befälet	C O O O O O O C O C O O	märker du att någon form av översitteri förekommer så tala med befälet	C O O O O O O C O C O O
74	Det är inte skvaller - det är din skyldighet .	det är inte skvaller det är din skyldighet	O C O O O C O O	det är inte är skvaller det din skyldighet	O C O F O O O O
75	Kamratförtryck är nämligen i lag förbjudet och alltså straffbart .	kamratförtryck är nämligen i lag förbjudet och alltså straffbart	O C O O O O O O O	kamratförtryck nämligen i lag är förbjudet och alltså straffbart	O O O O F O O O O
76	Du får redan första dagen ansvar för en mängd utrustning .	du får redan första dagen ansvar för en mängd utrustning	O C O O O O O O O O	du redan får första dagen ansvar för en mängd utrustning	O O F O O O O O O O
77	Du får ett vapen som kan vara farligt både för dig själv och för kamraterna om det hanteras fel .	du får ett vapen som kan vara farligt både för dig själv och för kamraterna om det hanteras fel	O C O O O C C O O O O O O O O O O C O	du ett vapen kan som farligt vara både för får dig själv och för kamraterna om det hanteras fel	O O O F O O C O O F O O O O O O O C O
78	Du får kanske ansvaret för ett motorfordon som är värt många tusen kronor .	du får kanske ansvaret för ett motorfordon som är värt många tusen kronor	O C O O O O O O C O O O O	du får kanske ansvaret för ett motorfordon som är värt många tusen kronor	O C O O O O O O C O O O O
79	Du kommer att delta i övningar , där riskerna är stora , om man gör fel .	du kommer att delta i övningar där riskerna är stora om man gör fel	O C O C O O O O C O O O C O	du att i kommer övningar där är riskerna delta stora om man gör fel	O O O F O O F O F O O O C O
80	Du måste därför redan från början visa dig mogen att ta ansvar för vad du gör .	du måste därför redan från början visa dig mogen att ta ansvar för vad du gör	O C O O O O C O O O C O O O O C	du därför redan från början måste dig visa mogen att ta ansvar för vad du gör	O O O O O F O F O O C O O O O C
81	Du kommer under din utbildning att få se och höra sådant som måste hållas hemligt .	du kommer under din utbildning att få se och höra sådant som måste hållas hemligt	O C O O O O C C O O C O C C O	du under din utbildning att få kommer sådant se och höra som hållas måste hemligt	O O O O O F F O F O C O F F O
82	Kom därför redan från början ihåg att inte lämna informationer till obehöriga .	kom därför redan från början ihåg att inte lämna informationer till obehöriga	C O O O O O O O C O O O	därför redan från början ihåg kom att inte lämna informationer till obehöriga	O O O O O F O O C O O O
83	Du får snart ut en hel del saker - vapen , verktyg , uniformer m m , som du kommer att använda dagligen .	du får snart ut en hel del saker vapen verktyg uniformer m m som du kommer att använda dagligen	O C O O O O O O O O O O O O C O C O	du snart får ut en hel del saker vapen verktyg uniformer m m som du kommer att använda dagligen	O O F O O O O O O O O O O O C O C O
84	Utrymmet i ditt skåp är mycket begränsat .	utrymmet i ditt skåp är mycket begränsat	O O O O C O O	utrymmet i ditt skåp är mycket begränsat	O O O O C O O
85	Därför måste du hålla noggrann ordning på din utrustning och placera den i skåpet så , att sakerna är lätta att hitta och lätta att komma åt .	därför måste du hålla noggrann ordning på din utrustning och placera den i skåpet så att sakerna är lätta att hitta och lätta att komma åt	O C O C O O O O O O C O O O O O O C O O O O C O C O	därför du hålla måste noggrann ordning på din utrustning och placera den i skåpet så att sakerna är lätta och lätta att hitta att komma åt	O O F F O O O O O O C O O O O O O C O O O O C O C O
86	Ibland måste sakerna - t ex av säkerhetsskäl - ha sina bestämda platser , lika för alla inom ditt förband .	ibland måste sakerna t ex av säkerhetsskäl ha sina bestämda platser lika för alla inom ditt förband	O C O O O O C O O O O O O O O O	ibland sakerna t ex av säkerhetsskäl måste ha sina bestämda platser lika för alla inom ditt förband	O O O O O F C O O O O O O O O O
87	Du kan inte räkna med att få något större utrymme för privata persedlar .	du kan inte räkna med att få något större utrymme för privata persedlar	O C O C O O C O O O O O O	du kan inte räkna med att något större utrymme få för privata persedlar	O C O C O O O O O F O O O
88	Ta med dig	ta med dig	C O O	ta med dig	C O O
89	Toalettartiklar ( kan även köpas i marketenteriet ) - rakhyvel och rakborste - även om du har elektrisk rakapparat .	toalettartiklar kan även köpas i marketenteriet rakhyvel och rakborste även om du har elektrisk rakapparat	O O O O C O C O O O O O C O O	toalettartiklar rakhyvel och rakborste även köpas kan i marketenteriet även om du elektrisk rakapparat har	O O O O O F F O O O O O O O F
90	Du behöver dem under övningar utanför kasern	du behöver dem under övningar utanför kasern	O C O O O O O	du behöver dem under övningar utanför kasern	O C O O O O O
91	Äger du några av följande saker så ta med även dem :	äger du några av följande saker så ta med även dem	C O O O O O O C O O O	äger du några av följande saker så ta med även dem	C O O O O O O C O O O
92	Marketenteriet är din affär	marketenteriet är din affär	O C O O	marketenteriet din affär är	O O O F
93	Småartiklar köper du bäst och billigast vid förbandets marketenteri och handelsbod .	småartiklar köper du bäst och billigast vid förbandets marketenteri och handelsbod	O C O O O O O O O O O	småartiklar du bäst och billigast vid förbandets marketenteri och handelsbod köper	O O O O O O O O O O F
94	Vinsten kommer dig själv till godo i form av trivsel- och förströelseanordningar .	vinsten kommer dig själv till godo i form av trivsel- och förströelseanordningar	O C O O O O O O O O O O	vinsten dig själv till godo i form av trivsel- och förströelseanordningar kommer	O O O O O O O O O O O F
95	I regel väcks du kl 6 på morgonen .	i regel väcks du kl 6 på morgonen	O O C O O O O O	i regel du kl 6 väcks på morgonen	O O O O O F O O
96	Den första uppställningen till övning sker i allmänhet kl 0730 .	den första uppställningen till övning sker i allmänhet kl 0730	O O O O O C O O O O	den första uppställningen till övning sker i allmänhet kl 0730	O O O O O C O O O O
97	Dessförinnan skall du ha hunnit med tvättning och rakning , frukost i matsalen , sängbäddning och kontroll av uniform , skor , vapen m m , så att allt är ' tiptop ' vid uppställningen .	dessförinnan skall du ha hunnit med tvättning och rakning frukost i matsalen sängbäddning och kontroll av uniform skor vapen m m så att allt är tiptop vid uppställningen	O C O C C O O O O O O O O O O O O O O O O O O C O O O	dessförinnan du med tvättning och rakning frukost i matsalen hunnit ha sängbäddning och kontroll av uniform skor vapen m m är så att allt skall tiptop vid uppställningen	O O O O O O O O O F F O O O O O O O O F O O O F O O O
98	På förmiddagen tränas du i olika utbildningsgrenar , i regel till omkring kl 11 .	på förmiddagen tränas du i olika utbildningsgrenar i regel till omkring kl 11	O O C O O O O O O O O O O	på förmiddagen tränas du i olika utbildningsgrenar i regel till omkring kl 11	O O C O O O O O O O O O O
