idx	original	no_punc_lower	correct_gold	no_punc_lower_permuted	permuted_gold
10	Fólk hugsar á sömu nótum og það er mjög gott .	fólk hugsar á sömu nótum og það er mjög gott	O C O O O O O C O O	fólk á sömu nótum og er það mjög gott hugsar	O O O O O F O O O F
11	Mig langar svo að árétta það sem kemur fram í tillögunni að sú kynslóð sem meðal annars ég tilheyri það eru kannski ekki allir af eldri kynslóðinni sem skilja það , þótt það sé svolítið óþægilegt að viðurkenna það hér í ræðustól , hvað Facebook spilar stóran þátt í lífi minnar kynslóðar , þetta er fyrsti staðurinn sem maður dettur inn á á netinu og maður nær sér í upplýsingar þaðan .	mig langar svo að árétta það sem kemur fram í tillögunni að sú kynslóð sem meðal annars ég tilheyri það eru kannski ekki allir af eldri kynslóðinni sem skilja það þótt það sé svolítið óþægilegt að viðurkenna það hér í ræðustól hvað facebook spilar stóran þátt í lífi minnar kynslóðar þetta er fyrsti staðurinn sem maður dettur inn á á netinu og maður nær sér í upplýsingar þaðan	O C O O C O O O O O O O C O O O C O O O O O C O O O O O O O C O C O O O C O O O C O O O O O O C O O O O O O O O C O O O O O O C O O O O	mig langar svo að árétta það sem kemur fram í tillögunni að sú kynslóð sem meðal annars ég tilheyri það eru kannski ekki allir af eldri kynslóðinni sem skilja það þótt viðurkenna það svolítið óþægilegt að það hér í ræðustól sé hvað facebook spilar stóran þátt í lífi minnar kynslóðar þetta er fyrsti staðurinn dettur sem maður inn á á netinu nær og maður sér í upplýsingar þaðan	O C O O C O O C O O O O O O O O O O C O C O O O O O O O C O O F O O O O O O O O F O O C O O O O O O O C O O F O O O O O O F O O O O O O
12	Þetta er þægileg leið til að gera það .	þetta er þægileg leið til að gera það	O C O O O O C O	þetta er þægileg leið til að það gera	O C O O O O O F
13	Nethegðun hefur breyst á þann veg að menn nenna ekki að smella mörgum sinnum með músinni þannig að eftir því sem þægilegra er að nálgast upplýsingar , því líklegra er að maður nái í þær .	nethegðun hefur breyst á þann veg að menn nenna ekki að smella mörgum sinnum með músinni þannig að eftir því sem þægilegra er að nálgast upplýsingar því líklegra er að maður nái í þær	O C C O O O O O O O O O C O O C O O C O O O O O O C O C O O O C O O	nethegðun á þann veg þannig hefur að menn nenna ekki að smella mörgum sinnum með músinni að breyst eftir því nálgast sem þægilegra að upplýsingar er því er líklegra að maður nái í þær	O O O O O F O O C O O C O O O O O F O O F O O O O F O F O O O C O O
14	Ef maður þarf að stíga mörg skref , eins og á hinni ágætu heimasíðu Alþingis , eru meiri líkur á að maður hætti og fari að gera eitthvað annað .	ef maður þarf að stíga mörg skref eins og á hinni ágætu heimasíðu alþingis eru meiri líkur á að maður hætti og fari að gera eitthvað annað	O O C O O O O O O O O C O O C O O O O O C O C O O O C	ef maður eins að stíga mörg skref og á hinni ágætu heimasíðu alþingis þarf eru meiri líkur hætti á að maður fari og að gera eitthvað annað	O O O O C O O O O O O O O F C O O F O O O F O O C O O
15	Þetta er mikilvæg leið til að komast í tengsl við fólkið og ég er ánægð með þessar undirtektir .	þetta er mikilvæg leið til að komast í tengsl við fólkið og ég er ánægð með þessar undirtektir	O C O O O O C O O O O O O C O O O O	þetta mikilvæg er leið til að komast í tengsl við fólkið er og ég ánægð með þessar undirtektir	O O F O O O C O O O O F O O O O O O
16	Herra forseti . Ég tek undir með hv. þm. Katrínu Júlíusdóttur .	herra forseti ég tek undir með hv. þm. katrínu júlíusdóttur	O O O C O O O O O O	herra forseti ég tek undir með hv. þm. katrínu júlíusdóttur	O O O C O O O O O O
17	Og úr því hún nefndi skuldaleiðréttingarnar og önnur mál sem eiga að fara í gegnum þingið þá er í því tiltekna máli engin launung á , og ég hef sagt það áður í þessum ræðustól , að ég er ekki hrifin af þeim áformum ríkisstjórnarinnar að demba inn í framtíðina 80 milljörðum .	og úr því hún nefndi skuldaleiðréttingarnar og önnur mál sem eiga að fara í gegnum þingið þá er í því tiltekna máli engin launung á og ég hef sagt það áður í þessum ræðustól að ég er ekki hrifin af þeim áformum ríkisstjórnarinnar að demba inn í framtíðina 80 milljörðum	O O O O C O O O O O O O C O O O O O C O C O O O O O O C C O O O O O O O C O O O O O O O C O O O O O	og úr því nefndi hún skuldaleiðréttingarnar og önnur mál sem eiga fara að í gegnum þingið þá er í því tiltekna máli engin launung á sagt og hef ég það áður í þessum ræðustól að ég ekki hrifin er af þeim áformum ríkisstjórnarinnar að demba inn í framtíðina 80 milljörðum	O O O F O O O O O O C F O O O O O C O O O O O O O F O C O O O O O O O O O O F O O O O O C O O O O O
18	Ég mun ekki styðja það .	ég mun ekki styðja það	O C O C O	ég ekki styðja mun það	O O F F O
19	Ég sakna svo sem ekki þeirra tillagna en auðvitað er það óþolandi fyrir það fólk sem það gerir , að fólk fái ekki svör því að óvissan er miklu verri , það er miklu verra ástand en að fá bara skellinn , þá getur maður haldið áfram , en hitt er miklu verri staða .	ég sakna svo sem ekki þeirra tillagna en auðvitað er það óþolandi fyrir það fólk sem það gerir að fólk fái ekki svör því að óvissan er miklu verri það er miklu verra ástand en að fá bara skellinn þá getur maður haldið áfram en hitt er miklu verri staða	O C O O O O O O O C O O O O O O O O C O O O C O O O O O C O O O O O C O O C O O O O C O O O C O C O	ég sakna svo sem ekki þeirra tillagna en auðvitað er það óþolandi fyrir það fólk gerir sem það fái að fólk ekki svör því að óvissan er miklu verri það er miklu verra ástand fá en að bara skellinn þá maður getur haldið áfram en hitt er miklu verri staða	O C O O O O O O O C O O O O O F O O F O O O O O O O C O O O C O O O F O O O O O O F C O O O C O O O
20	Herra forseti . Eins og ég rakti í ræðu minni biðlaði ég í raun til margra góðra þingmanna sem eru í stjórnarmeirihluta , sem ég þekki af góðu og hef átt gott samstarf við í nefndum þingsins .	herra forseti eins og ég rakti í ræðu minni biðlaði ég í raun til margra góðra þingmanna sem eru í stjórnarmeirihluta sem ég þekki af góðu og hef átt gott samstarf við í nefndum þingsins	O O O C O O O O O O O O C O O O O C O O O O O C O O O C C O O O O O O	herra forseti eins og ég rakti í ræðu minni eru ég í raun til margra góðra þingmanna sem í stjórnarmeirihluta biðlaði sem ég þekki af góðu átt og gott samstarf við í nefndum hef þingsins	O O O O O C O O O F O O O O O O O O O O F O O C O O F O O O O O O F O
21	Það er skynsamt fólk í öllum flokkum og ég vona að það búi við það frelsi í flokkum sínum að fá að taka sjálfstæðar ákvarðanir og að það geti hreinlega fylgt sannfæringu sinni .	það er skynsamt fólk í öllum flokkum og ég vona að það búi við það frelsi í flokkum sínum að fá að taka sjálfstæðar ákvarðanir og að það geti hreinlega fylgt sannfæringu sinni	O C O O O O O O O C O O C O O O O O O O C O C O O O O O C O C O O	það er skynsamt fólk í öllum flokkum og ég vona að það búi við það frelsi í flokkum sínum að fá að taka sjálfstæðar ákvarðanir og að það geti hreinlega fylgt sannfæringu sinni	O C O O O O O O O C O O C O O O O O O O C O C O O O O O C O C O O
22	Ég vona að því sé þannig farið í öllum flokkum og það sé ekki einhver lúxus sem við búum við í Bjartri framtíð .	ég vona að því sé þannig farið í öllum flokkum og það sé ekki einhver lúxus sem við búum við í bjartri framtíð	O C O O C O C O O O O O C O O O O O C O O O O	ég vona að því þannig farið í öllum flokkum sé og það ekki sé einhver lúxus sem við við búum í bjartri framtíð	O C O O O F O O O F O O O F O O O O O F O O O
23	Herra forseti . Ég þakka spurninga .	herra forseti ég þakka spurninga	O O O C O	herra forseti þakka ég spurninga	O O F O O
24	Það er vissulega eilítið súrrealískt að fara að vinna á þingi .	það er vissulega eilítið súrrealískt að fara að vinna á þingi	O C O O O O C O C O O	það vissulega eilítið súrrealískt er að fara að vinna á þingi	O O O O F O C O C O O
25	En við í Bjartri framtíð höfum haft háleitt markmið og mörgum hefur kannski fundist það barnalegt markmið , það sé svo far out að reyna að bæta stjórnmálin .	en við í bjartri framtíð höfum haft háleitt markmið og mörgum hefur kannski fundist það barnalegt markmið það sé svo far out að reyna að bæta stjórnmálin	O O O O O C C O O O O C O C O O O O C O O O O C O C O	en höfum við í bjartri framtíð háleitt markmið haft hefur og mörgum fundist kannski það barnalegt markmið það sé svo far out að reyna að bæta stjórnmálin	O F O O O O O O F F O O F O O O O O C O O O O C O C O
26	En við trúum því að ef við gerum það komist hlutirnir í gang , komist áfram .	en við trúum því að ef við gerum það komist hlutirnir í gang komist áfram	O O C O O C O O O O O C O C O	en við trúum því komist ef gerum við það að hlutirnir í gang komist áfram	O O C O F O F O O O O O O C O
27	Við sjáum auðvitað að þetta er ekkert eðlilegt umhverfi og svona virkar þetta ekki í fyrirtækjum landsins .	við sjáum auðvitað að þetta er ekkert eðlilegt umhverfi og svona virkar þetta ekki í fyrirtækjum landsins	O C O O O C O O O O O C O O O O O	við auðvitað að sjáum þetta ekkert eðlilegt er umhverfi og svona virkar þetta ekki í fyrirtækjum landsins	O O O F O O O F O O O C O O O O O
28	Ef hver höndin er upp á móti annarri og fólk hlustar ekki hvert á annað kemst enginn lönd né strönd .	ef hver höndin er upp á móti annarri og fólk hlustar ekki hvert á annað kemst enginn lönd né strönd	O O O C O O O O C O O O O O O C O O O O	ef hver höndin upp á móti annarri er og fólk ekki hvert hlustar á annað kemst enginn lönd né strönd	O O O O O O O F O O O O F O O C O O O O
29	Það er vissulega háleitt markmið að reyna að breyta þessu en þetta er grundvallaratriði , að ég tel , í farsæld íslenskrar þjóðar .	það er vissulega háleitt markmið að reyna að breyta þessu en þetta er grundvallaratriði að ég tel í farsæld íslenskrar þjóðar	O C O O O O O C O O O O O O O O C O C O C	það er vissulega háleitt markmið reyna að breyta að þessu en þetta er grundvallaratriði að ég tel í farsæld íslenskrar þjóðar	O C O O O F O F O O O O C O O O C O O O O
30	Hér stoppar allt of margt og við erum ekkert ofboðslega klár enn sem komið er að tala saman .	hér stoppar allt of margt og við erum ekkert ofboðslega klár enn sem komið er að tala saman	O C O O O O O C O O O O O C C O C O	hér allt stoppar erum of margt og við ekkert ofboðslega klár enn sem komið er að saman tala	O O F F O O O O O O O O O C C O O F
31	Ég hafði miklar væntingar til þess að fá að fjalla um þessa skýrslu og gera það eftir settum leikreglum hér á Alþingi .	ég hafði miklar væntingar til þess að fá að fjalla um þessa skýrslu og gera það eftir settum leikreglum hér á alþingi	O C O O O O O C O C O O O O C O O O O O O O	ég hafði miklar væntingar til þess að fá að fjalla um þessa skýrslu og gera það eftir settum leikreglum hér á alþingi	O C O O O O O C O C O O O O C O O O O O O O
32	Ég vil trúa því áður en annað kemur í ljós að hér sé fólk að vinna af heilindum og meini það sem það segir , að það vilji hlusta á alls konar sjónarmið og það hafi eitthvað að segja .	ég vil trúa því áður en annað kemur í ljós að hér sé fólk að vinna af heilindum og meini það sem það segir að það vilji hlusta á alls konar sjónarmið og það hafi eitthvað að segja	O C C O O O O C O O O O C O O C O O O C O O O O C O C C O O O O O O C O O C	ég trúa vil því áður en kemur annað í ljós að sé hér fólk að vinna af heilindum meini og það sem það segir að vilji það á alls hafi hlusta konar sjónarmið og það eitthvað að segja	O F F O O O F O O O O F O O O C O O F O O O O C O F O O O F F O O O O O O C
33	En ég hef orðið fyrir vonbrigðum með það .	en ég hef orðið fyrir vonbrigðum með það	O O C C O O O O	en ég hef orðið fyrir vonbrigðum með það	O O C C O O O O
34	Hæstv. forseti . Ég þakka svörin , bæði frá virðulegum forseta og sömuleiðis þingmanninum , þó svo ég haldi áfram og lýsi vonbrigðum mínum yfir því að fólk sé ekki á staðnum til að taka þátt í því starfi sem á að fara fram hér .	hæstv. forseti ég þakka svörin bæði frá virðulegum forseta og sömuleiðis þingmanninum þó svo ég haldi áfram og lýsi vonbrigðum mínum yfir því að fólk sé ekki á staðnum til að taka þátt í því starfi sem á að fara fram hér	O O O C O O O O O O O O O O O C O O C O O O O O O C O O O O O C O O O O O C O C O O	hæstv. forseti ég svörin bæði frá virðulegum forseta og sömuleiðis þingmanninum þó þakka svo ég haldi áfram sé og vonbrigðum mínum yfir því að fólk ekki á lýsi staðnum til að taka þátt í því starfi sem á að fara fram hér	O O O O O O O O O O O O F O O C O F O O O O O O O O O F O O O C O O O O O C O C O O
35	Ég beini því til forseta að finna lausn á því .	ég beini því til forseta að finna lausn á því	O C O O O O C O O O	ég því beini til forseta finna að lausn á því	O O F O O F O O O O
36	Hv. þingmaður talaði svolítið um stóru millifærsluna svokölluðu eða skuldaniðurfellinguna eins og við könnumst við hana .	hv. þingmaður talaði svolítið um stóru millifærsluna svokölluðu eða skuldaniðurfellinguna eins og við könnumst við hana	O O C O O O O O O O O O O C O O	hv. þingmaður talaði svolítið um stóru millifærsluna svokölluðu eða skuldaniðurfellinguna eins og við við hana könnumst	O O C O O O O O O O O O O O O F
37	Ég tók eftir því að þingmaðurinn nefndi að við værum ekki með neina greiningu á því hver fengi hvað og hver borgaði á endanum .	ég tók eftir því að þingmaðurinn nefndi að við værum ekki með neina greiningu á því hver fengi hvað og hver borgaði á endanum	O C O O O O C O O C O O O O O O O C O O O C O O	ég tók eftir því að þingmaðurinn að værum við ekki með neina greiningu á því nefndi hver fengi hvað og hver borgaði á endanum	O C O O O O O F O O O O O O O F O C O O O C O O
38	Um það er ég henni hjartanlega sammála .	um það er ég henni hjartanlega sammála	O O C O O O O	um það er ég henni hjartanlega sammála	O O C O O O O
39	Í því sambandi vil ég spyrja hana nánar út í það hvernig við veltum vanda samtímans á undan okkur og hver muni á endanum borga .	í því sambandi vil ég spyrja hana nánar út í það hvernig við veltum vanda samtímans á undan okkur og hver muni á endanum borga	O O O C O C O O O O O O O C O O O O O O O C O O C	í því sambandi ég vil hana nánar spyrja út í það hvernig við veltum vanda samtímans á undan okkur borga og hver muni á endanum	O O O O F O O F O O O O O C O O O O O F O O F O O
40	Frú forseti . Ég vil þakka hv. þm. Sigríði Ingibjörgu Ingadóttur fyrir ræðuna .	frú forseti ég vil þakka hv. þm. sigríði ingibjörgu ingadóttur fyrir ræðuna	O O O C C O O O O O O O	frú forseti ég vil þakka hv. þm. sigríði ingibjörgu ingadóttur fyrir ræðuna	O O O C C O O O O O O O
41	Hún var sannarlega „ inspírerandi “ og þingmaðurinn fór ágætlega eða mjög vel yfir af hverju hún tekur þá afstöðu sem hún hefur tekið gagnvart Evrópusambandinu .	hún var sannarlega „ inspírerandi “ og þingmaðurinn fór ágætlega eða mjög vel yfir af hverju hún tekur þá afstöðu sem hún hefur tekið gagnvart evrópusambandinu	O C O O C O O O C O O O O O O O O C O O O O O O C C	hún inspírerandi sannarlega „ “ var og þingmaðurinn fór ágætlega eða mjög vel yfir af hverju hún tekur þá afstöðu hefur sem hún tekið gagnvart evrópusambandinu	O F O O O F O O C O O O O O O O O C O O F O O C O O
42	Við erum sammála um að við viljum sjá samning og skoða hvernig hann lítur út og við vitum að það er ekkert ljóst með aðild fyrr en við sjáum hvað í honum stendur .	við erum sammála um að við viljum sjá samning og skoða hvernig hann lítur út og við vitum að það er ekkert ljóst með aðild fyrr en við sjáum hvað í honum stendur	O C O O O O C C O O C O O C O O O C O O C O O O O O O O C O O O C	við erum sammála um að við sjá samning viljum og skoða lítur hvernig hann út og við vitum að það er ekkert ljóst með aðild fyrr en við sjáum hvað stendur í honum	O C O O O O F O F O C F O O O O O C O O C O O O O O O O C O F O O
43	Nú er það svo að ferlið er í uppnámi og ég vil spyrja þingmanninn hvort hún álíti að hlé á viðræðum sé skárri kostur en að rjúfa þær alveg .	nú er það svo að ferlið er í uppnámi og ég vil spyrja þingmanninn hvort hún álíti að hlé á viðræðum sé skárri kostur en að rjúfa þær alveg	O C O O O O C O O O O C C O O O C O O O O C O O O O C O O	nú það er svo að ferlið í er uppnámi og ég vil spyrja þingmanninn hvort álíti hún að hlé sé á viðræðum skárri kostur en að rjúfa þær alveg	O O F O O O O F O O O C C O O F O O O F O O O O O O C O O
44	Forseti SilG : Forseti vill biðja hv. þingmann að nota fyrst og fremst íslenskt mál .	forseti silg forseti vill biðja hv. þingmann að nota fyrst og fremst íslenskt mál	O O O C C O O O C O O O O O	forseti silg biðja vill forseti hv. þingmann að fyrst og nota fremst íslenskt mál	O O F C O O O O O O F O O O
45	Herra forseti . Ég þakka hv. þingmanni fyrir falleg orð varðandi frumvarpið sem við leggjum fram um hefndarklám .	herra forseti ég þakka hv. þingmanni fyrir falleg orð varðandi frumvarpið sem við leggjum fram um hefndarklám	O O O C O O O O O C O O O C O O O	herra forseti ég þakka hv. þingmanni fyrir falleg orð frumvarpið varðandi sem við leggjum fram um hefndarklám	O O O C O O O O O O F O O C O O O
46	Það er í raun birtingarmynd þess að við lifum í nýjum veruleika .	það er í raun birtingarmynd þess að við lifum í nýjum veruleika	O C O O O O O O C O O O	það í raun birtingarmynd þess er að við lifum í nýjum veruleika	O O O O O F O O C O O O
47	Við lifum allmikið í netheimum , á hverjum degi , og þar gerast ýmsir hlutir , bæði góðir og vondir .	við lifum allmikið í netheimum á hverjum degi og þar gerast ýmsir hlutir bæði góðir og vondir	O C O O O O O O O O C O O O O O O	við lifum allmikið í netheimum á hverjum degi og þar gerast ýmsir hlutir bæði góðir og vondir	O C O O O O O O O O C O O O O O O
48	Við verðum að vakna og vera í takt við það , láta lögin vera í takt við þann veruleika sem við búum við .	við verðum að vakna og vera í takt við það láta lögin vera í takt við þann veruleika sem við búum við	O C O C O C O O O O C O C O O O O O O O C O	við verðum að vakna og í takt við það vera vera láta lögin í takt við þann veruleika sem við búum við	O C O C O O O O O F F F O O O O O O O O C O
49	Hv. þingmaður talaði um vitundarvakninguna og þá miklu samvinnu sem stjórnvöld fóru í á síðasta kjörtímabili .	hv. þingmaður talaði um vitundarvakninguna og þá miklu samvinnu sem stjórnvöld fóru í á síðasta kjörtímabili	O O C O O O O O O O O C O O O O	hv. þingmaður talaði um vitundarvakninguna og þá miklu samvinnu sem stjórnvöld í fóru á síðasta kjörtímabili	O O C O O O O O O O O O F O O O
50	Stjórnvöld á þeim tíma eiga mikið hrós skilið fyrir að hafa farið fram með vitundarvakningu varðandi kynferðisbrot , einkum brot er snúa að börnum .	stjórnvöld á þeim tíma eiga mikið hrós skilið fyrir að hafa farið fram með vitundarvakningu varðandi kynferðisbrot einkum brot er snúa að börnum	O O O O C O O C O O C C O O O C O O O O C O O	stjórnvöld á þeim tíma eiga skilið mikið hrós fyrir farið að fram hafa með vitundarvakningu varðandi kynferðisbrot einkum brot er snúa að börnum	O O O O C F O O O F O O F O O C O O O O C O O
51	Þau gerðu það í miklu samstarfi við ýmis félagasamtök og hagsmunaaðila .	þau gerðu það í miklu samstarfi við ýmis félagasamtök og hagsmunaaðila	O C O O O O O O O O O	þau það gerðu í miklu samstarfi við ýmis félagasamtök og hagsmunaaðila	O O F O O O O O O O O
52	Það er auðvitað þyngra en tárum taki að sjá þá vinnu verða að engu þrátt fyrir fyrirheit þingmanna úr öllum flokkum í kjölfar druslugöngunnar í sumar .	það er auðvitað þyngra en tárum taki að sjá þá vinnu verða að engu þrátt fyrir fyrirheit þingmanna úr öllum flokkum í kjölfar druslugöngunnar í sumar	O C O O O O C O C O O C O O O O O O O O O O O O O O	það auðvitað þyngra er en tárum taki að þá vinnu að verða engu þrátt fyrir fyrirheit þingmanna úr öllum flokkum í kjölfar druslugöngunnar í sumar sjá	O O O F O O C O O O O C O O O O O O O O O O O O O F
53	Þá vildi enginn skera neitt niður .	þá vildi enginn skera neitt niður	O C O C O O	þá enginn vildi skera neitt niður	O O F C O O
54	Þá vildu allir bæta í , þá vildu allir halda áfram sama flotta starfinu og gera betur .	þá vildu allir bæta í þá vildu allir halda áfram sama flotta starfinu og gera betur	O C O C O O C O C O O O O O C O	þá allir vildu í bæta þá vildu allir halda áfram sama flotta starfinu og betur gera	O O F O F O C O C O O O O O O F
55	En það er nú aldeilis ekki að sjá í þessu fjárlagafrumvarpi og það er skömm að því .	en það er nú aldeilis ekki að sjá í þessu fjárlagafrumvarpi og það er skömm að því	O O C O O O O O C O O O O C O O O	en það nú aldeilis ekki og sjá að í þessu fjárlagafrumvarpi það skömm er að er því	O O O O O O F O O O O O O C O F O
56	Virðulegi forseti . Við gætum kannski aflað meiri tekna .	virðulegi forseti við gætum kannski aflað meiri tekna	O O O C O C O O	virðulegi forseti við gætum kannski aflað meiri tekna	O O O C O C O O
57	Ég veit ekki hvort þess þarf , ég held að það þurfi bara að forgangsraða öðruvísi .	ég veit ekki hvort þess þarf ég held að það þurfi bara að forgangsraða öðruvísi	O C O O O C O C O O C O O C O	ég ekki veit hvort þess þarf ég held að það þurfi bara að forgangsraða öðruvísi	O O F O O C O C O O C O O C O
58	Mér verður tíðrætt um þessa 80 milljarða sem fara í skuldaniðurfellingu .	mér verður tíðrætt um þessa 80 milljarða sem fara í skuldaniðurfellingu	O C O O O O O O C O O	mér verður tíðrætt um þessa 80 milljarða fara sem í skuldaniðurfellingu	O C O O O O O F O O O
59	Ég hefði gjarnan viljað sjá þá fara í innviði og í lækkun skulda .	ég hefði gjarnan viljað sjá þá fara í innviði og í lækkun skulda	O C O C C O C O O O O O O	ég gjarnan hefði viljað sjá þá fara í innviði og í lækkun skulda	O O F C C O C O O O O O O
60	Ég hefði gjarnan viljað sjá vaxtakostnaðinn lækka hjá ríkinu .	ég hefði gjarnan viljað sjá vaxtakostnaðinn lækka hjá ríkinu	O C O C C O C O O	ég viljað gjarnan sjá hefði vaxtakostnaðinn lækka hjá ríkinu	O F O F F O C O O
61	Ég held að það séu ýmsar aðrar leiðir til að setja hlutina fram svo að þeir séu réttlátari og betur til þess fallnir að þjónusta alla og að mismuna ekki fólki eftir því hvort það á peninga eða ekki .	ég held að það séu ýmsar aðrar leiðir til að setja hlutina fram svo að þeir séu réttlátari og betur til þess fallnir að þjónusta alla og að mismuna ekki fólki eftir því hvort það á peninga eða ekki	O C O O C O O O O O C O O O O O C O O O O O C O C O O O C O O O O O O C O O O	ég að það held séu ýmsar aðrar leiðir til að hlutina fram svo að þeir setja réttlátari séu fallnir og betur til þess að þjónusta alla og að ekki fólki mismuna eftir því hvort það peninga eða ekki á	O O O F C O O O O O O O O O O F O F F O O O O O C O O O O O F O O O O O O O F
62	Það er vegur sem við virðumst vera farin að rata , sem er mjög óhugnanlegt , að við séum komin á þann stað .	það er vegur sem við virðumst vera farin að rata sem er mjög óhugnanlegt að við séum komin á þann stað	O C O O C O O O O O C C C O C O C C O O O	það vegur er sem við virðumst vera farin rata að sem mjög óhugnanlegt að er komin við séum á þann stað	O O F O O C C C F O O O O O F F O F O O O
63	Ég er svo kvöldsvæf , ég held að ég sé orðin þreytt , ég man ekki hver seinni hluti spurningar hv. þingmanns var .	ég er svo kvöldsvæf ég held að ég sé orðin þreytt ég man ekki hver seinni hluti spurningar hv. þingmanns var	O C O O O C O O C C O O C O O O O O O O C	ég er svo kvöldsvæf ég held að ég orðin sé þreytt ég man ekki hver seinni hluti spurningar hv. þingmanns var	O C O O O C O O F F O O C O O O O O O O C
