idx	original	no_punc_lower	adjacent	adjacent_gold	random	random_gold
11	Hierdie weergawe van die webtuiste maak voorsiening vir elf tale , naamlik Engels , Afrikaans , isiXhosa , isiZulu , Sepedi , Sesotho , Setswana , Ndebele , Tsonga , Venda en Siswati .	hierdie weergawe van die webtuiste maak voorsiening vir elf tale naamlik engels afrikaans isixhosa isizulu sepedi sesotho setswana ndebele tsonga venda en siswati	hierdie weergawe van die webtuiste voorsiening maak vir elf tale naamlik engels afrikaans isixhosa isizulu sepedi sesotho setswana ndebele tsonga venda en siswati	O O O O O O F O O O O O O O O O O O O O O O O	hierdie weergawe van die webtuiste maak voorsiening vir elf tale naamlik engels afrikaans isixhosa isizulu sepedi sesotho setswana ndebele tsonga venda en siswati	O O O O O C O O O O O O O O O O O O O O O O O
12	Ten einde toegang tot die inligting op die webtuiste uit te brei , word daar in die vooruitsig gestel dat die inligting uiteindelik in al elf amptelike tale beskikbaar sal wees .	ten einde toegang tot die inligting op die webtuiste uit te brei word daar in die vooruitsig gestel dat die inligting uiteindelik in al elf amptelike tale beskikbaar sal wees	ten einde toegang tot die inligting op die webtuiste uit brei te word daar in die vooruitsig gestel dat die inligting uiteindelik in al elf amptelike tale beskikbaar sal wees	O O O O O O O O O O F O C O O O O C O O O O O O O O O O F F	ten einde toegang tot die inligting op die webtuiste uit te brei daar in die vooruitsig dat die inligting uiteindelik in al gestel elf amptelike tale beskikbaar sal wees word	O O O O O O O O O O O C O O O O O O O O O O F O O O O C C F
13	Vertaling van die inligting in die oorblywende amptelike tale sal na verwagting teen Maart 2007 afgehandel wees .	vertaling van die inligting in die oorblywende amptelike tale sal na verwagting teen maart 2007 afgehandel wees	vertaling van die inligting in die oorblywende amptelike tale sal na verwagting teen maart 2007 afgehandel wees	O O O O O O O O O C O O O O O O C	vertaling van die inligting in die oorblywende amptelike tale sal wees na verwagting teen maart 2007 afgehandel	O O O O O O O O O C F O O O O O O
14	Dienste-inligting word oorspronklik in Engels opgestel , waarna dit in die ander tale vertaal word .	dienste-inligting word oorspronklik in engels opgestel waarna dit in die ander tale vertaal word	dienste-inligting oorspronklik word in opgestel engels waarna dit in die ander tale vertaal word	O O F O F O O O O O O O C C	dienste-inligting oorspronklik in engels opgestel waarna dit word in word die ander tale vertaal	O O O O C O O F O F O O O C
15	Dienste-inligting word in die ander tale geplaas nadat dit vertaal is .	dienste-inligting word in die ander tale geplaas nadat dit vertaal is	dienste-inligting in word die ander geplaas tale nadat dit vertaal is	O O F O O F O O O C C	dienste-inligting in geplaas die ander tale nadat dit word vertaal is	O O F O O O O O F C C
16	Gebruik die Kontak ons bladsy om kommentaar te lewer oor of navraag te doen na die Regeringsdienste-webtuiste .	gebruik die kontak ons bladsy om kommentaar te lewer oor of navraag te doen na die regeringsdienste-webtuiste	kontak gebruik die ons bladsy om kommentaar te lewer oor of navraag te doen na die regeringsdienste-webtuiste	F F O O O O O O C O O O O C O O O	gebruik die ons bladsy om kommentaar te oor of navraag lewer te doen na die regeringsdienste-webtuiste kontak	C O O O O O O O O O F O C O O O F
17	Die www.gov.za-skakel voorsien toegang tot die Suid-Afrikaanse Regering Aanlyn tuisbladsy , wat toegang verskaf tot die webtuiste ( Regeringsdienste-webtuiste ) en die Regeringsinligting-webtuiste ( www.info.gov.za ) .	die www.gov.za-skakel voorsien toegang tot die suid-afrikaanse regering aanlyn tuisbladsy wat toegang verskaf tot die webtuiste regeringsdienste-webtuiste en die regeringsinligting-webtuiste www.info.gov.za	die www.gov.za-skakel toegang voorsien tot die suid-afrikaanse regering aanlyn tuisbladsy wat verskaf toegang tot die webtuiste regeringsdienste-webtuiste en die regeringsinligting-webtuiste www.info.gov.za	O O O F O O O O O O O F O O O O O O O O O	die www.gov.za-skakel toegang tot die suid-afrikaanse regering aanlyn tuisbladsy wat toegang verskaf tot die webtuiste regeringsdienste-webtuiste en die voorsien regeringsinligting-webtuiste www.info.gov.za	O O O O O O O O O O O C O O O O O O F O O
18	Die werfkaart verskaf 'n visuele voorstelling van die struktuur van die webtuiste .	die werfkaart verskaf 'n visuele voorstelling van die struktuur van die webtuiste	die werfkaart verskaf 'n visuele voorstelling van die struktuur van die webtuiste	O O C O O O O O O O O O	die werfkaart verskaf 'n visuele voorstelling van die struktuur van die webtuiste	O O C O O O O O O O O O
19	Dit word hiërargies aangebied , en verdeel die webtuiste se inligting in steeds meer spesifieke onderwerpareas .	dit word hiërargies aangebied en verdeel die webtuiste se inligting in steeds meer spesifieke onderwerpareas	dit word hiërargies verdeel aangebied en die webtuiste se inligting in steeds meer spesifieke onderwerpareas	O C O F F O O O O O O O O O O	dit hiërargies en verdeel word aangebied die webtuiste se inligting in steeds meer spesifieke onderwerpareas	O O O C F F O O O O O O O O O
20	Dit stel jou dus in staat om jouself ooreenkomstig die inhoudstruktuur van die webtuiste te oriënteer .	dit stel jou dus in staat om jouself ooreenkomstig die inhoudstruktuur van die webtuiste te oriënteer	dit stel jou dus in staat om jouself ooreenkomstig die inhoudstruktuur van die webtuiste te oriënteer	O C O O O O O O O O O O O O O C	dit jou dus in staat om jouself ooreenkomstig die inhoudstruktuur van die webtuiste stel te oriënteer	O O O O O O O O O O O O O F O C
21	Die tuisbladsy verskaf 'n lys van die mees besoekte dienste .	die tuisbladsy verskaf 'n lys van die mees besoekte dienste	die tuisbladsy 'n verskaf lys van die mees besoekte dienste	O O O F O O O O O O	die tuisbladsy verskaf 'n lys van die mees besoekte dienste	O O C O O O O O O O
22	Hierdie inskrywings bied toegang tot die vyf dienste wat die meeste deur gebruikers besoek is .	hierdie inskrywings bied toegang tot die vyf dienste wat die meeste deur gebruikers besoek is	hierdie bied inskrywings toegang tot die vyf dienste wat die meeste deur gebruikers besoek is	O F O O O O O O O O O O O C C	hierdie bied inskrywings is toegang tot die vyf dienste wat die meeste deur gebruikers besoek	O F O F O O O O O O O O O O C
23	Die lysting word aangepas in ooreenstemming met die statistiek vir die bladsye wat besoek is .	die lysting word aangepas in ooreenstemming met die statistiek vir die bladsye wat besoek is	die lysting word aangepas in ooreenstemming met die statistiek vir die bladsye wat besoek is	O O F F O O O O O O O O O C C	aangepas die lysting word in ooreenstemming met besoek die statistiek vir die bladsye wat is	F O O C O O O F O O O O O O C
24	'n Soekvenstertjie is beskikbaar op alle bladsye op die webtuiste .	'n soekvenstertjie is beskikbaar op alle bladsye op die webtuiste	'n soekvenstertjie beskikbaar is op alle bladsye op die webtuiste	O O O F O O O O O O	'n soekvenstertjie beskikbaar op alle is bladsye op die webtuiste	O O O O O F O O O O
25	Wanneer 'n soekterm ingesleutel word , sal die volledige webtuiste vir die bepaalde woord (e) deursoek word .	wanneer 'n soekterm ingesleutel word sal die volledige webtuiste vir die bepaalde woord (e) deursoek word	wanneer 'n ingesleutel soekterm word sal die volledige webtuiste vir die bepaalde woord (e) deursoek word	O O F O C C O O O O O O O O F F	wanneer 'n sal soekterm word die volledige webtuiste vir die bepaalde ingesleutel woord (e) word deursoek	O O F O C O O O O O O F O O F C
26	Skakels na eksterne webtuistes word aangedui deur die woorde ' buiteskakel - maak 'n nuwe venster oop ' , wat in 'n venstertjie sal verskyn wanneer jou merker oor die skakel beweeg word .	skakels na eksterne webtuistes word aangedui deur die woorde buiteskakel maak 'n nuwe venster oop wat in 'n venstertjie sal verskyn wanneer jou merker oor die skakel beweeg word	skakels na eksterne webtuistes word aangedui deur die woorde buiteskakel 'n maak nuwe venster oop wat in 'n sal venstertjie verskyn wanneer jou merker oor die skakel beweeg word	O O O O C C O O O O O F O O O O O O F O C O O O O O O C C	skakels na eksterne maak webtuistes aangedui deur die woorde buiteskakel 'n nuwe verskyn venster oop wat in 'n venstertjie wanneer jou merker oor die sal skakel beweeg word word	O O O F O C O O O O O O F O O O O O O O O O O O F O C F C
27	Die webtuiste sal 'n nuwe deurblaai-venster oopmaak .	die webtuiste sal 'n nuwe deurblaai-venster oopmaak	die webtuiste 'n sal nuwe oopmaak deurblaai-venster	O O O F O F O	die webtuiste 'n sal nuwe deurblaai-venster oopmaak	O O O F O O C
28	Hoe gereeld gaan die inligting bygewerk word ?	hoe gereeld gaan die inligting bygewerk word	hoe gereeld gaan die inligting bygewerk word	O O C O O F F	bygewerk gaan hoe gereeld die inligting word	F F O O O O C
29	Die webtuiste sal op 'n voortdurende basis bygewerk word .	die webtuiste sal op 'n voortdurende basis bygewerk word	die webtuiste sal op 'n voortdurende basis bygewerk word	O O C O O O O C C	die webtuiste sal op word 'n voortdurende basis bygewerk	O O C O F O O O C
30	Ons beleid is om inligting te verskaf soos en wanneer dit beskikbaar word .	ons beleid is om inligting te verskaf soos en wanneer dit beskikbaar word	ons beleid om is inligting verskaf te soos en wanneer dit beskikbaar word	O O O F O F O O O O O O C	ons beleid is om inligting word te verskaf soos en wanneer dit beskikbaar	O O C O O F O C O O O O O
31	Die ontwikkelaars van die Regeringsdienste-webtuiste kan egter nie die resentheid waarborg van inligting wat gepubliseer word op ander webtuistes waarheen daar skakels verskaf word nie .	die ontwikkelaars van die regeringsdienste-webtuiste kan egter nie die resentheid waarborg van inligting wat gepubliseer word op ander webtuistes waarheen daar skakels verskaf word nie	die ontwikkelaars van die regeringsdienste-webtuiste egter kan nie die waarborg resentheid van inligting wat gepubliseer word op ander webtuistes waarheen daar skakels verskaf word nie	O O O O O O F O O F O O O O C C O O O O O O F F O	die ontwikkelaars van die regeringsdienste-webtuiste kan egter waarborg nie die resentheid van inligting wat word gepubliseer op ander webtuistes waarheen word daar skakels verskaf nie	O O O O O C O F O O O O O O C F O O O O F O O C O
32	Sien Terme en Voorwaardes , par. 4.3 .	sien terme en voorwaardes par. 4.3	sien terme en voorwaardes par. 4.3	C O O O O O	terme sien en voorwaardes par. 4.3	O F O O O O
33	Regeringsdepartemente neem self eienaarskap van hul inligting op die webtuiste .	regeringsdepartemente neem self eienaarskap van hul inligting op die webtuiste	regeringsdepartemente neem self eienaarskap van hul inligting op die webtuiste	O C O O O O O O O O	regeringsdepartemente neem self eienaarskap van hul inligting op die webtuiste	O C O O O O O O O O
34	Hierdie funksie is toegewys aan departementele kontakbestuurders wat verantwoordelik is vir die inligting wat op die webtuiste gepubliseer word .	hierdie funksie is toegewys aan departementele kontakbestuurders wat verantwoordelik is vir die inligting wat op die webtuiste gepubliseer word	hierdie funksie is toegewys aan departementele kontakbestuurders wat verantwoordelik is vir die inligting wat op die webtuiste gepubliseer word	O O F F O O O O O C O O O O O O O C C	hierdie funksie aan departementele kontakbestuurders wat verantwoordelik is vir is die inligting wat op die webtuiste gepubliseer word toegewys	O O O O O O O C O F O O O O O O C C F
35	Regeringskommunikasie ( GCIS ) is verantwoordelik vir die oorkoepelende bestuur en koördinering van die webtuiste se inhoud .	regeringskommunikasie gcis is verantwoordelik vir die oorkoepelende bestuur en koördinering van die webtuiste se inhoud	regeringskommunikasie gcis verantwoordelik is vir die oorkoepelende bestuur en koördinering van die webtuiste se inhoud	O O O F O O O O O O O O O O O	regeringskommunikasie gcis verantwoordelik vir die oorkoepelende is bestuur en koördinering van die webtuiste se inhoud	O O O O O O F O O O O O O O O
36	Die vernaamste formaat vir inligting op die webtuiste is HTML .	die vernaamste formaat vir inligting op die webtuiste is html	die vernaamste formaat vir inligting op die is webtuiste html	O O O O O O O F O O	die vernaamste formaat vir inligting op die webtuiste is html	O O O O O O O O C O
37	Die PDF-weergawes van dokumente ( bv. wette , vorms ) word egter verskaf om die oorspronklike uitleg daarvan te behou .	die pdf-weergawes van dokumente bv. wette vorms word egter verskaf om die oorspronklike uitleg daarvan te behou	die pdf-weergawes van dokumente bv. wette vorms word egter om verskaf die oorspronklike uitleg daarvan behou te	O O O O O O O C O O F O O O O F O	die word pdf-weergawes van dokumente verskaf bv. wette vorms egter om die oorspronklike uitleg daarvan te behou	O F O O O F O O O O O O O O O O C
38	Ten einde PDF-dokumente te kan oopmaak , moet jy Adobe Acrobat Reader 4 of hoër op jou rekenaar geïnstalleer hê .	ten einde pdf-dokumente te kan oopmaak moet jy adobe acrobat reader 4 of hoër op jou rekenaar geïnstalleer hê	ten einde pdf-dokumente te kan oopmaak jy moet adobe acrobat reader 4 of hoër op jou rekenaar hê geïnstalleer	O O O O C C O F O O O O O O O O O F O	moet hê ten einde pdf-dokumente te kan oopmaak jy adobe acrobat reader 4 of hoër op jou rekenaar geïnstalleer	F F O O O O C C O O O O O O O O O O O
39	Dit sal dokumente regstreeks in jou blaaier oopmaak .	dit sal dokumente regstreeks in jou blaaier oopmaak	dit sal dokumente regstreeks in jou blaaier oopmaak	O C O O O O O C	dit dokumente regstreeks in jou blaaier sal oopmaak	O O O O O O F C
40	Soms neem dit lank om PDF-dokumente oop te maak .	soms neem dit lank om pdf-dokumente oop te maak	soms dit neem lank om pdf-dokumente oop maak te	O O F O O O O F O	soms dit neem lank om pdf-dokumente oop te maak	O O F O O O O O C
41	In daardie geval beveel ons aan dat jy dit na jou rekenaar aflaai en liewer van daar af oopmaak .	in daardie geval beveel ons aan dat jy dit na jou rekenaar aflaai en liewer van daar af oopmaak	in daardie geval beveel ons aan dat jy dit na jou rekenaar aflaai en liewer van daar af oopmaak	O O O C O O O O O O O O C O O O O O C	in daardie geval aflaai ons aan dat jy dit na jou rekenaar en liewer van daar beveel af oopmaak	O O O F O O O O O O O O O O O O F O C
42	Gebruik jou muis om regs te klik op die dokument wat jy graag wil aflaai .	gebruik jou muis om regs te klik op die dokument wat jy graag wil aflaai	jou gebruik muis om regs klik te op die dokument wat jy graag wil aflaai	O F O O O F O O O O O O O C C	gebruik aflaai jou muis om regs te klik op wil die dokument wat jy graag	C F O O O O O C O F O O O O O
43	In die tuimel-kieslys wat verskyn , kies ' Save Target As ' .	in die tuimel-kieslys wat verskyn kies save target as	in die tuimel-kieslys wat verskyn kies save target as	O O O O F F O O O	in die tuimel-kieslys wat verskyn save target as kies	O O O O C O O O F
44	In die ' Save As ' -venstertjie , kies die plek op jou hardeskyf waar jy die dokument wil stoor en klik op die ' Save ' knoppie .	in die save as -venstertjie kies die plek op jou hardeskyf waar jy die dokument wil stoor en klik op die save knoppie	in die save as -venstertjie kies die plek op jou hardeskyf waar jy die dokument wil stoor en klik op die save knoppie	O O O O O C O O O O O O O O O F F O C O O O O	in die save as -venstertjie die plek op jou hardeskyf kies waar jy die dokument wil en klik op stoor die save knoppie	O O O O O O O O O O F O O O O C O C O F O O O
45	Die lêer sal afgelaai word na die plek wat jy aangedui het .	die lêer sal afgelaai word na die plek wat jy aangedui het	die lêer sal afgelaai word na die plek wat jy aangedui het	O O C F F O O O O O C C	aangedui die lêer sal afgelaai na het word die plek wat jy	F O O C C O F F O O O O
46	Maak jou Acrobat Reader toepassing oop en maak daarna die dokumente wat jy afgelaai het oop .	maak jou acrobat reader toepassing oop en maak daarna die dokumente wat jy afgelaai het oop	jou maak acrobat reader toepassing oop maak en daarna die dokumente wat jy afgelaai het oop	O F O O O O F O O O O O O C C O	maak het jou acrobat reader toepassing oop en maak afgelaai daarna die dokumente wat jy oop	C F O O O O O O C F O O O O O O
47	Gebruik jou muis , en skuif en klik ( linkerkantste muisklik ) op die skakel na die dokument wat jy wil stoor .	gebruik jou muis en skuif en klik linkerkantste muisklik op die skakel na die dokument wat jy wil stoor	jou gebruik muis skuif en en klik linkerkantste muisklik op die skakel na die dokument wat jy wil stoor	O F O F O O C O O O O O O O O O O C C	wil gebruik jou muis en skuif en klik linkerkantste muisklik op stoor die skakel na die dokument wat jy	F C O O O C O F O O O F O O O O O O O
48	In die ' Save As ' venstertjie , kies die plek op jou hardeskyf waar jy die dokument wil stoor en klik op die ' Save ' knoppie .	in die save as venstertjie kies die plek op jou hardeskyf waar jy die dokument wil stoor en klik op die save knoppie	in die save as venstertjie die kies plek op jou hardeskyf waar jy die wil dokument stoor en op klik die save knoppie	O O O O O O F O O O O O O O F O C O O F O O O	in die save as venstertjie die plek op jou hardeskyf waar jy die stoor dokument kies wil en klik op die save knoppie	O O O O O O O O O O O O O F O F C O C O O O O
49	Die lêer sal afgelaai word na die plek wat jy aangedui het .	die lêer sal afgelaai word na die plek wat jy aangedui het	die sal lêer afgelaai word na die plek wat jy aangedui het	O F O C C O O O O O F F	die lêer na die plek wat sal jy aangedui het afgelaai word	O O O O O O F O C C F F
50	Maak jou Acrobat Reader toepassing oop en maak daarna ook die dokumente wat jy afgelaai het oop .	maak jou acrobat reader toepassing oop en maak daarna ook die dokumente wat jy afgelaai het oop	maak jou acrobat reader toepassing oop en maak daarna ook die dokumente wat jy afgelaai het oop	C O O O O O O C O O O O O O F F O	jou acrobat reader toepassing oop maak en maak daarna ook het die dokumente wat jy afgelaai oop	O O O O O F O C O O F O O O O C O
51	Hulp nodig met probleme wat op die webtuiste ervaar word ?	hulp nodig met probleme wat op die webtuiste ervaar word	hulp nodig met probleme wat op die webtuiste ervaar word	O O O O O O O O C C	hulp nodig met probleme wat op die webtuiste word ervaar	O O O O O O O O C F
52	Kontak ons asseblief ( electronic@gcis.gov.za ) indien jy enige probleme met die webtuiste ondervind .	kontak ons asseblief electronic@gcis.gov.za indien jy enige probleme met die webtuiste ondervind	ons kontak asseblief electronic@gcis.gov.za indien jy enige probleme met die ondervind webtuiste	O F O O O O O O O O F O	kontak ons asseblief electronic@gcis.gov.za indien jy enige probleme met ondervind die webtuiste	C O O O O O O O O F O O
53	Indien 'n vereniging , maatskappy of beslote korporasie nie sy skuld kan of wil betaal nie en ook nie sy verpligtinge kan nakom nie ( weens insolvensie , wanbestuur of om enige ander rede ) mag die Direkteur-generaal van Handel en Nywerheid 'n sakeonderneming onder administrasie plaas of laat likwideer .	indien 'n vereniging maatskappy of beslote korporasie nie sy skuld kan of wil betaal nie en ook nie sy verpligtinge kan nakom nie weens insolvensie wanbestuur of om enige ander rede mag die direkteur-generaal van handel en nywerheid 'n sakeonderneming onder administrasie plaas of laat likwideer	indien 'n vereniging maatskappy of beslote korporasie nie sy skuld kan of wil nie betaal en ook nie sy kan verpligtinge nakom nie weens insolvensie wanbestuur of om enige ander rede mag die direkteur-generaal van handel en nywerheid 'n sakeonderneming onder administrasie laat plaas of likwideer	O O O O O O O O O O C O C O F O O O O F O C O O O O O O O O O C O O O O O O O O O O F F O C	indien 'n vereniging kan maatskappy of beslote korporasie nie sy skuld of wil nie en ook nie sy verpligtinge nakom nie betaal weens insolvensie wanbestuur of om kan enige ander rede mag die direkteur-generaal van handel en nywerheid likwideer 'n sakeonderneming onder administrasie plaas of laat	O O O F O O O O O O O O C O O O O O O C O F O O O O O F O O O C O O O O O O F O O O O C O C
54	'n Vereniging of 'n voorlopige vereniging , enige lid van die vereniging of enige ander belanghebbende persoon mag by die hof aansoek doen dat die Direkteur-generaal die vereniging of voorlopige vereniging onder administrasie plaas of likwideer .	'n vereniging of 'n voorlopige vereniging enige lid van die vereniging of enige ander belanghebbende persoon mag by die hof aansoek doen dat die direkteur-generaal die vereniging of voorlopige vereniging onder administrasie plaas of likwideer	'n vereniging of 'n voorlopige vereniging enige lid van die vereniging of enige ander belanghebbende persoon mag by die hof aansoek dat doen die direkteur-generaal die vereniging of voorlopige vereniging onder plaas administrasie of likwideer	O O O O O O O O O O O O O O O O C O O O O O F O O O O O O O O F O O C	'n vereniging of 'n voorlopige vereniging enige lid van die vereniging of enige ander belanghebbende doen persoon by die hof aansoek mag dat die direkteur-generaal die vereniging of voorlopige vereniging onder administrasie plaas of likwideer	O O O O O O O O O O O O O O O F O O O O O F O O O O O O O O O O C O C
