idx	original	no_punc_lower	adjacent	adjacent_gold	random	random_gold
52	Du skall nämligen inte bara skaffa dig vissa kunskaper , du skall också lära dig leva ihop med dina kamrater och så småningom sammangjutas med dem till ett förband .	du skall nämligen inte bara skaffa dig vissa kunskaper du skall också lära dig leva ihop med dina kamrater och så småningom sammangjutas med dem till ett förband	skall du nämligen inte bara skaffa dig vissa kunskaper du skall också leva lära dig ihop med dina kamrater och så småningom sammangjutas med dem till ett förband	F O O O O C O O O O C O F F O O O O O O O O C O O O O O	du skall skaffa nämligen inte bara dig vissa skall kunskaper du också lära dig ihop med dina kamrater och så småningom sammangjutas leva med dem till ett förband	O C F O O O O O F O O O C O O O O O O O O C F O O O O O
53	Krig är hårt och brutalt .	krig är hårt och brutalt	krig är hårt och brutalt	O C O O O	krig hårt och brutalt är	O O O O F
54	Den militära verksamheten har kriget som bakgrund .	den militära verksamheten har kriget som bakgrund	den militära verksamheten kriget har som bakgrund	O O O O F O O	den militära har verksamheten kriget som bakgrund	O O F O O O O
55	Det militära livet avviker därför ofta från det civila .	det militära livet avviker därför ofta från det civila	det militära avviker livet därför ofta från det civila	O O F O O O O O O	det militära livet därför avviker ofta från det civila	O O O O F O O O O
56	Den ovillkorliga och ögonblickliga lydnad som den militära verksamheten kräver , har också sin motsvarighet i det civila , t ex på de områden där liv står på spel .	den ovillkorliga och ögonblickliga lydnad som den militära verksamheten kräver har också sin motsvarighet i det civila t ex på de områden där liv står på spel	den ovillkorliga och ögonblickliga lydnad som den militära verksamheten kräver har också sin motsvarighet i det civila t ex på de områden där liv på står spel	O O O O O O O O O C C O O O O O O O O O O O O O F O	den ovillkorliga och ögonblickliga lydnad som den militära verksamheten kräver också sin motsvarighet i det civila t ex på de områden där liv står på har spel	O O O O O O O O O C O O O O O O O O O O O O C O F O
57	Krav på disciplin möter du på de flesta andra områden i samhället .	krav på disciplin möter du på de flesta andra områden i samhället	krav på möter disciplin du på de flesta andra områden i samhället	O O F O O O O O O O O O	krav på disciplin möter du på de flesta andra områden i samhället	O O O C O O O O O O O O
58	Under militärutbildningen måste du emellertid underordna dig på ett sätt , som kanske är nytt och besvärande .	under militärutbildningen måste du emellertid underordna dig på ett sätt som kanske är nytt och besvärande	under militärutbildningen måste du emellertid underordna dig på ett sätt som kanske nytt är och besvärande	O O C O O C O O O O O O O F O O	underordna under militärutbildningen måste du emellertid är dig på ett sätt som kanske nytt och besvärande	F O O C O O F O O O O O O O O O
59	Men tro inte du skall koppla av din egen tankeverksamhet !	men tro inte du skall koppla av din egen tankeverksamhet	tro men inte du skall koppla av din egen tankeverksamhet	F O O O C C O O O O	men skall tro inte du av din egen tankeverksamhet koppla	O F C O O O O O O F
60	Du måste både kunna handla självständigt och lyda för att bli en bra soldat .	du måste både kunna handla självständigt och lyda för att bli en bra soldat	du kunna måste både handla självständigt och lyda för att en bli bra soldat	O F F O C O O C O O O F O O	du kunna måste både självständigt och lyda för att bli en handla bra soldat	O F C O O O C O O C O F O O
61	Under fredsutbildningen framkommer detta särskilt tydligt vid övningar med skarp ammunition .	under fredsutbildningen framkommer detta särskilt tydligt vid övningar med skarp ammunition	under framkommer fredsutbildningen detta särskilt tydligt vid övningar med skarp ammunition	O F O O O O O O O O O	under fredsutbildningen framkommer detta särskilt tydligt vid övningar med skarp ammunition	O O C O O O O O O O O
62	I krig utförs all verksamhet i ' skarpladdad miljö ' .	i krig utförs all verksamhet i skarpladdad miljö	i krig utförs all verksamhet i skarpladdad miljö	O O C O O O O O	i krig all verksamhet i skarpladdad miljö utförs	O O O O O O O F
63	Det är till uppträdande i denna miljö som utbildningen närmast syftar - därav kravet på omedelbar och ovillkorlig lydnad och på noggrannhet redan i fredsutbildningen .	det är till uppträdande i denna miljö som utbildningen närmast syftar därav kravet på omedelbar och ovillkorlig lydnad och på noggrannhet redan i fredsutbildningen	det är till uppträdande i denna miljö som utbildningen närmast därav syftar kravet på omedelbar och ovillkorlig lydnad och på noggrannhet redan i fredsutbildningen	O C O O O O O O O O O F O O O O O O O O O O O O	det är till uppträdande i denna miljö som utbildningen närmast därav kravet på omedelbar och ovillkorlig lydnad och på noggrannhet redan i fredsutbildningen syftar	O C O O O O O O O O O O O O O O O O O O O O O F
64	En sekunds tvekan eller dröjsmål eller ett till synes oskyldigt slarv kan kosta dig och även kamraterna livet .	en sekunds tvekan eller dröjsmål eller ett till synes oskyldigt slarv kan kosta dig och även kamraterna livet	en sekunds tvekan eller dröjsmål eller ett till synes oskyldigt kan slarv kosta dig och även kamraterna livet	O O O O O O O O O O F O C O O O O O	en sekunds tvekan eller dröjsmål kan eller ett till synes oskyldigt slarv kosta dig och även kamraterna livet	O O O O O F O O O O O O C O O O O O
65	Du kommer att bo tillsammans med 10-20 kamrater .	du kommer att bo tillsammans med 10-20 kamrater	du kommer att tillsammans bo med 10-20 kamrater	O C O O F O O O	du att bo tillsammans kommer med 10-20 kamrater	O O C O F O O O
66	Detta kan bli ett problem men också en källa till samhörighet och glatt kamratskap .	detta kan bli ett problem men också en källa till samhörighet och glatt kamratskap	kan detta bli ett problem men också en källa till samhörighet och glatt kamratskap	F O C O O O O O O O O O O O	detta kan ett bli problem men också en källa till samhörighet och glatt kamratskap	O C O F O O O O O O O O O O
67	Det beror mest på dig själv .	det beror mest på dig själv	det beror mest på dig själv	O C O O O O	det mest på dig själv beror	O O O O O F
68	Försök redan från första dagen att acceptera kamraterna och visa hänsyn mot dem .	försök redan från första dagen att acceptera kamraterna och visa hänsyn mot dem	redan försök från första dagen acceptera att kamraterna och visa hänsyn mot dem	O F O O O F O O O C O O O	redan från försök första dagen att acceptera kamraterna visa och hänsyn mot dem	O O F O O O C O F O O O O
69	Gott humör , renhårighet och hjälpsamhet skapar gemensam trevnad .	gott humör renhårighet och hjälpsamhet skapar gemensam trevnad	gott humör renhårighet och hjälpsamhet skapar gemensam trevnad	O O O O O C O O	gott humör renhårighet och hjälpsamhet skapar gemensam trevnad	O O O O O C O O
70	Alla människor är inte lika .	alla människor är inte lika	alla människor inte är lika	O O O F O	alla människor inte är lika	O O O F O
71	Du själv är kanske stor och stark och känner dig säker på dig själv .	du själv är kanske stor och stark och känner dig säker på dig själv	du är själv kanske stor och stark och känner dig säker på dig själv	O F O O O O O O C O O O O O	du själv kanske stor och stark och är känner dig säker på dig själv	O O O O O O O F C O O O O O
72	Hjälp då dina svagare kamrater .	hjälp då dina svagare kamrater	hjälp då dina svagare kamrater	C O O O O	då dina svagare kamrater hjälp	O O O O F
73	Märker du att någon form av översitteri förekommer , så tala med befälet .	märker du att någon form av översitteri förekommer så tala med befälet	du märker att någon form av förekommer översitteri så tala med befälet	O F O O O O F O O C O O	märker du att någon form av översitteri så tala med förekommer befälet	C O O O O O O O C O F O
74	Det är inte skvaller - det är din skyldighet .	det är inte skvaller det är din skyldighet	det är inte skvaller det din är skyldighet	O C O O O O F O	det inte skvaller det är din är skyldighet	O O O O C O F O
75	Kamratförtryck är nämligen i lag förbjudet och alltså straffbart .	kamratförtryck är nämligen i lag förbjudet och alltså straffbart	är kamratförtryck nämligen i lag förbjudet och alltså straffbart	F O O O O O O O O	kamratförtryck nämligen i lag förbjudet är och alltså straffbart	O O O O O F O O O
