idx	original	no_punc_lower	correct_gold	no_punc_lower_permuted	permuted_gold
13	,, Ik denk dat Servië en Montenegro nu juist veel makkelijker overeenstemming zullen bereiken over het vormen van een unie van onafhankelijke staten '' , zei de Montenegrijnse premier Vujanovic .	,, ik denk dat servië en montenegro nu juist veel makkelijker overeenstemming zullen bereiken over het vormen van een unie van onafhankelijke staten '' zei de montenegrijnse premier vujanovic	O O C O O O O O O O O O O C C O O C O O O O O O C O O O O	,, ik '' dat servië en montenegro nu juist veel makkelijker overeenstemming zullen bereiken over het van een unie vormen van onafhankelijke staten denk de montenegrijnse premier vujanovic zei	O O O O O O O O O O O O C C O O O O O F O O O F O O O O F
14	,, En als Servië geen interesse heeft in een unie met ons , dan roepen we binnenkort de onafhankelijkheid uit . ''	,, en als servië geen interesse heeft in een unie met ons dan roepen we binnenkort de onafhankelijkheid uit ''	O O O C O O O O O O O O O O C O O O O O	,, en als servië heeft geen interesse in een unie met ons dan roepen we binnenkort de onafhankelijkheid uit ''	O O O O F O O O O O O O O C O O O O O O
15	Het Joegoslavische persbureau Tanjug meldde dat president Kostunica vandaag begint met het overleg over de samenstelling van een nieuwe federale regering .	het joegoslavische persbureau tanjug meldde dat president kostunica vandaag begint met het overleg over de samenstelling van een nieuwe federale regering	O O O O C O O O O C O O O O O O O O O O O	het joegoslavische persbureau tanjug meldde dat president kostunica vandaag begint met het overleg over de samenstelling van een nieuwe federale regering	O O O O C O O O O C O O O O O O O O O O O
16	Waarnemers verwachten dat het westen grote druk zal uitoefenen op de komende Joegoslavische regering om de breuk in de federatie te lijmen .	waarnemers verwachten dat het westen grote druk zal uitoefenen op de komende joegoslavische regering om de breuk in de federatie te lijmen	O C O O O O O C C O O C O O O O O O O O O C	waarnemers verwachten dat het westen grote druk komende op zal uitoefenen de joegoslavische regering om de breuk in de federatie te lijmen	O C O O O O O F O F F O O O O O O O O O O C
17	Het Westen wil voorkomen dat Montenegro de onafhankelijkheid uitroept .	het westen wil voorkomen dat montenegro de onafhankelijkheid uitroept	O O C C O O O O C	het wil westen voorkomen dat montenegro de onafhankelijkheid uitroept	O F O C O O O O C
18	Dat zou namelijk koren op de molen zijn van bijvoorbeeld Albanese rebellen in Macedonië en Kosovo .	dat zou namelijk koren op de molen zijn van bijvoorbeeld albanese rebellen in macedonië en kosovo	O C O O O O O C O O O O O O O O	dat zou namelijk koren zijn op de molen van bijvoorbeeld albanese rebellen in macedonië en kosovo	O C O O F O O O O O O O O O O O
19	Een probleem is dat de federale regering tot nu toe bestond uit curieuze partners .	een probleem is dat de federale regering tot nu toe bestond uit curieuze partners	O O C O O O O O O O C O O O	een is probleem dat de federale regering tot nu toe bestond uit curieuze partners	O F O O O O O O O O C O O O
20	De Servische hervormers van DOS zaten in een coalitie met de Montenegrijnse nationalisten van de SNP .	de servische hervormers van dos zaten in een coalitie met de montenegrijnse nationalisten van de snp	O O O O O C O O O O O O O O O O	de servische hervormers van dos zaten in een coalitie met de montenegrijnse nationalisten van de snp	O O O O O C O O O O O O O O O O
21	Hun onenigheid over de samenwerking met het Joegoslavië-Tribunaal maakte duidelijk hoe breekbaar de federatie is .	hun onenigheid over de samenwerking met het joegoslavië-tribunaal maakte duidelijk hoe breekbaar de federatie is	O O O O O O O O C O O O O O C	hun onenigheid over de samenwerking met het joegoslavië-tribunaal duidelijk is maakte hoe breekbaar de federatie	O O O O O O O O O F F O O O O
22	De Servische premier heeft geen spijt dat de uitlevering van Milosevic de federatie in diepe crisis heeft gestort .	de servische premier heeft geen spijt dat de uitlevering van milosevic de federatie in diepe crisis heeft gestort	O O O C O O O O O O O O O O O O C C	de servische premier geen spijt heeft gestort dat de uitlevering van milosevic de federatie heeft in diepe crisis	O O O O O F F O O O O O O O F O O O
23	Hij zei gisteren dat de voordelen van de uitlevering ruimschoots opwegen tegen de ' kleine ' nadelen .	hij zei gisteren dat de voordelen van de uitlevering ruimschoots opwegen tegen de kleine nadelen	O C O O O O O O O O C O O O O	hij zei gisteren dat de voordelen van de uitlevering ruimschoots opwegen tegen de kleine nadelen	O C O O O O O O O O C O O O O
24	,, Het is het eind van een beproeving . ''	,, het is het eind van een beproeving ''	O O C O O O O O O	,, het is het eind van een beproeving ''	O O C O O O O O O
25	Maar liefst 11892 drugsverslaafden en - handelaren zijn afgelopen week bij grootscheepse razzia's in Iran aangehouden .	maar liefst 11892 drugsverslaafden en handelaren zijn afgelopen week bij grootscheepse razzia's in iran aangehouden	O O O C O O C C O O O O O O C	maar liefst 11892 drugsverslaafden en handelaren afgelopen aangehouden week bij grootscheepse razzia's in iran zijn	O O O C O O F F O O O O O O F
26	Niet altijd zonder tegenstand , want bij schietpartijen kwamen negen handelaren om , zo meldt het Iraanse staatspersbureau Irna .	niet altijd zonder tegenstand want bij schietpartijen kwamen negen handelaren om zo meldt het iraanse staatspersbureau irna	O O O O O O O C O O O O C O O O O	niet altijd zonder tegenstand want bij schietpartijen kwamen negen handelaren om zo meldt het iraanse staatspersbureau irna	O O O O O O O C O O O O C O O O O
27	De islamitische republiek heeft al sinds jaar en dag een drugsprobleem .	de islamitische republiek heeft al sinds jaar en dag een drugsprobleem	O O O C O O O O O O O	de islamitische republiek al sinds jaar heeft en dag een drugsprobleem	O O O O O O F O O O O
28	Het land telt zeker 1,2 miljoen verslaafden en een kleine miljoen onregelmatige gebruikers - en hier en daar valt ook het totale aantal van zes miljoen druggebruikers te horen , bijna tien procent van de bevolking .	het land telt zeker 1,2 miljoen verslaafden en een kleine miljoen onregelmatige gebruikers en hier en daar valt ook het totale aantal van zes miljoen druggebruikers te horen bijna tien procent van de bevolking	O O C O O O C O O O O O O O C O O O O O O O O O O O O C O O O O O O	het land telt zeker 1,2 miljoen verslaafden en een kleine miljoen onregelmatige gebruikers en hier en horen valt daar ook het totale aantal van zes miljoen druggebruikers te bijna tien procent van de bevolking	O O C O O O C O O O O O O O O O F C O O O O O O O O O O O O O O O O
29	Bij die cijfers wordt geen onderscheid gemaakt tussen heroïne , opium , morfine en hasj .	bij die cijfers wordt geen onderscheid gemaakt tussen heroïne opium morfine en hasj	O O O C O O C O O O O O O	bij die cijfers geen onderscheid gemaakt tussen heroïne opium morfine en hasj wordt	O O O O O F O O O O O O F
30	Van opium wordt beweerd dat zich zelfs onder de geestelijke elite tot op zeer hoog niveau gebruikers bevinden .	van opium wordt beweerd dat zich zelfs onder de geestelijke elite tot op zeer hoog niveau gebruikers bevinden	O O C C O O O O O O O O O O O O O C	van opium wordt beweerd dat zich zelfs onder de geestelijke elite tot op zeer hoog niveau bevinden gebruikers	O O C C O O O O O O O O O O O O F O
31	De andere drugs worden in toenemende mate gebruikt door Iraanse jongeren , die ontevreden zijn vanwege hoge werkloosheid en de beperkingen die de islamitische republiek hen oplegt .	de andere drugs worden in toenemende mate gebruikt door iraanse jongeren die ontevreden zijn vanwege hoge werkloosheid en de beperkingen die de islamitische republiek hen oplegt	O O O C O C O C O O O O O C O O O O O O O O O O O C	de andere drugs in toenemende worden mate gebruikt door iraanse jongeren die zijn ontevreden vanwege hoge werkloosheid en de beperkingen die de islamitische republiek hen oplegt	O O O O F F O C O O O O F O O O O O O O O O O O O C
32	Iran is een belangrijke doorvoerroute voor drugs uit Afghanistan en Pakistan .	iran is een belangrijke doorvoerroute voor drugs uit afghanistan en pakistan	O C O O O O O O O O O	iran is een belangrijke doorvoerroute voor drugs uit afghanistan en pakistan	O C O O O O O O O O O
33	Langs de 945 kilometer lange Afghaanse grens staat sinds vorig jaar een bewaakt hek , maar handelaren brengen hun waar nu met boten over de Perzische Golf .	langs de 945 kilometer lange afghaanse grens staat sinds vorig jaar een bewaakt hek maar handelaren brengen hun waar nu met boten over de perzische golf	O O O O O O O C O O O O C O O O C O O O O O O O O O	langs de 945 kilometer lange afghaanse grens sinds vorig jaar een hek staat bewaakt maar handelaren brengen hun waar nu met boten over de perzische golf	O O O O O O O O O O O O F F O O C O O O O O O O O O
34	Zestig procent van de handel vindt via Iran z'n weg naar Turkije en daarna verder naar het Westen .	zestig procent van de handel vindt via iran z'n weg naar turkije en daarna verder naar het westen	O O O O O C O O O O O O O O O O O O	zestig procent van de handel vindt via iran z'n weg naar turkije en daarna verder naar het westen	O O O O O C O O O O O O O O O O O O
35	De razzia's van afgelopen week zijn onderdeel van een hard beleid tegen de drugsmokkel .	de razzia's van afgelopen week zijn onderdeel van een hard beleid tegen de drugsmokkel	O O O C O C O O O O O O O O	de razzia's van afgelopen week onderdeel zijn van een hard beleid tegen de drugsmokkel	O O O C O O F O O O O O O O
36	Vrijwel wekelijks zijn er berichten over schietpartijen bij het onderscheppen van partijen van soms wel een ton of meer .	vrijwel wekelijks zijn er berichten over schietpartijen bij het onderscheppen van partijen van soms wel een ton of meer	O O C O O O O O O C O O O O O O O O O	vrijwel wekelijks zijn er berichten over schietpartijen bij het onderscheppen van partijen van soms wel een ton of meer	O O C O O O O O O C O O O O O O O O O
37	Iran heeft de afgelopen twintig jaar meer dan 10000 handelaren geëxecuteerd .	iran heeft de afgelopen twintig jaar meer dan 10000 handelaren geëxecuteerd	O C O C O O O O O O C	iran de twintig jaar geëxecuteerd meer dan 10000 handelaren afgelopen heeft	O O O O F O O O O F F
38	Zo'n 800 ter dood veroordeelden wachten nog op de uitvoering van hun vonnis .	zo'n 800 ter dood veroordeelden wachten nog op de uitvoering van hun vonnis	O O O O C C O O O O O O O	zo'n 800 ter dood veroordeelden wachten nog op de uitvoering van hun vonnis	O O O O C C O O O O O O O
39	De plotselinge dood van haar vader bracht Sissy van Alebeek in de aanloop naar het Nederlands kampioenschap wielrennen terug tot de vraag hoe belangrijk sport in het leven is .	de plotselinge dood van haar vader bracht sissy van alebeek in de aanloop naar het nederlands kampioenschap wielrennen terug tot de vraag hoe belangrijk sport in het leven is	O O O O O O C O O O O O O O O O O O O O O O O O O O O C C	de plotselinge dood van haar vader sissy van alebeek in de aanloop naar het nederlands kampioenschap terug wielrennen tot de vraag is bracht hoe belangrijk sport in het leven	O O O O O O O O O O O O O O O O O C O O O F F O O O O O O
40	,, Het ene moment dat ik ging trainen , was ik binnen een uur alweer thuis .	,, het ene moment dat ik ging trainen was ik binnen een uur alweer thuis	O O O O C O O O O O O O O C C	,, het ene moment dat ik ging trainen ik binnen een uur alweer was thuis	O O O O O O C C O O O O O F O
41	Ik dacht : wat heeft het allemaal voor zin .	ik dacht wat heeft het allemaal voor zin	O C O C O O O O	ik dacht heeft wat het allemaal voor zin	O C F O O O O O
42	Maar de volgende dag kon ik het wel weer opbrengen . ''	maar de volgende dag kon ik het wel weer opbrengen ''	O O C O C O O O O C O	maar de dag opbrengen ik het wel volgende weer kon ''	O O O F O O O F O F O
43	Want sport blijkt ook een goede manier om emoties een uitweg te bieden .	want sport blijkt ook een goede manier om emoties een uitweg te bieden	O O C O O O O O O O O O C	want sport blijkt ook een goede manier om emoties een uitweg te bieden	O O C O O O O O O O O O C
44	Zelden maakte de ontknoping van de nationale vrouwenstrijd meer emoties los dan zaterdag in Nijmegen .	zelden maakte de ontknoping van de nationale vrouwenstrijd meer emoties los dan zaterdag in nijmegen	O C O O O O O O O O O O O O O	zelden maakte de ontknoping van de nationale vrouwenstrijd meer emoties los dan zaterdag in nijmegen	O C O O O O O O O O O O O O O
45	Van Alebeek won de sprint van de kopgroep en viel daarna in de armen van haar huilende moeder .	van alebeek won de sprint van de kopgroep en viel daarna in de armen van haar huilende moeder	O O C O O O O O O C O O O O O O C O	van alebeek de sprint won van de kopgroep en huilende daarna in de armen van haar viel moeder	O O O O F O O O O F O O O O O O F O
46	Ook bij ploeggenote en hartsvriendin Leontien van Moorsel biggelden de tranen over de wangen .	ook bij ploeggenote en hartsvriendin leontien van moorsel biggelden de tranen over de wangen	O O O O O O O O C O O O O O	ook bij ploeggenote en hartsvriendin leontien van moorsel biggelden de tranen over de wangen	O O O O O O O O C O O O O O
47	,, Geluk en verdriet liggen dicht bij elkaar '' , zei Van Moorsel .	,, geluk en verdriet liggen dicht bij elkaar '' zei van moorsel	O O O O C O O O O C O O	,, geluk en verdriet liggen dicht bij elkaar '' van moorsel zei	O O O O C O O O O O O F
48	Van Alebeek bleef onwennig lachen .	van alebeek bleef onwennig lachen	O O C O C	van alebeek bleef onwennig lachen	O O C O C
49	Het wilde niet echt tot haar doordringen .	het wilde niet echt tot haar doordringen	O C O O O O C	het wilde niet echt tot haar doordringen	O C O O O O C
50	Twee weken geleden keerden haar ouders met de ouders van Van Moorsel terug van Spanje waar ze een koers van hun dochters hadden gevolgd .	twee weken geleden keerden haar ouders met de ouders van van moorsel terug van spanje waar ze een koers van hun dochters hadden gevolgd	O O O C O O O O O O O O O O O O O O O O O O C C	twee weken geleden hadden haar ouders met de ouders van van moorsel terug van gevolgd spanje keerden waar ze een koers van hun dochters	O O O F O O O O O O O O O O F O F O O O O O O O
51	Tijdens een tussenstop zakte Jan van Alebeek ineen .	tijdens een tussenstop zakte jan van alebeek ineen	O O O C O O O O	tijdens een tussenstop jan van alebeek zakte ineen	O O O O O O F O
52	Hij overleed ter plaatse .	hij overleed ter plaatse	O C O O	hij overleed ter plaatse	O C O O
53	In dagen van verslagenheid probeerde de Farm Frites-ploeg zich te concentreren op het NK .	in dagen van verslagenheid probeerde de farm frites-ploeg zich te concentreren op het nk	O O O O O O C O O O C O O O	in dagen van verslagenheid probeerde de farm frites-ploeg zich te concentreren op het nk	O O O O C O O O O O C O O O
54	Want er waren ook grote zorgen over de ernstig zieke mecanicien Jaap van der Wolf .	want er waren ook grote zorgen over de ernstig zieke mecanicien jaap van der wolf	O O C O O O O O O O O O O O O	want er waren ook grote zorgen over de ernstig zieke mecanicien jaap van der wolf	O O C O O O O O O O O O O O O
55	Van Moorsel : ,, Onze ploeg reed vandaag met extra moraal . ''	van moorsel ,, onze ploeg reed vandaag met extra moraal ''	O O O O O C O O O O O	van moorsel reed ,, onze ploeg vandaag met extra moraal ''	O O F O O O O O O O O
56	Van Alebeek ( 25 ) fietst al aan de zijde van de drievoudig olympisch kampioene sinds die in 1996 met haar eigen VKS-ploeg begon .	van alebeek 25 fietst al aan de zijde van de drievoudig olympisch kampioene sinds die in 1996 met haar eigen vks-ploeg begon	O O O C O O O O O O O O O O O O O O O O O C	van alebeek 25 al fietst aan de zijde van de drievoudig olympisch kampioene sinds die in begon 1996 met haar eigen vks-ploeg	O O O O F O O O O O O O O O O O F O O O O O
57	Ze verhuisde van Schijndel naar Rotterdam om meer met haar kopvrouw te kunnen trainen .	ze verhuisde van schijndel naar rotterdam om meer met haar kopvrouw te kunnen trainen	O C O O O O O O O O O O C C	ze verhuisde van schijndel naar rotterdam om meer kunnen trainen met haar kopvrouw te	O C O O O O O O F F O O O O
58	Een onverdeeld genoegen is dat lang niet altijd - ' Leontien is best wel hard en rijdt nog door als ik al het snot voor de ogen heb ' - maar dat werpt ook zijn vruchten af .	een onverdeeld genoegen is dat lang niet altijd leontien is best wel hard en rijdt nog door als ik al het snot voor de ogen heb maar dat werpt ook zijn vruchten af	O O O C O O O O O C O O O O C O O O O O O O O O O C O O C O O O O	een onverdeeld genoegen is dat lang niet altijd leontien is best wel hard en rijdt nog door als ik al het snot heb voor de ogen maar dat werpt ook zijn vruchten af	O O O C O O O O O C O O O O C O O O O O O O F O O O O O C O O O O
59	De heer Fennema , leraar aan een technische school , werd drie jaar geleden raadslid in Gorkum .	de heer fennema leraar aan een technische school werd drie jaar geleden raadslid in gorkum	O O O O O O O O C O O O O O O	de heer fennema leraar aan een technische school drie jaar geleden werd raadslid in gorkum	O O O O O O O O O O O F O O O
60	De geloofsbrieven van de heren J. Sleiffer ( kath. v. ) en dr. ir. J. J. Breen ( lib. ) werden in orde bevonden .	de geloofsbrieven van de heren j. sleiffer kath. v. en dr. ir. j. j. breen lib. werden in orde bevonden	O O O O O O O O O O O O O O O O C O O C	de geloofsbrieven van de heren j. sleiffer kath. v. en dr. ir. j. j. breen lib. bevonden werden in orde	O O O O O O O O O O O O O O O O F F O O
61	Zij zijn de opvolgers van resp. wethouder R. S. Killian en H. Slob .	zij zijn de opvolgers van resp. wethouder r. s. killian en h. slob	O C O O O O O O O O O O O	zij zijn de opvolgers van resp. wethouder r. s. killian en h. slob	O C O O O O O O O O O O O
62	De heer Sleiffer werkt als bankemploye buiten Gorkum en de heer Breen is verbonden aan een suikerfabriek .	de heer sleiffer werkt als bankemploye buiten gorkum en de heer breen is verbonden aan een suikerfabriek	O O O C O O O O O O O O C C O O O	de heer sleiffer verbonden als bankemploye is buiten gorkum en werkt de heer breen aan een suikerfabriek	O O O F O O F O O O F O O O O O O
63	In elk geval kan men stellen dat er onzekerheid heerst over de vraag of de rente nog verder zal stijgen .	in elk geval kan men stellen dat er onzekerheid heerst over de vraag of de rente nog verder zal stijgen	O O O C O C O O O C O O O O O O O O C C	in elk geval kan men stellen dat er onzekerheid heerst over de vraag zal of de rente nog verder stijgen	O O O C O C O O O C O O O F O O O O O C
64	De speculaties op een revaluatie van de mark hebben geld uit ons land weggezogen , wat tot de stijging van de rente heeft bijgedragen .	de speculaties op een revaluatie van de mark hebben geld uit ons land weggezogen wat tot de stijging van de rente heeft bijgedragen	O O O O O O O O C O O O O C O O O O O O O C C	de speculaties bijgedragen op een revaluatie van de mark geld uit ons land wat weggezogen tot de stijging van de rente hebben heeft	O O F O O O O O O O O O O O F O O O O O O F F
65	Dit effect is nu bezig te verdwijnen .	dit effect is nu bezig te verdwijnen	O O C O O O C	dit effect is nu bezig te verdwijnen	O O C O O O C
66	Belangrijker is wat er met de rente in de Verenigde Staten gebeurt .	belangrijker is wat er met de rente in de verenigde staten gebeurt	O C O O O O O O O O O C	belangrijker is wat er met de rente in de verenigde staten gebeurt	O C O O O O O O O O O C
67	De obligatierente toont daar al enige weken een neiging tot dalen , terwijl ook de geldmarkt tekenen van ontspanning laat zien .	de obligatierente toont daar al enige weken een neiging tot dalen terwijl ook de geldmarkt tekenen van ontspanning laat zien	O O C O O O O O O O C O O O O O O O C C	de obligatierente toont daar al enige weken een neiging tot dalen terwijl ook de geldmarkt laat tekenen van ontspanning zien	O O C O O O O O O O C O O O O F O O O C
68	Wall Street heeft zijn stuwende kracht ook op de laatste dag van de beursweek kunnen handhaven .	wall street heeft zijn stuwende kracht ook op de laatste dag van de beursweek kunnen handhaven	O O C O C O O O O O O O O O C C	wall street handhaven zijn kracht ook op de laatste dag van de beursweek heeft kunnen stuwende	O O F O O O O O O O O O O F C F
69	De werkgevers denken aan een invoering na het horen van de SociaalEconomische Raad .	de werkgevers denken aan een invoering na het horen van de sociaaleconomische raad	O O C O O O O O C O O O O	de werkgevers denken aan een invoering na het horen van de sociaaleconomische raad	O O C O O O O O C O O O O
70	De beurs ging geleidelijk omhoog ;	de beurs ging geleidelijk omhoog	O O C O O	de beurs ging geleidelijk omhoog	O O C O O
71	het Dow Jones gemiddelde steeg 6,53 pnt .	het dow jones gemiddelde steeg 6,53 pnt	O O O O C O O	het dow jones gemiddelde steeg 6,53 pnt	O O O O C O O
72	Aan het slot was de markt op het beste niveau van de dag en liep de ticker drie minuten achter .	aan het slot was de markt op het beste niveau van de dag en liep de ticker drie minuten achter	O O O C O O O O O O O O O O C O O O O O	aan het slot was de markt op het beste niveau van de dag en liep de ticker drie minuten achter	O O O C O O O O O O O O O O C O O O O O
73	Hoewel het wereldnieuws gisteren niet al te rooskleurig was , was de stemming vast ;	hoewel het wereldnieuws gisteren niet al te rooskleurig was was de stemming vast	O O O O O O O O C C O O O	hoewel was het wereldnieuws was gisteren niet al te rooskleurig de stemming vast	O F O O F O O O O O O O O
74	Retoriek werd een welbewust aangeleerd en steeds zelfverzekerder gehanteerd politiek wapen .	retoriek werd een welbewust aangeleerd en steeds zelfverzekerder gehanteerd politiek wapen	O C O O C O O O C O O	retoriek een welbewust werd en gehanteerd steeds zelfverzekerder aangeleerd politiek wapen	O O O F O F O O F O O
75	Het was een specialisering die ook haar gevaren had .	het was een specialisering die ook haar gevaren had	O C O O O O O O C	het was een specialisering die ook haar gevaren had	O C O O O O O O C
76	"Lord Esher , de afzijdige , maar invloedrijke waarnemer van het Engelse politieke toneel , had in 1917 al opgemerkt , dat Churchill de neiging bezat om "" grote onderwerpen in ritmische taal "" te behandelen en gauw "" de slaaf van zijn eigen frasen "" te worden ."	lord esher de afzijdige maar invloedrijke waarnemer van het engelse politieke toneel had in 1917 al opgemerkt dat churchill de neiging bezat om grote onderwerpen in ritmische taal te behandelen en gauw de slaaf van zijn eigen frasen te worden	O O O O O O O O O O O O C O O O C O O O O C O O O O O O O C O O O O O O O O O C	lord esher de afzijdige maar invloedrijke waarnemer van het engelse politieke toneel in opgemerkt 1917 had al dat churchill bezat de neiging om grote onderwerpen behandelen in ritmische taal te en gauw de slaaf van zijn eigen frasen te worden	O O O O O O O O O O O O O F O F O O O F O O O O O F O O O O O O O O O O O O O C
77	Aan Charles Masterman , een collega uit de eerste ministeriele jaren , was die neiging al eerder opgevallen .	aan charles masterman een collega uit de eerste ministeriele jaren was die neiging al eerder opgevallen	O O O O O O O O O O C O O O O C	aan opgevallen charles masterman een collega was uit de eerste ministeriele jaren die neiging al eerder	O F O O O O F O O O O O O O O O
78	Puzo vindt de door hem beschreven figuren kennelijk sympathiek .	puzo vindt de door hem beschreven figuren kennelijk sympathiek	O C O O O C O O O	puzo vindt de door hem beschreven figuren kennelijk sympathiek	O C O O O C O O O
79	Het adres acht blijkbaar de noodzaak voor deze afkoeling steeds groter .	het adres acht blijkbaar de noodzaak voor deze afkoeling steeds groter	O O C O O O O O O O O	het adres acht blijkbaar de noodzaak voor deze afkoeling steeds groter	O O C O O O O O O O O
80	"Het zijn allen mensen wier afwijkende levenshouding op rekening van de "" gewone "" , niets begrijpende maatschappij geschreven moet worden ."	het zijn allen mensen wier afwijkende levenshouding op rekening van de gewone niets begrijpende maatschappij geschreven moet worden	O C O O O C O O O O O O O C O C C C	het zijn allen mensen wier levenshouding moet op rekening geschreven van de begrijpende worden afwijkende gewone niets maatschappij	O C O O O O F O O F O O F F F O O O
81	Soms is Puzo's houding tegenover zijn karakters onduidelijk .	soms is puzo's houding tegenover zijn karakters onduidelijk	O C O O O O O O	soms is puzo's houding tegenover zijn karakters onduidelijk	O C O O O O O O
82	Enkele malen krijgt de lezer het gevoel dat de schrijver de spot met hen drijft , hen op zeer subtiele wijze toont zoals ze werkelijk zijn , zonder een direct oordeel uit te spreken .	enkele malen krijgt de lezer het gevoel dat de schrijver de spot met hen drijft hen op zeer subtiele wijze toont zoals ze werkelijk zijn zonder een direct oordeel uit te spreken	O O C O O O O O O O O O O O C O O O O O C O O O C O O O O O O C	enkele malen krijgt de lezer het gevoel dat de schrijver de spot met hen drijft hen op zeer subtiele wijze toont zoals ze werkelijk zijn zonder een direct oordeel uit te spreken	O O C O O O O O O O O O O O C O O O O O C O O O C O O O O O O C
83	Veelal klopt dit ook met de werkelijkheid .	veelal klopt dit ook met de werkelijkheid	O C O O O O O	veelal dit ook klopt met de werkelijkheid	O O O F O O O
