idx	original	no_punc_lower	correct_gold	no_punc_lower_permuted	permuted_gold
10	Hierdie afdeling van die webtuiste , wat in die regterkantste navigasiebalk vertoon word , bevat skakels na die webtuistes wat aan daardie lewensgebeurtenis verwant is .	hierdie afdeling van die webtuiste wat in die regterkantste navigasiebalk vertoon word bevat skakels na die webtuistes wat aan daardie lewensgebeurtenis verwant is	O O O O O C O O O O O O O O O C O O O O O C C	hierdie afdeling van die webtuiste bevat skakels na die webtuistes wat aan daardie lewensgebeurtenis verwant is wat in die regterkantste navigasiebalk word vertoon	O O O O O C O O O O O O O O O C O O O O O F F
11	Hierdie weergawe van die webtuiste maak voorsiening vir elf tale , naamlik Engels , Afrikaans , isiXhosa , isiZulu , Sepedi , Sesotho , Setswana , Ndebele , Tsonga , Venda en Siswati .	hierdie weergawe van die webtuiste maak voorsiening vir elf tale naamlik engels afrikaans isixhosa isizulu sepedi sesotho setswana ndebele tsonga venda en siswati	O O O O O C O O O O O O O O O O O O O O O O O	hierdie weergawe van die webtuiste maak voorsiening vir elf tale naamlik engels afrikaans isixhosa isizulu sepedi sesotho setswana ndebele tsonga venda en siswati	O O O O O C O O O O O O O O O O O O O O O O O
12	Ten einde toegang tot die inligting op die webtuiste uit te brei , word daar in die vooruitsig gestel dat die inligting uiteindelik in al elf amptelike tale beskikbaar sal wees .	ten einde toegang tot die inligting op die webtuiste uit te brei word daar in die vooruitsig gestel dat die inligting uiteindelik in al elf amptelike tale beskikbaar sal wees	O O O O O O O O O O O C C O O O O C O O O O O O O O O O C C	ten brei einde toegang tot die inligting op die webtuiste uit te word daar in die vooruitsig gestel dat die inligting uiteindelik in al elf amptelike tale beskikbaar sal wees	O F O O O O O O O O O O C O O O O C O O O O O O O O O O C C
13	Vertaling van die inligting in die oorblywende amptelike tale sal na verwagting teen Maart 2007 afgehandel wees .	vertaling van die inligting in die oorblywende amptelike tale sal na verwagting teen maart 2007 afgehandel wees	O O O O O O O O O C O O O O O O C	vertaling van die inligting wees in die oorblywende amptelike tale sal na verwagting teen maart 2007 afgehandel	O O O O F O O O O O F O O O O O O
14	Dienste-inligting word oorspronklik in Engels opgestel , waarna dit in die ander tale vertaal word .	dienste-inligting word oorspronklik in engels opgestel waarna dit in die ander tale vertaal word	O C O O O C O O O O O O C C	dienste-inligting oorspronklik word in engels opgestel vertaal waarna dit word in die ander tale	O O F O O C F O O F O O O O
15	Dienste-inligting word in die ander tale geplaas nadat dit vertaal is .	dienste-inligting word in die ander tale geplaas nadat dit vertaal is	O C O O O O C O O C C	dienste-inligting word in die ander tale geplaas nadat is dit vertaal	O C O O O O C O F O F
16	Gebruik die Kontak ons bladsy om kommentaar te lewer oor of navraag te doen na die Regeringsdienste-webtuiste .	gebruik die kontak ons bladsy om kommentaar te lewer oor of navraag te doen na die regeringsdienste-webtuiste	C O O O C O O O C O O O O C O O O	gebruik bladsy om die kontak ons kommentaar lewer te oor of navraag doen te na die regeringsdienste-webtuiste	C O O O C O O F O O O O F O O O O
17	Die www.gov.za-skakel voorsien toegang tot die Suid-Afrikaanse Regering Aanlyn tuisbladsy , wat toegang verskaf tot die webtuiste ( Regeringsdienste-webtuiste ) en die Regeringsinligting-webtuiste ( www.info.gov.za ) .	die www.gov.za-skakel voorsien toegang tot die suid-afrikaanse regering aanlyn tuisbladsy wat toegang verskaf tot die webtuiste regeringsdienste-webtuiste en die regeringsinligting-webtuiste www.info.gov.za	O O C O O O O O O O O O C O O O O O O O O	die www.gov.za-skakel voorsien toegang tot die suid-afrikaanse regering aanlyn tuisbladsy verskaf wat toegang tot die webtuiste regeringsdienste-webtuiste en die regeringsinligting-webtuiste www.info.gov.za	O O C O O O O O O O F O O O O O O O O O O
18	Die werfkaart verskaf 'n visuele voorstelling van die struktuur van die webtuiste .	die werfkaart verskaf 'n visuele voorstelling van die struktuur van die webtuiste	O O C O O O O O O O O O	die werfkaart verskaf 'n visuele voorstelling van die struktuur van die webtuiste	O O C O O O O O O O O O
19	Dit word hiërargies aangebied , en verdeel die webtuiste se inligting in steeds meer spesifieke onderwerpareas .	dit word hiërargies aangebied en verdeel die webtuiste se inligting in steeds meer spesifieke onderwerpareas	O C O C O C O O O O O O O O O	dit hiërargies word aangebied en verdeel die webtuiste se inligting in steeds meer spesifieke onderwerpareas	O O F C O C O O O O O O O O O
20	Dit stel jou dus in staat om jouself ooreenkomstig die inhoudstruktuur van die webtuiste te oriënteer .	dit stel jou dus in staat om jouself ooreenkomstig die inhoudstruktuur van die webtuiste te oriënteer	O C O O O O O O O O O O O O O C	dit jou dus in staat om jouself stel ooreenkomstig die inhoudstruktuur van die webtuiste te oriënteer	O O O O O O O F O O O O O O O C
21	Die tuisbladsy verskaf 'n lys van die mees besoekte dienste .	die tuisbladsy verskaf 'n lys van die mees besoekte dienste	O O C O O O O O O O	die tuisbladsy 'n lys van die mees besoekte dienste verskaf	O O O O O O O O O F
22	Hierdie inskrywings bied toegang tot die vyf dienste wat die meeste deur gebruikers besoek is .	hierdie inskrywings bied toegang tot die vyf dienste wat die meeste deur gebruikers besoek is	O O C O O O O O O O O O O C C	hierdie inskrywings toegang bied tot die vyf dienste wat die meeste deur gebruikers besoek is	O O O F O O O O O O O O O C C
23	Die lysting word aangepas in ooreenstemming met die statistiek vir die bladsye wat besoek is .	die lysting word aangepas in ooreenstemming met die statistiek vir die bladsye wat besoek is	O O C C O O O O O O O O O C C	die lysting aangepas word in ooreenstemming met die statistiek vir die bladsye wat besoek is	O O F F O O O O O O O O O C C
24	'n Soekvenstertjie is beskikbaar op alle bladsye op die webtuiste .	'n soekvenstertjie is beskikbaar op alle bladsye op die webtuiste	O O C O O O O O O O	'n soekvenstertjie beskikbaar op alle bladsye op die webtuiste is	O O O O O O O O O F
25	Wanneer 'n soekterm ingesleutel word , sal die volledige webtuiste vir die bepaalde woord (e) deursoek word .	wanneer 'n soekterm ingesleutel word sal die volledige webtuiste vir die bepaalde woord (e) deursoek word	O O O C C C O O O O O O O O C C	wanneer 'n soekterm ingesleutel word sal die volledige webtuiste word vir die bepaalde woord (e) deursoek	O O O C C C O O O F O O O O O F
26	Skakels na eksterne webtuistes word aangedui deur die woorde ' buiteskakel - maak 'n nuwe venster oop ' , wat in 'n venstertjie sal verskyn wanneer jou merker oor die skakel beweeg word .	skakels na eksterne webtuistes word aangedui deur die woorde buiteskakel maak 'n nuwe venster oop wat in 'n venstertjie sal verskyn wanneer jou merker oor die skakel beweeg word	O O O O C C O O O O C O O O O O O O O C C O O O O O O C C	skakels word na eksterne webtuistes aangedui deur die woorde buiteskakel 'n nuwe venster oop maak wat in 'n venstertjie verskyn sal wanneer jou merker oor die skakel beweeg word	O F O O O C O O O O O O O O F O O O O F F O O O O O O C C
27	Die webtuiste sal 'n nuwe deurblaai-venster oopmaak .	die webtuiste sal 'n nuwe deurblaai-venster oopmaak	O O C O O O C	die webtuiste sal oopmaak 'n nuwe deurblaai-venster	O O C F O O O
28	Hoe gereeld gaan die inligting bygewerk word ?	hoe gereeld gaan die inligting bygewerk word	O O O O C C C	hoe gereeld die inligting word bygewerk gaan	O O O O F F C
29	Die webtuiste sal op 'n voortdurende basis bygewerk word .	die webtuiste sal op 'n voortdurende basis bygewerk word	O O C O O O O C C	die webtuiste sal op 'n voortdurende basis bygewerk word	O O C O O O O C C
30	Ons beleid is om inligting te verskaf soos en wanneer dit beskikbaar word .	ons beleid is om inligting te verskaf soos en wanneer dit beskikbaar word	O O C O O O C O O O O O C	ons beleid om verskaf inligting te soos is en wanneer dit beskikbaar word	O O O F O O O F O O O O C
31	Die ontwikkelaars van die Regeringsdienste-webtuiste kan egter nie die resentheid waarborg van inligting wat gepubliseer word op ander webtuistes waarheen daar skakels verskaf word nie .	die ontwikkelaars van die regeringsdienste-webtuiste kan egter nie die resentheid waarborg van inligting wat gepubliseer word op ander webtuistes waarheen daar skakels verskaf word nie	O O O O O C O O O O C O O O O C C O O O O O O C C	die ontwikkelaars van die regeringsdienste-webtuiste waarborg egter nie die resentheid van inligting nie kan wat gepubliseer word op ander webtuistes waarheen daar skakels word verskaf	O O O O O F O O O O O O O F O C C O O O O O O F F
32	Sien Terme en Voorwaardes , par. 4.3 .	sien terme en voorwaardes par. 4.3	C O O O O O	sien terme en voorwaardes par. 4.3	C O O O O O
33	Regeringsdepartemente neem self eienaarskap van hul inligting op die webtuiste .	regeringsdepartemente neem self eienaarskap van hul inligting op die webtuiste	O C O O O O O O O O	regeringsdepartemente neem self eienaarskap van hul inligting op die webtuiste	O C O O O O O O O O
34	Hierdie funksie is toegewys aan departementele kontakbestuurders wat verantwoordelik is vir die inligting wat op die webtuiste gepubliseer word .	hierdie funksie is toegewys aan departementele kontakbestuurders wat verantwoordelik is vir die inligting wat op die webtuiste gepubliseer word	O O C C O O O O O C O O O O O O O C C	hierdie funksie aan toegewys is departementele kontakbestuurders is wat verantwoordelik vir die inligting wat op die webtuiste word gepubliseer	O O O C F O O F O O O O O O O O O F F
35	Regeringskommunikasie ( GCIS ) is verantwoordelik vir die oorkoepelende bestuur en koördinering van die webtuiste se inhoud .	regeringskommunikasie gcis is verantwoordelik vir die oorkoepelende bestuur en koördinering van die webtuiste se inhoud	O O C O O O O O O O O O O O O	regeringskommunikasie gcis is verantwoordelik vir die oorkoepelende bestuur en koördinering van die webtuiste se inhoud	O O C O O O O O O O O O O O O
36	Die vernaamste formaat vir inligting op die webtuiste is HTML .	die vernaamste formaat vir inligting op die webtuiste is html	O O O O O O O O C O	die vernaamste formaat vir inligting op die webtuiste is html	O O O O O O O O C O
37	Die PDF-weergawes van dokumente ( bv. wette , vorms ) word egter verskaf om die oorspronklike uitleg daarvan te behou .	die pdf-weergawes van dokumente bv. wette vorms word egter verskaf om die oorspronklike uitleg daarvan te behou	O O O O O O O C O C O O O O O O C	die pdf-weergawes van dokumente word bv. wette vorms verskaf egter om die oorspronklike uitleg daarvan te behou	O O O O F O O O F O O O O O O O C
38	Ten einde PDF-dokumente te kan oopmaak , moet jy Adobe Acrobat Reader 4 of hoër op jou rekenaar geïnstalleer hê .	ten einde pdf-dokumente te kan oopmaak moet jy adobe acrobat reader 4 of hoër op jou rekenaar geïnstalleer hê	O O O O C C C O O O O O O O O O O O C	ten einde pdf-dokumente te kan oopmaak jy adobe acrobat hê reader 4 of hoër moet op jou rekenaar geïnstalleer	O O O O C C O O O F O O O O F O O O O
39	Dit sal dokumente regstreeks in jou blaaier oopmaak .	dit sal dokumente regstreeks in jou blaaier oopmaak	O C O O O O O C	dit sal dokumente regstreeks in jou blaaier oopmaak	O C O O O O O C
40	Soms neem dit lank om PDF-dokumente oop te maak .	soms neem dit lank om pdf-dokumente oop te maak	O C O O O O O O C	soms neem dit lank om pdf-dokumente oop maak te	O C O O O O O F O
41	In daardie geval beveel ons aan dat jy dit na jou rekenaar aflaai en liewer van daar af oopmaak .	in daardie geval beveel ons aan dat jy dit na jou rekenaar aflaai en liewer van daar af oopmaak	O O O C O O O O O O O O C O O O O O C	in daardie geval ons beveel aan dat jy dit na jou rekenaar aflaai en liewer van oopmaak daar af	O O O O F O O O O O O O C O O O F O O
42	Gebruik jou muis om regs te klik op die dokument wat jy graag wil aflaai .	gebruik jou muis om regs te klik op die dokument wat jy graag wil aflaai	C O O O O O C O O O O O O C C	gebruik jou muis om regs te klik op die dokument aflaai wat jy wil graag	C O O O O O C O O O F O O C O
43	In die tuimel-kieslys wat verskyn , kies ' Save Target As ' .	in die tuimel-kieslys wat verskyn kies save target as	O O O C O O O O C	in die tuimel-kieslys kies save target as wat verskyn	O O O C O O O O C
44	In die ' Save As ' -venstertjie , kies die plek op jou hardeskyf waar jy die dokument wil stoor en klik op die ' Save ' knoppie .	in die save as -venstertjie kies die plek op jou hardeskyf waar jy die dokument wil stoor en klik op die save knoppie	O O O O O C O O O O O O O O O O C C C O O O O	in die save as -venstertjie die plek op jou hardeskyf en kies waar jy die dokument wil stoor klik op die save knoppie	O O O O O O O O O O O F O O O O C C C O O O O
45	Die lêer sal afgelaai word na die plek wat jy aangedui het .	die lêer sal afgelaai word na die plek wat jy aangedui het	O O C C C O O O O O C C	die lêer afgelaai word sal na die plek wat het jy aangedui	O O F F F O O O O F O F
46	Maak jou Acrobat Reader toepassing oop en maak daarna die dokumente wat jy afgelaai het oop .	maak jou acrobat reader toepassing oop en maak daarna die dokumente wat jy afgelaai het oop	C O O O O O O C O O O O O O C C	maak jou acrobat reader toepassing oop en daarna die dokumente oop maak wat jy afgelaai het	C O O O O O O O O O O F O O C C
47	Gebruik jou muis , en skuif en klik ( linkerkantste muisklik ) op die skakel na die dokument wat jy wil stoor .	gebruik jou muis en skuif en klik linkerkantste muisklik op die skakel na die dokument wat jy wil stoor	C O O O C O C O O O O O O O O O O C C	jou muis en gebruik skuif en linkerkantste muisklik op die skakel klik na die dokument wat jy wil stoor	O O O F C O O O O O O F O O O O O C C
48	In die ' Save As ' venstertjie , kies die plek op jou hardeskyf waar jy die dokument wil stoor en klik op die ' Save ' knoppie .	in die save as venstertjie kies die plek op jou hardeskyf waar jy die dokument wil stoor en klik op die save knoppie	O O O O O C O O O O O O O O O O C C C O O O O	in die save as venstertjie die plek op jou hardeskyf kies en stoor waar wil jy die dokument op die save knoppie klik	O O O O O O O O O O F O F O F O O O O O O O F
49	Die lêer sal afgelaai word na die plek wat jy aangedui het .	die lêer sal afgelaai word na die plek wat jy aangedui het	O O C C C O O O O O C C	die lêer afgelaai na die plek sal word wat jy aangedui het	O O F O O O F F O O C C
50	Maak jou Acrobat Reader toepassing oop en maak daarna ook die dokumente wat jy afgelaai het oop .	maak jou acrobat reader toepassing oop en maak daarna ook die dokumente wat jy afgelaai het oop	C O O O O O O C O O O O O O O C C	maak jou acrobat reader toepassing oop en maak daarna ook die dokumente oop het afgelaai wat jy	C O O O O O O C O O O O O F F O O
51	Hulp nodig met probleme wat op die webtuiste ervaar word ?	hulp nodig met probleme wat op die webtuiste ervaar word	O O O O O O O O C C	hulp nodig met probleme wat op die webtuiste ervaar word	O O O O O O O O C C
52	Kontak ons asseblief ( electronic@gcis.gov.za ) indien jy enige probleme met die webtuiste ondervind .	kontak ons asseblief electronic@gcis.gov.za indien jy enige probleme met die webtuiste ondervind	C O O O O O O O O O O C	ons asseblief electronic@gcis.gov.za kontak indien ondervind jy enige probleme met die webtuiste	O O O F O F O O O O O O
53	Indien 'n vereniging , maatskappy of beslote korporasie nie sy skuld kan of wil betaal nie en ook nie sy verpligtinge kan nakom nie ( weens insolvensie , wanbestuur of om enige ander rede ) mag die Direkteur-generaal van Handel en Nywerheid 'n sakeonderneming onder administrasie plaas of laat likwideer .	indien 'n vereniging maatskappy of beslote korporasie nie sy skuld kan of wil betaal nie en ook nie sy verpligtinge kan nakom nie weens insolvensie wanbestuur of om enige ander rede mag die direkteur-generaal van handel en nywerheid 'n sakeonderneming onder administrasie plaas of laat likwideer	O C O O O O O O O O O O C O O O O O O O O O O C O C C O O O O O O C C O O O O O O O O O C C	indien mag die direkteur-generaal van handel en nywerheid 'n sakeonderneming onder administrasie plaas of kan 'n vereniging maatskappy of beslote korporasie nie sy skuld betaal wil of nie en ook nie sy verpligtinge nie nakom weens insolvensie wanbestuur of kan om enige ander rede laat likwideer	O C O O O O O O O O O O C O F O O O O O O O O O F C O O O O O O O O C O O O O F O O O O C C
54	'n Vereniging of 'n voorlopige vereniging , enige lid van die vereniging of enige ander belanghebbende persoon mag by die hof aansoek doen dat die Direkteur-generaal die vereniging of voorlopige vereniging onder administrasie plaas of likwideer .	'n vereniging of 'n voorlopige vereniging enige lid van die vereniging of enige ander belanghebbende persoon mag by die hof aansoek doen dat die direkteur-generaal die vereniging of voorlopige vereniging onder administrasie plaas of likwideer	O O O O O O O O O O O O O O O O C O O O O C O O O O O O O O O O C O C	'n vereniging of 'n voorlopige vereniging enige lid doen van die vereniging of enige ander belanghebbende persoon mag by die hof aansoek dat die direkteur-generaal die vereniging of plaas voorlopige vereniging onder administrasie of likwideer	O O O O O O O O F O O O O O O O O F O O O O O O O O O O F O O O O O C
55	Indien die hof beslis dat die vereniging of voorlopige vereniging gelikwideer moet word , sal dit ook beslis hoe die vereniging of voorlopige vereniging se bates gelykop en regverdig verdeel moet word .	indien die hof beslis dat die vereniging of voorlopige vereniging gelikwideer moet word sal dit ook beslis hoe die vereniging of voorlopige vereniging se bates gelykop en regverdig verdeel moet word	O C O O C O O C O O O O O O C C C O O O O O O O O O O O C C C	indien beslis dit ook sal die hof beslis dat die vereniging of voorlopige vereniging gelikwideer moet word hoe die vereniging of voorlopige vereniging se bates gelykop en word regverdig moet verdeel	O F O O F O O C O O O O O O C C C O O O O O O O O O O F O C F
56	In sy beslissing sal die hof enige moontlike aanbevelings deur die Direkteur-generaal oor die verdeling van bates in ag neem .	in sy beslissing sal die hof enige moontlike aanbevelings deur die direkteur-generaal oor die verdeling van bates in ag neem	O O O C O O O O O O O O O O O O O O O C	in sy beslissing die hof enige moontlike aanbevelings deur die direkteur-generaal oor die verdeling van bates neem sal in ag	O O O O O O O O O O O O O O O O F F O O
57	Indien die Direkteur-generaal , of 'n vereniging of voorlopige vereniging , of enige lid van die vereniging , of enige ander belanghebbende persoon aansoek doen dat 'n vereniging of voorlopige vereniging deur die Direkteur-generaal onder administrasie geplaas of gelikwideer moet word , kan die Minister beslis ingevolge watter prosedure die Direkteur-generaal die vereniging of voorlopige vereniging onder administrasie moet plaas of likwideer .	indien die direkteur-generaal of 'n vereniging of voorlopige vereniging of enige lid van die vereniging of enige ander belanghebbende persoon aansoek doen dat 'n vereniging of voorlopige vereniging deur die direkteur-generaal onder administrasie geplaas of gelikwideer moet word kan die minister beslis ingevolge watter prosedure die direkteur-generaal die vereniging of voorlopige vereniging onder administrasie moet plaas of likwideer	O C O O C O O O O O O O O O O O O O O O O O O O O C O O O O O O O O O O O C O C C C O O O O O O O O O O O O C C O C	indien kan die minister beslis die direkteur-generaal of 'n vereniging of voorlopige vereniging of enige lid van die vereniging of enige ander belanghebbende persoon aansoek doen dat 'n vereniging of voorlopige vereniging moet deur die direkteur-generaal onder administrasie of geplaas word gelikwideer plaas ingevolge watter prosedure die direkteur-generaal die vereniging of voorlopige vereniging onder administrasie moet of likwideer	O C O O C O O O O O O O O O O O O O O O O O O O O C O O O O O O F O O O O O O F C C F O O O O O O O O O O O O F O C
58	Die Minister kan onder sulke omstandighede ook die magte en pligte van die Direkteur-generaal , die registrasiebeampte , die vereniging , die lede en belanghebbende partye uiteensit .	die minister kan onder sulke omstandighede ook die magte en pligte van die direkteur-generaal die registrasiebeampte die vereniging die lede en belanghebbende partye uiteensit	O O C O O O O O O O O O O O O O O O O O O O O C	die minister kan onder sulke omstandighede ook die magte en pligte van die direkteur-generaal die registrasiebeampte die vereniging uiteensit die lede en belanghebbende partye	O O C O O O O O O O O O O O O O O O F O O O O O
59	In die geval van 'n maatskappy of beslote korporasie ( BK ) kan enige belanghebbende party , direkteur of ouditeur van die maatskappy , die Suid-Afrikaanse Inkomstediens ( SAID ) of die Registrateur van Maatskappye om die deregistrasie van 'n maatskappy of BK aansoek doen .	in die geval van 'n maatskappy of beslote korporasie bk kan enige belanghebbende party direkteur of ouditeur van die maatskappy die suid-afrikaanse inkomstediens said of die registrateur van maatskappye om die deregistrasie van 'n maatskappy of bk aansoek doen	O O O O O O O O O O C O O O O O O O O O O O O O O O O O O O O O O O O O O O C	in die geval van 'n maatskappy of beslote korporasie bk enige belanghebbende party direkteur of ouditeur van die maatskappy die suid-afrikaanse inkomstediens said of die registrateur van maatskappye om die deregistrasie kan van 'n maatskappy of bk doen aansoek	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O F O O O O O F O
60	Hierdie voorkeurbehandeling is egter net van toepassing op organisasies wat aan die bepalings van die Wet op Organisasies sonder Winsoogmerk , 1997 en verwante wetgewing voldoen .	hierdie voorkeurbehandeling is egter net van toepassing op organisasies wat aan die bepalings van die wet op organisasies sonder winsoogmerk 1997 en verwante wetgewing voldoen	O O C O O O O O O O O O O O O O O O O O O O O O C	hierdie voorkeurbehandeling is egter net van toepassing op organisasies wat aan die bepalings van die wet op organisasies voldoen sonder winsoogmerk 1997 en verwante wetgewing	O O C O O O O O O O O O O O O O O O F O O O O O O
61	'n Maatskappy wat ooreenkomstig Artikel 21 van die Maatskappywet , 1973 ingelyf is .	'n maatskappy wat ooreenkomstig artikel 21 van die maatskappywet 1973 ingelyf is	O O O O O O O O O O C C	'n maatskappy wat ooreenkomstig artikel 21 van die maatskappywet 1973 ingelyf is	O O O O O O O O O O C C
62	So 'n artikel 21-maatskappy moet 'n akte van oprigting as stigtingsdokument hê en by die Registrateur van Maatskappye geregistreer wees .	so 'n artikel 21-maatskappy moet 'n akte van oprigting as stigtingsdokument hê en by die registrateur van maatskappye geregistreer wees	O O O O C O O O O O O C O O O O O O C C	so 'n artikel 21-maatskappy hê 'n akte van oprigting as stigtingsdokument moet en by die registrateur van maatskappye geregistreer wees	O O O O F O O O O O O F O O O O O O C C
63	Die trust moet by die Meester van die Hooggeregshof geregistreer wees .	die trust moet by die meester van die hooggeregshof geregistreer wees	O O C O O O O O O C C	die trust wees by die meester geregistreer van die hooggeregshof moet	O O F O O O F O O O F
64	Dit moet 'n vrywillige vereniging van persone wees wie se sake ooreenkomstig 'n grondwet gereël word .	dit moet 'n vrywillige vereniging van persone wees wie se sake ooreenkomstig 'n grondwet gereël word	O C O O O O O C O O O O O O C C	dit moet 'n vrywillige vereniging van persone wees wie se sake ooreenkomstig 'n grondwet word gereël	O C O O O O O C O O O O O O F F
