idx	original	no_punc_lower	adjacent	adjacent_gold	random	random_gold
10	Fólk hugsar á sömu nótum og það er mjög gott .	fólk hugsar á sömu nótum og það er mjög gott	fólk hugsar á sömu nótum og það mjög er gott	O C O O O O O O F O	fólk er hugsar á sömu nótum og það mjög gott	O F C O O O O O O O
11	Mig langar svo að árétta það sem kemur fram í tillögunni að sú kynslóð sem meðal annars ég tilheyri það eru kannski ekki allir af eldri kynslóðinni sem skilja það , þótt það sé svolítið óþægilegt að viðurkenna það hér í ræðustól , hvað Facebook spilar stóran þátt í lífi minnar kynslóðar , þetta er fyrsti staðurinn sem maður dettur inn á á netinu og maður nær sér í upplýsingar þaðan .	mig langar svo að árétta það sem kemur fram í tillögunni að sú kynslóð sem meðal annars ég tilheyri það eru kannski ekki allir af eldri kynslóðinni sem skilja það þótt það sé svolítið óþægilegt að viðurkenna það hér í ræðustól hvað facebook spilar stóran þátt í lífi minnar kynslóðar þetta er fyrsti staðurinn sem maður dettur inn á á netinu og maður nær sér í upplýsingar þaðan	langar mig svo að árétta það sem kemur fram í tillögunni að sú kynslóð sem meðal annars ég eru tilheyri það kannski ekki allir af eldri kynslóðinni sem skilja það þótt það sé svolítið óþægilegt að það viðurkenna hér í ræðustól hvað spilar facebook stóran þátt í lífi minnar kynslóðar þetta er fyrsti staðurinn sem maður dettur inn á á netinu og maður sér nær í upplýsingar þaðan	F O O O C O O C O O O O O O O O O O F F O O O O O O O O C O O O C O O O O F O O O O F O O O O O O O O C O O O O C O O O O O O O F O O O	mig svo að árétta dettur það sem kemur fram í tillögunni langar að sú kynslóð sem meðal annars ég það kannski ekki allir af sé eldri kynslóðinni sem skilja það þótt það svolítið tilheyri óþægilegt að viðurkenna það spilar hér í ræðustól hvað facebook stóran þátt í lífi minnar kynslóðar þetta er fyrsti staðurinn sem maður inn á á netinu og maður nær sér í upplýsingar eru þaðan	O O O C F O O C O O O F O O O O O O O O O O O O F O O O C O O O O F O O C O F O O O O O O O O O O O O C O O O O O O O O O O C O O O F O
12	Þetta er þægileg leið til að gera það .	þetta er þægileg leið til að gera það	er þetta þægileg leið til að gera það	F O O O O O C O	þetta þægileg leið til að gera það er	O O O O O C O F
13	Nethegðun hefur breyst á þann veg að menn nenna ekki að smella mörgum sinnum með músinni þannig að eftir því sem þægilegra er að nálgast upplýsingar , því líklegra er að maður nái í þær .	nethegðun hefur breyst á þann veg að menn nenna ekki að smella mörgum sinnum með músinni þannig að eftir því sem þægilegra er að nálgast upplýsingar því líklegra er að maður nái í þær	nethegðun hefur á breyst þann veg að nenna menn ekki að smella mörgum sinnum með músinni þannig að eftir því sem þægilegra er að upplýsingar nálgast því er líklegra að maður nái í þær	O C O F O O O F O O O C O O O O O O O O O O C O O F O F O O O C O O	nethegðun nenna hefur breyst á þann veg að menn ekki að smella mörgum sinnum með músinni þannig að eftir því sem þægilegra að upplýsingar því líklegra er er nái að maður í nálgast þær	O F C C O O O O O O O C O O O O O O O O O O O O O O C F F O O O F O
14	Ef maður þarf að stíga mörg skref , eins og á hinni ágætu heimasíðu Alþingis , eru meiri líkur á að maður hætti og fari að gera eitthvað annað .	ef maður þarf að stíga mörg skref eins og á hinni ágætu heimasíðu alþingis eru meiri líkur á að maður hætti og fari að gera eitthvað annað	ef maður þarf að mörg stíga skref eins og á hinni ágætu heimasíðu eru alþingis meiri líkur á að maður hætti og fari að eitthvað gera annað	O O C O O F O O O O O O O F O O O O O O C O C O O F O	þarf ef maður að mörg gera skref eins og á hinni ágætu heimasíðu alþingis eru meiri líkur á að stíga maður hætti og fari að eitthvað annað	F O O O O F O O O O O O O O C O O O O F O C O C O O O
15	Þetta er mikilvæg leið til að komast í tengsl við fólkið og ég er ánægð með þessar undirtektir .	þetta er mikilvæg leið til að komast í tengsl við fólkið og ég er ánægð með þessar undirtektir	er þetta mikilvæg leið til að komast í tengsl við fólkið og ég er ánægð með þessar undirtektir	F O O O O O C O O O O O O C O O O O	þetta mikilvæg leið til að komast í tengsl við fólkið og ég er ánægð með þessar er undirtektir	O O O O O C O O O O O O C O O O F O
16	Herra forseti . Ég tek undir með hv. þm. Katrínu Júlíusdóttur .	herra forseti ég tek undir með hv. þm. katrínu júlíusdóttur	herra forseti ég undir tek með hv. þm. katrínu júlíusdóttur	O O O O F O O O O O	herra forseti ég tek undir með hv. þm. katrínu júlíusdóttur	O O O C O O O O O O
17	Og úr því hún nefndi skuldaleiðréttingarnar og önnur mál sem eiga að fara í gegnum þingið þá er í því tiltekna máli engin launung á , og ég hef sagt það áður í þessum ræðustól , að ég er ekki hrifin af þeim áformum ríkisstjórnarinnar að demba inn í framtíðina 80 milljörðum .	og úr því hún nefndi skuldaleiðréttingarnar og önnur mál sem eiga að fara í gegnum þingið þá er í því tiltekna máli engin launung á og ég hef sagt það áður í þessum ræðustól að ég er ekki hrifin af þeim áformum ríkisstjórnarinnar að demba inn í framtíðina 80 milljörðum	og úr því nefndi hún skuldaleiðréttingarnar og önnur mál sem eiga að fara í gegnum þingið þá í er því tiltekna máli engin launung á og hef ég sagt það áður í þessum ræðustól að ég er ekki hrifin af þeim áformum ríkisstjórnarinnar að inn demba í framtíðina 80 milljörðum	O O O F O O O O O O C O C O O O O O F O O O O O O O F O C O O O O O O O C O O O O O O O O F O O O O	fara og úr því hef er hún skuldaleiðréttingarnar og önnur mál sem eiga að í gegnum þingið þá er í því tiltekna máli engin launung á og nefndi ég sagt það áður í þessum ræðustól að ég ekki hrifin af þeim áformum ríkisstjórnarinnar að demba inn í framtíðina 80 milljörðum	F O O O F F O O O O O O C O O O O O C O O O O O O O O F O C O O O O O O O O O O O O O O C O O O O O
18	Ég mun ekki styðja það .	ég mun ekki styðja það	mun ég ekki styðja það	F O O C O	ég ekki styðja það mun	O O C O F
19	Ég sakna svo sem ekki þeirra tillagna en auðvitað er það óþolandi fyrir það fólk sem það gerir , að fólk fái ekki svör því að óvissan er miklu verri , það er miklu verra ástand en að fá bara skellinn , þá getur maður haldið áfram , en hitt er miklu verri staða .	ég sakna svo sem ekki þeirra tillagna en auðvitað er það óþolandi fyrir það fólk sem það gerir að fólk fái ekki svör því að óvissan er miklu verri það er miklu verra ástand en að fá bara skellinn þá getur maður haldið áfram en hitt er miklu verri staða	ég sakna svo sem ekki þeirra tillagna en auðvitað það er óþolandi fyrir það fólk sem gerir það að fólk fái ekki svör því að óvissan er miklu verri það miklu er verra ástand en fá að bara skellinn þá getur maður haldið áfram en hitt miklu er verri staða	O C O O O O O O O O F O O O O O F O O O C O O O O O C O O O O F O O O F O O O O C O C O O O O F O O	ég svo sem ekki sakna þeirra tillagna getur en auðvitað það óþolandi fyrir það fólk sem það gerir að fólk fái ekki svör því að óvissan miklu verri það er miklu verra ástand en að bara skellinn fá þá maður haldið áfram en hitt er er miklu verri staða er	O O O O F O O F O O O O O O O O O C O O C O O O O O O O O C O O O O O O O F O O C O O O F C O O O F
20	Herra forseti . Eins og ég rakti í ræðu minni biðlaði ég í raun til margra góðra þingmanna sem eru í stjórnarmeirihluta , sem ég þekki af góðu og hef átt gott samstarf við í nefndum þingsins .	herra forseti eins og ég rakti í ræðu minni biðlaði ég í raun til margra góðra þingmanna sem eru í stjórnarmeirihluta sem ég þekki af góðu og hef átt gott samstarf við í nefndum þingsins	herra forseti eins og rakti ég í ræðu minni biðlaði ég í raun til margra góðra þingmanna sem eru í stjórnarmeirihluta sem ég af þekki góðu hef og átt gott samstarf við í nefndum þingsins	O O O O F O O O O C O O O O O O O O C O O O O O F O F O C O O O O O O	herra biðlaði forseti eins og ég í ræðu minni ég í raun til rakti margra góðra þingmanna sem eru í stjórnarmeirihluta sem ég þekki af góðu hef og átt gott samstarf við í nefndum þingsins	O F O O O O O O O O O O O F O O O O C O O O O C O O F O C O O O O O O
21	Það er skynsamt fólk í öllum flokkum og ég vona að það búi við það frelsi í flokkum sínum að fá að taka sjálfstæðar ákvarðanir og að það geti hreinlega fylgt sannfæringu sinni .	það er skynsamt fólk í öllum flokkum og ég vona að það búi við það frelsi í flokkum sínum að fá að taka sjálfstæðar ákvarðanir og að það geti hreinlega fylgt sannfæringu sinni	það er skynsamt fólk í öllum flokkum og ég að vona búi það við það frelsi í flokkum sínum að fá að taka sjálfstæðar ákvarðanir og að það fylgt geti hreinlega sannfæringu sinni	O C O O O O O O O O F F O O O O O O O O C O C O O O O O F F O O O	það skynsamt fólk í öllum flokkum og ég vona að það búi við það frelsi í flokkum sínum að að fylgt sjálfstæðar ákvarðanir og fá að það er geti taka hreinlega sannfæringu sinni	O O O O O O O O C O O C O O O O O O O O F O O O F O O F C F O O O
22	Ég vona að því sé þannig farið í öllum flokkum og það sé ekki einhver lúxus sem við búum við í Bjartri framtíð .	ég vona að því sé þannig farið í öllum flokkum og það sé ekki einhver lúxus sem við búum við í bjartri framtíð	ég vona að því sé þannig í farið öllum flokkum og sé það ekki einhver lúxus sem við búum við í bjartri framtíð	O C O O C O O F O O O F O O O O O O C O O O O	sé ég vona að því þannig í sé öllum farið flokkum og það ekki einhver lúxus sem við búum við í bjartri framtíð	F O C O O O O F O F O O O O O O O O C O O O O
23	Herra forseti . Ég þakka spurninga .	herra forseti ég þakka spurninga	herra forseti ég þakka spurninga	O O O C O	þakka herra forseti ég spurninga	F O O O O
24	Það er vissulega eilítið súrrealískt að fara að vinna á þingi .	það er vissulega eilítið súrrealískt að fara að vinna á þingi	það vissulega er eilítið súrrealískt fara að að vinna á þingi	O O F O O F O O C O O	það vissulega eilítið súrrealískt að fara að vinna á er þingi	O O O O O C O F O F O
25	En við í Bjartri framtíð höfum haft háleitt markmið og mörgum hefur kannski fundist það barnalegt markmið , það sé svo far out að reyna að bæta stjórnmálin .	en við í bjartri framtíð höfum haft háleitt markmið og mörgum hefur kannski fundist það barnalegt markmið það sé svo far out að reyna að bæta stjórnmálin	en við í bjartri framtíð höfum háleitt haft markmið og hefur mörgum kannski fundist það barnalegt markmið það sé svo far out að bæta reyna að stjórnmálin	O O O O O C O F O O F O O C O O O O C O O O O F F O O	en við í bjartri framtíð sé höfum reyna haft háleitt markmið og mörgum hefur kannski það barnalegt fundist markmið það svo far out að að bæta stjórnmálin	O O O O O F C F C O O O O C O O O F O O O O O O O C O
26	En við trúum því að ef við gerum það komist hlutirnir í gang , komist áfram .	en við trúum því að ef við gerum það komist hlutirnir í gang komist áfram	en við trúum því að ef við gerum það hlutirnir komist í komist gang áfram	O O C O O O O C O O F O F O O	en trúum við því að gerum ef við það komist hlutirnir í gang komist áfram	O F O O O F O O O C O O O C O
27	Við sjáum auðvitað að þetta er ekkert eðlilegt umhverfi og svona virkar þetta ekki í fyrirtækjum landsins .	við sjáum auðvitað að þetta er ekkert eðlilegt umhverfi og svona virkar þetta ekki í fyrirtækjum landsins	við sjáum auðvitað að þetta er ekkert eðlilegt umhverfi og svona þetta virkar ekki í fyrirtækjum landsins	O C O O O C O O O O O O F O O O O	við auðvitað að sjáum þetta er ekkert eðlilegt umhverfi og svona þetta ekki í virkar fyrirtækjum landsins	O O O F O C O O O O O O O O F O O
28	Ef hver höndin er upp á móti annarri og fólk hlustar ekki hvert á annað kemst enginn lönd né strönd .	ef hver höndin er upp á móti annarri og fólk hlustar ekki hvert á annað kemst enginn lönd né strönd	ef hver er höndin upp á móti annarri og fólk hlustar ekki hvert á annað kemst enginn lönd né strönd	O O F O O O O O O O C O O O O C O O O O	ef hver kemst höndin upp á móti annarri og fólk hlustar ekki hvert á annað er enginn lönd né strönd	O O F O O O O O O O C O O O O F O O O O
29	Það er vissulega háleitt markmið að reyna að breyta þessu en þetta er grundvallaratriði , að ég tel , í farsæld íslenskrar þjóðar .	það er vissulega háleitt markmið að reyna að breyta þessu en þetta er grundvallaratriði að ég tel í farsæld íslenskrar þjóðar	það vissulega er háleitt markmið reyna að að breyta þessu en þetta er grundvallaratriði að ég í tel farsæld íslenskrar þjóðar	O O F O O F O O C O O O C O O O O F O O O	það vissulega háleitt markmið að reyna að þessu en þetta grundvallaratriði er að ég tel er í farsæld íslenskrar breyta þjóðar	O O O O O C O O O O O F O O C F O O O F O
30	Hér stoppar allt of margt og við erum ekkert ofboðslega klár enn sem komið er að tala saman .	hér stoppar allt of margt og við erum ekkert ofboðslega klár enn sem komið er að tala saman	stoppar hér allt of margt og við erum ekkert ofboðslega klár enn sem komið tala er að saman	F O O O O O O C O O O O O C F F O O	hér allt of margt og stoppar við erum komið ekkert ofboðslega klár enn sem er að tala saman	O O O O O F O C F O O O O O C O C O
31	Ég hafði miklar væntingar til þess að fá að fjalla um þessa skýrslu og gera það eftir settum leikreglum hér á Alþingi .	ég hafði miklar væntingar til þess að fá að fjalla um þessa skýrslu og gera það eftir settum leikreglum hér á alþingi	ég hafði miklar væntingar til þess að fá að um fjalla þessa skýrslu gera og það eftir settum leikreglum hér á alþingi	O C O O O O O C O O F O O F O O O O O O O O	ég fá miklar væntingar til þess að að fjalla hafði um þessa skýrslu og gera það eftir settum leikreglum hér á alþingi	O F O O O O O O C F O O O O C O O O O O O O
32	Ég vil trúa því áður en annað kemur í ljós að hér sé fólk að vinna af heilindum og meini það sem það segir , að það vilji hlusta á alls konar sjónarmið og það hafi eitthvað að segja .	ég vil trúa því áður en annað kemur í ljós að hér sé fólk að vinna af heilindum og meini það sem það segir að það vilji hlusta á alls konar sjónarmið og það hafi eitthvað að segja	ég vil trúa því áður en annað í kemur ljós að sé hér fólk að vinna af heilindum og meini það sem það að segir vilji það hlusta á alls konar sjónarmið og það hafi eitthvað að segja	O C C O O O O O F O O F O O O C O O O C O O O O F F O C O O O O O O C O O C	ég því áður en annað í kemur ljós að hér vil sé vinna fólk að af heilindum og meini það sem það að það vilji segir hlusta á alls konar sjónarmið og það hafi trúa eitthvað að segja	O O O O O O F O O O F C F O O O O O C O O O O O C F C O O O O O O C F O O C
33	En ég hef orðið fyrir vonbrigðum með það .	en ég hef orðið fyrir vonbrigðum með það	en ég hef orðið fyrir vonbrigðum með það	O O F F O O O O	en ég hef fyrir orðið vonbrigðum með það	O O C O F O O O
34	Hæstv. forseti . Ég þakka svörin , bæði frá virðulegum forseta og sömuleiðis þingmanninum , þó svo ég haldi áfram og lýsi vonbrigðum mínum yfir því að fólk sé ekki á staðnum til að taka þátt í því starfi sem á að fara fram hér .	hæstv. forseti ég þakka svörin bæði frá virðulegum forseta og sömuleiðis þingmanninum þó svo ég haldi áfram og lýsi vonbrigðum mínum yfir því að fólk sé ekki á staðnum til að taka þátt í því starfi sem á að fara fram hér	hæstv. forseti ég þakka svörin bæði frá virðulegum forseta og sömuleiðis þingmanninum þó svo ég áfram haldi lýsi og vonbrigðum mínum yfir því að fólk sé ekki á staðnum til að taka þátt í því starfi sem fara á að fram hér	O O O C O O O O O O O O O O O O F F O O O O O O O C O O O O O C O O O O O F F O O O	hæstv. forseti sé ég svörin bæði á frá virðulegum forseta og sömuleiðis þingmanninum þó svo ég þakka haldi áfram og vonbrigðum lýsi mínum yfir því að fólk ekki á staðnum til að taka þátt í því starfi sem að fara fram hér	O O F O O O F O O O O O O O O O F C O O O F O O O O O O O O O O C O O O O O O C O O
35	Ég beini því til forseta að finna lausn á því .	ég beini því til forseta að finna lausn á því	ég beini því til forseta að finna lausn á því	O C O O O O C O O O	ég beini því til finna forseta að lausn á því	O C O O F O O O O O
36	Hv. þingmaður talaði svolítið um stóru millifærsluna svokölluðu eða skuldaniðurfellinguna eins og við könnumst við hana .	hv. þingmaður talaði svolítið um stóru millifærsluna svokölluðu eða skuldaniðurfellinguna eins og við könnumst við hana	hv. þingmaður svolítið talaði um stóru millifærsluna svokölluðu eða skuldaniðurfellinguna eins og könnumst við við hana	O O O F O O O O O O O O F O O O	hv. þingmaður könnumst talaði svolítið um stóru millifærsluna svokölluðu eða skuldaniðurfellinguna eins og við við hana	O O F C O O O O O O O O O O O O
37	Ég tók eftir því að þingmaðurinn nefndi að við værum ekki með neina greiningu á því hver fengi hvað og hver borgaði á endanum .	ég tók eftir því að þingmaðurinn nefndi að við værum ekki með neina greiningu á því hver fengi hvað og hver borgaði á endanum	ég tók eftir því að þingmaðurinn nefndi að við ekki værum með neina greiningu á því fengi hver hvað og hver borgaði á endanum	O C O O O O C O O O F O O O O O F O O O O C O O	ég tók eftir því að nefndi borgaði þingmaðurinn að við værum ekki með neina greiningu á því hver fengi hvað og hver á endanum	O C O O O F F O O O C O O O O O O O C O O O O O
38	Um það er ég henni hjartanlega sammála .	um það er ég henni hjartanlega sammála	um það er ég henni hjartanlega sammála	O O C O O O O	um það er ég henni hjartanlega sammála	O O C O O O O
39	Í því sambandi vil ég spyrja hana nánar út í það hvernig við veltum vanda samtímans á undan okkur og hver muni á endanum borga .	í því sambandi vil ég spyrja hana nánar út í það hvernig við veltum vanda samtímans á undan okkur og hver muni á endanum borga	í því sambandi spyrja vil ég hana nánar út í það hvernig við veltum vanda samtímans á undan okkur og hver muni á endanum borga	O O O F F O O O O O O O O C O O O O O O O C O O C	í því sambandi ég hana nánar vil út í það hvernig við veltum vanda samtímans á spyrja undan borga okkur og hver muni á endanum	O O O O O O F O O O O O C O O O F O F O O O C O O
40	Frú forseti . Ég vil þakka hv. þm. Sigríði Ingibjörgu Ingadóttur fyrir ræðuna .	frú forseti ég vil þakka hv. þm. sigríði ingibjörgu ingadóttur fyrir ræðuna	frú forseti ég vil þakka hv. þm. sigríði ingibjörgu ingadóttur fyrir ræðuna	O O O F F O O O O O O O	frú forseti ég vil hv. þm. sigríði ingibjörgu þakka ingadóttur fyrir ræðuna	O O O C O O O O F O O O
41	Hún var sannarlega „ inspírerandi “ og þingmaðurinn fór ágætlega eða mjög vel yfir af hverju hún tekur þá afstöðu sem hún hefur tekið gagnvart Evrópusambandinu .	hún var sannarlega „ inspírerandi “ og þingmaðurinn fór ágætlega eða mjög vel yfir af hverju hún tekur þá afstöðu sem hún hefur tekið gagnvart evrópusambandinu	hún var sannarlega „ “ inspírerandi og fór þingmaðurinn ágætlega eða mjög vel yfir af hverju hún tekur þá afstöðu sem hún hefur gagnvart tekið evrópusambandinu	O C O O O F O F O O O O O O O O O C O O O O C O F O	tekið hún var sannarlega „ “ og þingmaðurinn fór ágætlega eða hefur mjög vel yfir af hverju hún tekur þá afstöðu inspírerandi sem hún gagnvart evrópusambandinu	F O C O O O O O C O O F O O O O O O C O O F O O O O
42	Við erum sammála um að við viljum sjá samning og skoða hvernig hann lítur út og við vitum að það er ekkert ljóst með aðild fyrr en við sjáum hvað í honum stendur .	við erum sammála um að við viljum sjá samning og skoða hvernig hann lítur út og við vitum að það er ekkert ljóst með aðild fyrr en við sjáum hvað í honum stendur	erum við sammála um að við viljum sjá samning og hvernig skoða lítur hann út og við vitum að það er ekkert ljóst með aðild fyrr en við hvað sjáum í stendur honum	F O O O O O C C O O O F F O O O O C O O C O O O O O O O O F O F O	við erum sammála um að viljum við sjá samning og hvernig hann út og við að það er stendur ekkert ljóst vitum með skoða aðild fyrr en við sjáum hvað í lítur honum	O C O O O F O C O O O O O O O O O C F O O F O F O O O O C O O F O
43	Nú er það svo að ferlið er í uppnámi og ég vil spyrja þingmanninn hvort hún álíti að hlé á viðræðum sé skárri kostur en að rjúfa þær alveg .	nú er það svo að ferlið er í uppnámi og ég vil spyrja þingmanninn hvort hún álíti að hlé á viðræðum sé skárri kostur en að rjúfa þær alveg	nú er það svo að ferlið er í uppnámi og ég vil spyrja þingmanninn hvort hún álíti að hlé á viðræðum sé skárri kostur en að þær rjúfa alveg	O C O O O O C O O O O F F O O O C O O O O C O O O O O F O	nú er það svo að ferlið er sé vil í uppnámi og ég þingmanninn hvort hún að hlé á viðræðum skárri kostur en álíti að rjúfa spyrja þær alveg	O C O O O O C F F O O O O O O O O O O O O O O F O C F O O
44	Forseti SilG : Forseti vill biðja hv. þingmann að nota fyrst og fremst íslenskt mál .	forseti silg forseti vill biðja hv. þingmann að nota fyrst og fremst íslenskt mál	forseti silg vill forseti biðja hv. þingmann að nota fyrst og fremst íslenskt mál	O O F O C O O O C O O O O O	forseti silg forseti hv. þingmann vill að nota fyrst og fremst íslenskt mál biðja	O O O O O F O C O O O O O F
45	Herra forseti . Ég þakka hv. þingmanni fyrir falleg orð varðandi frumvarpið sem við leggjum fram um hefndarklám .	herra forseti ég þakka hv. þingmanni fyrir falleg orð varðandi frumvarpið sem við leggjum fram um hefndarklám	herra forseti ég hv. þakka þingmanni fyrir falleg varðandi orð frumvarpið sem við leggjum fram um hefndarklám	O O O O F O O O F O O O O C O O O	herra forseti ég þakka hv. þingmanni fyrir falleg orð frumvarpið sem við varðandi leggjum fram um hefndarklám	O O O C O O O O O O O O F C O O O
46	Það er í raun birtingarmynd þess að við lifum í nýjum veruleika .	það er í raun birtingarmynd þess að við lifum í nýjum veruleika	það er í raun birtingarmynd þess að við í lifum nýjum veruleika	O C O O O O O O O F O O	það í raun birtingarmynd þess að er við lifum í nýjum veruleika	O O O O O O F O C O O O
47	Við lifum allmikið í netheimum , á hverjum degi , og þar gerast ýmsir hlutir , bæði góðir og vondir .	við lifum allmikið í netheimum á hverjum degi og þar gerast ýmsir hlutir bæði góðir og vondir	lifum við allmikið í netheimum á hverjum degi og þar gerast ýmsir hlutir bæði góðir og vondir	F O O O O O O O O O C O O O O O O	við allmikið í netheimum á hverjum degi og þar lifum gerast ýmsir hlutir bæði góðir og vondir	O O O O O O O O O F C O O O O O O
